nom,adresse,code_postal,latitude,longitude,region_source
ARLYSERE UGINE,"75, Pl du Val d'Arly, nan, UGINE",73400,45.7796836,6.4360158,Banque Populaire
BELLEDONNE DOMENE,"6, pl Matussière, nan, DOMENE",38420,45.2013065,5.8388954,Banque Populaire
MONTELIMAR SUD,"140, Avenue Jean Jaurès, nan, MONTELIMAR",26200,44.5579391,4.750318,Banque Populaire
MANOSQUE SUD,"Axe Sud ZI Saint Joseph, nan, MANOSQUE",4100,43.8338026,5.7826657,Banque Populaire
SUD BELLEDONNE EYBENS,"142, Avenue Jean Jaurès, nan, EYBENS",38320,45.1524,5.74812,Banque Populaire
MONTFLEURY MEYLAN,"1, Allée des Centaurées, nan, MEYLAN",38240,45.2097372,5.778361,Banque Populaire
AURILLAC SUD ARPAJON,"9, Place de l'Eglise, nan, ARPAJON SUR CERE",15130,44.9034428,2.4570176,Banque Populaire
VIENNE ESTRABLIN,"Rue du Centre, nan, ESTRABLIN",38780,45.5163956,4.9627643,Banque Populaire
LES AQUEDUCS CHAPONOST,"53, Avenue Paul Doumer, nan, CHAPONOST",69630,45.7107025,4.7469158,Banque Populaire
MONTS D'OR ST CYR,"6, pl Charles de Gaulle, nan, ST CYR AU MONT D'OR",69450,45.8156548,4.8175958,Banque Populaire
ST ETIENNE SUD BIZILLON,"9, rue des Docteurs Charcot, nan, ST ETIENNE",42100,45.4401467,4.3873058,Banque Populaire
FOREZ MONTROND LES BAINS,"4, Avenue des Sources, nan, MONTROND LES BAINS",42210,45.6433431,4.2299344,Banque Populaire
TOURS THIERS,"117, Avenue de Grammont, nan, TOURS",37000,47.3900474,0.6889268,Banque Populaire
VALENCE D'AGEN,"Pl Nationale, nan, VALENCE D'AGEN",82400,44.1116826,0.8916094,Banque Populaire
BAGNOLET BEL EST,"28, Avenue du Général de Gaulle, Ctre Cial, BAGNOLET",93170,48.8688199,2.4173658,Banque Populaire
CAYENNE,"5, Avenue du Général de Gaulle, Ctre Cial Eldorado, CAYENNE",97300,4.9371544,-52.3258736,Banque Populaire
COLLEGIEN BAY 2,"36, mail Est, Ctre Cial, COLLEGIEN",77090,48.8362114,2.673176,Banque Populaire
STE SUZANNE DE LA REUNION,"Rues Albany, Cayenne et Mendès France, Les Badamiers, STE SUZANNE",97441,47.5061216,6.7750956,Banque Populaire
COLOMBES,"130, bd Charles de Gaulle, Ctre Cial Leclerc, COLOMBES",92700,48.9227298,2.2543631,Banque Populaire
SAVIGNY-LE-TEMPLE,"15, rue de l'Orée du Bois, Ctre Cial Boissénart, SAVIGNY-LE-TEMPLE",77176,48.5958681,2.5798953,Banque Populaire
RUNGIS MIN,"84, rue de la Tour, MIN 84, RUNGIS",94150,48.7484048,2.3472665,Banque Populaire
LE PLESSIS ROBINSON,"3, passage de l'Escargot d'Or, ZAC du Coeur de Ville - Ilot H, LE PLESSIS ROBINSON",92350,48.7811049,2.2619632,Banque Populaire
GONESSE,"1, Avenue Georges Pompidou, Ctre Cial La Grande Vallée, GONESSE",95500,48.9863555,2.4500537,Banque Populaire
MONTHOLON AILLANT SUR THOLON,"31, rue Grande Saint Antoine, Aillant sur Tholon, MONTHOLON",89110,47.9014175,3.2796271,Banque Populaire
DIJON AGENCE DE VALMY,"3E, rue Jeanne Barret, ZAC Parc Valmy, DIJON",21000,47.3215806,5.0414701,Banque Populaire
BORDEAUX PEY BERLAND,"2, rue Dufour Dubergier, Place Pey Berland, BORDEAUX",33000,44.841225,-0.5800364,Banque Populaire
VENDIN LE VIEIL LENS 2,"2, rte de la Bassée, Ctre Cial Cora, VENDIN LE VIEIL",62880,50.4756482,2.8671553,Banque Populaire
COQUELLES,"20, bd du Parc, 1er étage, COQUELLES",62231,50.9363698,1.8000938,Banque Populaire
LE MANS LES MAILLETS,"138-140, rue des Maillets, Résidence Richelieu, LE MANS",72000,48.0073849,0.1967849,Banque Populaire
CAGNES SUR MER,"24-26, rue du Brigadier Claverie, Le Tamango, CAGNES SUR MER",6800,43.6612012,7.1513834,Banque Populaire
NICE NAPOLEON III,"170, bd Napoléon III, Résidence Stanesco, NICE",6200,43.7009358,7.2683912,Banque Populaire
MONTEUX,"9, Avenue de la Libération, Immeuble le Saphir, MONTEUX",84170,44.0349281,4.9968733,Banque Populaire
TARASCON,"3bis, rue des Charpentiers, ZAC le Roubian, TARASCON",13150,42.8458016,1.6067586,Banque Populaire
ST CYPRIEN PLAGE,"27, bd Desnoyer, Résidence Les Portes du Soleil, ST CYPRIEN PLAGE",66750,42.6284732,3.0321121,Banque Populaire
CARCASSONNE PONT ROUGE,"13, rue de Magellan, ZI Pont Rouge, CARCASSONNE",11000,43.2130358,2.3491069,Banque Populaire
BEZIERS VERDIER,"7, Avenue Pierre Verdier, Les Tuileries, BEZIERS",34500,43.3426562,3.2131307,Banque Populaire
AGENCE ENTREPRISES CENTR'ALP,"196, rue du Rocher de Lorzier, Centr'Alp, MOIRANS",38430,45.3208456,5.5923826,Banque Populaire
AGENCE ENTREPRISES MONTBONNOT,"445, rue Lavoisier, NOVESPARC, MONTBONNOT ST MARTIN",38330,45.2166771,5.8136866,Banque Populaire
AGENCE ENTREPRISES LYON OUEST,"5, rue Gorge de Loup - CS 2035, Immeuble Le Carré de St Pierre, LYON CEDEX 9",69337,45.7597,4.8422,Banque Populaire
PINSAGUEL,"94, rte d'Andorre, Résidence Le Confluent - Bât B, PINSAGUEL",31120,43.5099932,1.3884681,Banque Populaire
ECQUEVILLY,"45, rue de la République, ZAC Centre Village, ECQUEVILLY",78920,48.9510622,1.9226814,Banque Populaire
CHAMBRAY LES TOURS,"3/5, rue Thomas Edison, ZAC de la Vrillonnerie, CHAMBRAY LES TOURS",37170,47.3390872,0.714368,Banque Populaire
POITIERS LAFAYETTE,"2, Avenue Lafayette, Ctre Cial Géant Casino, POITIERS",86000,46.5802596,0.340196,Banque Populaire
PARIS BD MONTMARTRE,"15, bd Montmartre, nan, PARIS 02",75002,48.8588897,2.320041,Banque Populaire
PARIS REPUBLIQUE,"41 bis, boulevard Voltaire, nan, PARIS 11",75011,48.858416,2.379703,Banque Populaire
PARIS MENILMONTANT,"72, Avenue de la République, nan, PARIS 11",75011,48.858416,2.379703,Banque Populaire
PARIS ST LAZARE,"1, rue du Havre, nan, PARIS 08",75008,48.8534951,2.3483915,Banque Populaire
PARIS CHAMPERRET,"15, Avenue Stéphane Mallarmé, nan, PARIS 17",75017,48.8869265,2.3065472,Banque Populaire
PARIS LEDRU ROLLIN,"111, Avenue Ledru Rollin, nan, PARIS 11",75011,48.858416,2.379703,Banque Populaire
PARIS DAUMESNIL,"250, Avenue Daumesnil, nan, PARIS 12",75012,46.830513,3.468041,Banque Populaire
PARIS QUAI DE LA RAPEE,"18, quai de la Rapée, nan, PARIS 12",75012,46.830513,3.468041,Banque Populaire
PARIS VOLTAIRE LEON FROT,"204, bd Voltaire, nan, PARIS 11",75011,48.858416,2.379703,Banque Populaire
PARIS CHARENTON,"239/241, rue de Charenton, nan, PARIS 12",75012,46.830513,3.468041,Banque Populaire
PARIS KLEBER,"82, Avenue Kléber, nan, PARIS 16",75016,48.8636341,2.276485,Banque Populaire
PARIS REUILLY DIDEROT,"22, rue de Reuilly, nan, PARIS 12",75012,46.830513,3.468041,Banque Populaire
PARIS MAUBEUGE,"80, rue de Maubeuge, nan, PARIS 09",75009,48.8534951,2.3483915,Banque Populaire
PARIS BEL AIR,"31, rue du Rendez-Vous, nan, PARIS 12",75012,46.830513,3.468041,Banque Populaire
PARIS NIEL,"29 ter, rue Pierre Demours, nan, PARIS 17",75017,48.8869265,2.3065472,Banque Populaire
PARIS LOUVRE,"24, rue du Louvre, 131, rue Saint Honoré, PARIS 01",75001,48.8534951,2.3483915,Banque Populaire
ST PIERRE,"Pl Félix Boisson, Rue Bouillé, ST PIERRE",97250,48.3832725,7.4718731,Banque Populaire
ALFORTVILLE,"156, rue Paul Vaillant Couturier, nan, ALFORTVILLE",94140,48.8051624,2.4197113,Banque Populaire
COURBEVOIE LA DEFENSE,"5, place de la Défense, nan, COURBEVOIE",92400,48.8953328,2.2561602,Banque Populaire
LA TRINITE,"27, rue Victor Hugo, nan, LA TRINITE",97220,48.9893963,1.2335758,Banque Populaire
BEZONS,"72 bis, rue Edouard Vaillant, nan, BEZONS",95870,48.9250016,2.2105491,Banque Populaire
BOULOGNE BILLANCOURT,"284, bd Jean Jaurès, nan, BOULOGNE BILLANCOURT",92100,48.8356649,2.240206,Banque Populaire
NEUILLY PLAISANCE,"21, rue du Général de Gaulle, nan, NEUILLY PLAISANCE",93360,48.8608712,2.5060144,Banque Populaire
NOISY LE GRAND,"167, rue Pierre Brossolette, nan, NOISY LE GRAND",93160,48.8492238,2.5524906,Banque Populaire
VILLIERS SUR MARNE,"87, rue du Général de Gaulle, nan, VILLIERS SUR MARNE",94350,48.8262055,2.5406696,Banque Populaire
CHAMPIGNY,"79, rue Jean Jaurès, nan, CHAMPIGNY SUR MARNE",94500,48.8137847,2.510611,Banque Populaire
CHARENTON MAIRIE,"67, rue de Paris, nan, CHARENTON LE PONT",94220,48.8198479,2.4159508,Banque Populaire
VINCENNES RIGOLLOTS,"138, rue Defrance, nan, VINCENNES",94300,48.8474508,2.4396714,Banque Populaire
VINCENNES BERAULT,"49, Avenue de Paris, nan, VINCENNES",94300,48.8474508,2.4396714,Banque Populaire
CRETEIL ECHAT,"68-70, Avenue du Général de Gaulle, nan, CRETEIL",94000,48.7771486,2.4530731,Banque Populaire
GRAND QUEVILLY,"85 bis, Avenue des Provinces, nan, GRAND QUEVILLY",76120,45.5085325,-1.1285285,Banque Populaire
PARIS BATIGNOLLES,"14, rue des Batignolles, nan, PARIS 17",75017,48.8869265,2.3065472,Banque Populaire
LE MARIN,"Lieu dit Habitation Montgérarld, Lotissement Marine Bay, LE MARIN",97290,14.5251841,-60.9624151,Banque Populaire
LE FRANCOIS,"Ancienne Usine du François, Centre Eucalyptus, LE FRANCOIS",97240,14.6149952,-60.9028968,Banque Populaire
ST JOSEPH,"263, rue Raphaêl Babet, Rue Joseph de Souville, ST JOSEPH",97480,49.5344534,-1.529802,Banque Populaire
ST MAUR THEATRE,"110, bd de Créteil, nan, ST MAUR DES FOSSES",94100,48.8033057,2.4853015,Banque Populaire
NEUILLY SUR SEINE PLACE DE MADRID,"166 bis, Avenue Charles de Gaulle, nan, NEUILLY SUR SEINE",92200,48.884683,2.2695658,Banque Populaire
COURBEVOIE BECON,"46, Avenue Pasteur, nan, COURBEVOIE",92400,48.8953328,2.2561602,Banque Populaire
