nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ALTKIRCH;2 Avenue du Maréchal Foch, 68130 Altkirch;68130;;;Crédit Agricole - Alsace Vosges
Agence bancaire AMMERSCHWIHR;7 Rue de la 5ème division blindée, 68770 Ammerschwihr;68770;;;Crédit Agricole - Alsace Vosges
Agence bancaire ARCHES;7 Rue de Remiremont, 88380 Arches;88380;;;Crédit Agricole - Alsace Vosges
Agence bancaire BARR;2 Place de l'Hôtel de Ville, 67140 Barr;67140;;;Crédit Agricole - Alsace Vosges
Agence bancaire BENFELD;4 Rue de l'Ancienne Porte, 67230 Benfeld;67230;;;Crédit Agricole - Alsace Vosges
Agence bancaire BENNWIHR;40 Rue du Général De Gaulle, 68630 Bennwihr;68630;;;Crédit Agricole - Alsace Vosges
Relais CA - Boulangerie l'atelier - Betschdorf;21 Rue du Cimetière, 67660 Betschdorf;67660;48,9018569;7,871837900000001;Crédit Agricole - Alsace Vosges
Relais CA - Tabac Le Pared'z - Biesheim;10 Grand Rue, 68600 Biesheim;68600;48,04055400000001;7,545468799999999;Crédit Agricole - Alsace Vosges
Relais CA - Boulangerie Imbs - Bindernheim;11 Rue du Sel, 67600 Bindernheim;67600;48,2840357;7,609063599999999;Crédit Agricole - Alsace Vosges
Agence bancaire BISCHWILLER;6 Rue du Général Rampont, 67240 Bischwiller;67240;;;Crédit Agricole - Alsace Vosges
Agence bancaire BLOTZHEIM;1 Rue du Général De Gaulle, 68730 Blotzheim;68730;;;Crédit Agricole - Alsace Vosges
Relais CA - Boulangerie THURNHERR - Boofzheim;4 Place de la Mairie, 67860 Boofzheim;67860;48,33234340000001;7,6799135;Crédit Agricole - Alsace Vosges
Relais CA - Tabac Mélanie - Bouxwiller;56 Grand Rue, 67330 Bouxwiller;67330;48,8250888;7,480418299999999;Crédit Agricole - Alsace Vosges
Agence bancaire BRUMATH;8 Rue du Général De Gaulle, 67170 Brumath;67170;;;Crédit Agricole - Alsace Vosges
Relais CA - TABAC DE L'HÉLICO - Brunstatt;2 Rue de Dornach, 68350 Brunstatt;68350;47,7201749;7,300343499999999;Crédit Agricole - Alsace Vosges
Agence bancaire BRUYERES;34 Rue du Cameroun, 88600 Bruyeres;88600;;;Crédit Agricole - Alsace Vosges
Relais CA - Boulangerie Chez Jul'ine - Brû;4 Place de la Mairie, 88700 Brû;88700;48,34837220000001;6,6818705;Crédit Agricole - Alsace Vosges
Agence bancaire BULGNEVILLE;115 Rue Sainte Anne, 88140 Bulgneville;88140;;;Crédit Agricole - Alsace Vosges
