nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ALENCON;40 avenue Rhin et Danube, 61001 ALENCON;61001;;;Crédit Agricole - Anjou Maine
Agence bancaire ALLONNES 49;59 Rue Jean Gallart, 49650 Allonnes;49650;47,292451;0,021231;Crédit Agricole - Anjou Maine
Agence bancaire ALLONNES 72;22 Rue Claude Chappe, 72700 ALLONNES;72700;47,969228;0,154092;Crédit Agricole - Anjou Maine
Agence bancaire AMBRIERES LES VALLEES;3 Place Anne Leclerc, 53300 Ambrières-les-Vallées;53300;;;Crédit Agricole - Anjou Maine
Agence bancaire ANDARD;53 Grande Rue, 49800 ANDARD;49800;;;Crédit Agricole - Anjou Maine
Agence bancaire ANDOUILLE;11 Rue de l Hôtel de ville, 53240 ANDOUILLE;53240;;;Crédit Agricole - Anjou Maine
Agence en ligne AGENCE MULTIMEDIA;Pour toutes vos opérations et tous renseignements. Numéro d appel cristal, non surtaxé., 49000 Angers;49000;47,4626567;-0,5322869;Crédit Agricole - Anjou Maine
Agence en ligne Agence ASSURANCES EN LIGNE - Maine-et-Loire;Pour vos opérations et renseignements ASSURANCES. Numéro non surtaxé., 49000 Angers;49000;47,459446;-0,532825;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS AGENCE COLLECTIVITES PUBLIQUES ET PROMOTION IMMOBILIERE;77, bd Pierrre de Coubertin, 49000 ANGERS;49000;47,458269;-0,532694;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS BICHON;30, 32 Place du Docteur Bichon, 49100 ANGERS;49100;47,4786463;-0,5650334;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS COUBERTIN;58 Boulevard Pierre de Coubertin, 49000 Angers;49000;47,4585958;-0,5333781;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS Habitat Conseil Energie;63 Rue Plantagenêt, 49100 Angers;49100;47,47166199999999;-0,553789;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS LA FAYETTE;22 Place La Fayette, 49000 ANGERS;49000;47,4626044;-0,5550224;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS LAC DE MAINE;Centre Commercial Grand Maine, Rue du Grand Launay, 49000 ANGERS;49000;47,46851;-0,593743;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS LES JUSTICES;6 Place des Justices, 49000 ANGERS;49000;47,4528351;-0,5260554;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS LORRAINE;5 Place de Lorraine, 49100 Angers;49100;47,46984339999999;-0,5471722;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS MAINE;Rue du Maine, 49100 ANGERS;49100;47,4783005;-0,5469181;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS PASTEUR;221 Avenue Pasteur, 49000 ANGERS;49000;47,478479;-0,529168;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS PATTON;73 Avenue Patton, 49000 ANGERS;49000;47,4677393;-0,5968613;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS RALLIEMENT;36 Rue Lenepveu, BP 65233, 49000 ANGERS;65233;47,4716387;-0,5518652;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS ST MICHEL;24 Boulevard Saint Michel, 49000 ANGERS;49000;47,4734959;-0,5435129;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS SUD;Avenue Winston Churchill, 49000 ANGERS;49000;47,4514123;-0,5571686;Crédit Agricole - Anjou Maine
Agence bancaire ANGERS VISITATION;17 Place de la Visitation, 49000 ANGERS;49000;47,4667299;-0,5567697;Crédit Agricole - Anjou Maine
Agence bancaire ANJOU MAINE DIRECT;56 Boulevard Pierre de Coubertin, 49000 ANGERS;49000;47,4660892;-0,5306435;Crédit Agricole - Anjou Maine
Agence bancaire BANQUE PRIVEE ANGERS;2 Avenue Denis Papin, 49100 ANGERS;49100;47,4656483;-0,5544995999999855;Crédit Agricole - Anjou Maine
