nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AGEN CARNOT;108-110 Boulevard Carnot, 47000 AGEN;47000;44,206465;0,620878;Crédit Agricole - Aquitaine
Distributeur automatique de billets AGEN CASINO (distributeur);ROUTE DE CAHORS, 47000 AGEN;47000;44,44466850407969;1,441154282842767;Crédit Agricole - Aquitaine
Distributeur automatique de billets AGEN JASMIN (distributeur);18 BOULEVARD DE LA REPUBLIQUE, 47000 AGEN;47000;44,2043272667626;0,6134513289016797;Crédit Agricole - Aquitaine
Agence bancaire AGEN LE PIN;204, Avenue Jean Jaurès, 47000 AGEN;47000;44,204168;0,627294;Crédit Agricole - Aquitaine
Agence bancaire AGEN PAYROL;4, Rue Pierre Mendès France, 47000 AGEN;47000;44,188014;0,630898;Crédit Agricole - Aquitaine
"Nos agencesà AGEN";;;44,204432;0,61408;Crédit Agricole - Aquitaine
Agence bancaire Espace Entreprises du Lot-et-Garonne;RUE PIERRE MENDES FRANCE BOE CEDEX, 47000 AGEN;47000;44,188168;0,632183;Crédit Agricole - Aquitaine
Agence bancaire Espace Pro et Banque Privée de l'Agenais;4, rue Pierre Mendes France, 47000 AGEN;47000;44,187846;0,632956;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (LE FLOREAL) - Agen;Impasse Jean Jaurès, 47000 Agen;47000;44,195213;0,64334;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (TABAC LE PLANO) - Agen;96 Rue de Sevin, 47000 Agen;47000;44,1950344;0,6171042;Crédit Agricole - Aquitaine
Agence bancaire AIGUILLON;9 Place du 14 Juillet, 47190 Aiguillon;47190;;;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (L'EPICOLETTE) - Aillas;24 Aillas le Grand, 33124 Aillas;33124;44,4742249;-0,0745599;Crédit Agricole - Aquitaine
Agence bancaire AIRE SUR ADOUR;39, Rue Gambetta, 40800 AIRE SUR L'ADOUR;40800;43,701647;-0,262441;Crédit Agricole - Aquitaine
Agence bancaire Espace Grandes Entreprises Agricoles;Le Mas, CS60169, 40800 AIRE SUR L'ADOUR;40800;43,6819345;-0,2766057000000046;Crédit Agricole - Aquitaine
Agence bancaire Espace Pro et Banque Privée Sud Gascogne;39, Rue Gambetta, 40800 AIRE SUR L'ADOUR;40800;43,701645;-0,2646308;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (TABAC SNC MIELO) - Allemans-du-Dropt;11 Place de la Liberté, 47800 Allemans-du-Dropt;47800;44,6278112;0,2898285;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (RESTAURANT COLETTE DUBOUILH) - Allons;AU BOURG, 47420 Allons;47420;44,20187;-0,05472399999999999;Crédit Agricole - Aquitaine
Agence bancaire AMBARES;Rue Edouard Herriot, 33440 AMBARES;33440;;;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (EASY MARKET) - Ambarès-et-Lagrave;17 Chemin du Moulin, 33440 Ambarès-et-Lagrave;33440;44,9327471;-0,4709958;Crédit Agricole - Aquitaine
Agence bancaire AMOU;Avenue De L'Océan, 40330 AMOU;40330;;;Crédit Agricole - Aquitaine
Agence bancaire ANDERNOS;19, Avenue De Bordeaux, 33510 ANDERNOS;33510;;;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (FLORENT ROUGIER) - Anglade;32 Résidence de l'Estuaire, 33390 Anglade;33390;45,21167330129368;-0,6361985206604004;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (AUBERGE DES PLATANES) - Angresse;255 Avenue de la Mairie, 40150 Angresse;40150;43,65889430000001;-1,3699562;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (LE RELAIS 113) - Arbanats;85 Cours du Général de Gaulle, 33640 Arbanats;33640;44,6732633;-0,3970211;Crédit Agricole - Aquitaine
Agence bancaire ARCACHON;252, Boulevard De La Plage, 33120 ARCACHON;33120;;;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (L'EPICERIE DU COIN) - Arengosse;290 Route de Mont de Marsan, 40110 Arengosse;40110;44,0039591;-0,7873553;Crédit Agricole - Aquitaine
Agence bancaire ARES;74, Route De Bordeaux, 33740 ARES;33740;;;Crédit Agricole - Aquitaine
Agence bancaire Espace Banque Privée Bordeaux Rive Droite;3, Avenue Du Moulinat Bât A, 33370 ARTIGUES PRES BORDEAUX;33370;44,8679854;-0,5004039;Crédit Agricole - Aquitaine
Agence bancaire Espace Pro Bordeaux Rive Droite;3, Avenue Du Moulinat Bât A, 33370 ARTIGUES PRES BORDEAUX;33370;44,8679854;-0,5004039;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (BAR TABAC BRASSERIE LE 40) - Arveyres;40 Route de Bordeaux, 33500 Arveyres;33500;44,8830841;-0,2886217;Crédit Agricole - Aquitaine
Agence bancaire ASTAFFORT;Place De La Nation, 47220 ASTAFFORT;47220;;;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (LE RELAIS DES 4 CANTONS) - Aubagnan;AU BOURG, 40700 Aubagnan;40700;43,6671110516795;-0,4888486862182617;Crédit Agricole - Aquitaine
Agence bancaire AUDENGE;22, Allée Ernest Boissière, 33980 AUDENGE;33980;;;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (LE FOURNIL DE 1903) - Auros;9 Rue Castelnau d'Auros, 33124 Auros;33124;44,4955257637245;-0,1458907127380371;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (L'AUTHENTIQUE) - Avensan;5 Route de Castelnau, 33480 Avensan;33480;45,034751;-0,7586860999999999;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (LE CARRE DAS) - Barbaste;5 Rue de la République, 47230 Barbaste;47230;44,1699802;0,286243;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (BOULANGERIE GOURGUES) - Bascons;Rue du Docteur Dupouy, 40090 Bascons;40090;43,821383;-0,4183496;Crédit Agricole - Aquitaine
Agence bancaire BASSENS;5, Rue Henri Dunant, 33530 BASSENS;33530;;;Crédit Agricole - Aquitaine
Relais CA RELAIS CA (LA PLAINE DE GAURIAC) - Bayon-sur-Gironde;20 Moulin Dechamps, 33710 Bayon-sur-Gironde;33710;45,0573303;-0,6085314;Crédit Agricole - Aquitaine
Agence bancaire BAZAS;10, Cours Du Général De Gaulle, 33430 BAZAS;33430;;;Crédit Agricole - Aquitaine
