nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire Aigrefeuille;2 rue de Vieillevigne, 44140 Aigrefeuille;44140;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Aizenay;2 rue du Bourg-aux-Moines, 85190 Aizenay;85190;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Ancenis;80 place Charles de Gaulle, 44150 Ancenis;44150;47,37031;-1,179434;Crédit Agricole - Atlantique Vendee
Agence bancaire Pôle Pro et Agricole Côteaux Mée et 3 Rivières;80 place Charles de Gaulle, 44150 Ancenis;44150;47,369981;-1,17983;Crédit Agricole - Atlantique Vendee
Agence bancaire Aubigny;9 Grande Rue, 85430 Aubigny;85430;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Basse-Goulaine;1 place de la Chantrie, 44115 Basse-Goulaine;44115;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Beauvoir-sur-Mer;15 rue Charles-Gallet, 85230 Beauvoir-sur-Mer;85230;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Belleville-sur-Vie;13 rue de la Promenade, 85170 Belleville-sur-Vie;85170;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Benet;27 rue de Lacombe, 85490 Benet;85490;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Blain;2 rue du 6 juin 1944, 44130 Blain;44130;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Bouaye;70 rue de Nantes, 44830 Bouaye;44830;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Bouguenais;9 rue Aristide Briand, 44340 Bouguenais;44340;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Brétignolles-sur-Mer;15 avenue de Verdun, 85470 Brétignolles-sur-Mer;85470;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Carquefou;30 rue du 9 aout 1944, 44470 Carquefou;44470;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Chaillé-les-Marais;2 place de Verdun, 85450 Chaillé-les-Marais;85450;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Challans;3 rue de Nantes, 85300 Challans;85300;46,852743;-1,873274;Crédit Agricole - Atlantique Vendee
Agence bancaire Challans Cap Ocean;70 rue des Sables, 85300 Challans;85300;46,8364189;-1,8738824;Crédit Agricole - Atlantique Vendee
Agence bancaire Pôle Professionnel et Agricole Vendée Littoral;3 rue de Nantes, 85300 Challans;85300;46,848604;-1,878523;Crédit Agricole - Atlantique Vendee
Agence bancaire Chantonnay;14 rue Nationale, 85110 Chantonnay;85110;46,6860162;-1,0496323;Crédit Agricole - Atlantique Vendee
Agence bancaire Pôle Professionnel et Agricole Vendée Sud Bocage;14 rue Nationale, 85110 Chantonnay;85110;46,689391;-1,052036;Crédit Agricole - Atlantique Vendee
Agence bancaire Chaumes-en-Retz;Zone d activite le Butay, 44320 Chaumes-en-Retz;44320;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Chavagnes-en-Paillers;43 rue du General de Gaulle, 85250 Chavagnes-en-Paillers;85250;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Châteaubriant;10 place de la Motte, 44100 Châteaubriant;44100;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Clisson;28-30 avenue du General Leclerc, 44190 Clisson;44190;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Coëx;10 place Georges Clemenceau, 85220 Coëx;85220;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Commequiers;74 place de l Eglise, 85220 Commequiers;85220;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Couëron;2 Boulevard François Blancho, 44220 Couëron;44220;47,2147459;-1,7257033;Crédit Agricole - Atlantique Vendee
Agence bancaire Couëron - La Chabossière;25, Boulevard de la Libération, 44220 Couëron;44220;47,215304;-1,6808;Crédit Agricole - Atlantique Vendee
Agence bancaire Cugand;9 place de l Eglise, 85610 Cugand;85610;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Derval;Place du Bon Accueil, 44590 Derval;44590;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Dompierre-sur-Yon;Place de la Resistance et Maquis, 85170 Dompierre-sur-Yon;85170;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Donges;23 rue Rene Laennec, 44480 Donges;44480;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Les Essarts;38 rue des Sables, 85140 Essarts-en-Bocage;85140;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Fontenay-le-Comte;21 rue du Port, 85200 Fontenay-le-Comte;85200;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Geneston;22 place Georges Gaudet, 44140 Geneston;44140;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Guémené Penfao;24 rue de la Resistance, 44290 Guémené Penfao;44290;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Guérande;3 place du Marche-au-Bois, 44350 Guérande;44350;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Haute-Goulaine;7 place Beausoleil, 44115 Haute-Goulaine;44115;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Herbignac;16 avenue Paul de la Monneraye, 44410 Herbignac;44410;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Héric;14b rue de l Ocean, 44810 Héric;44810;;;Crédit Agricole - Atlantique Vendee
Agence bancaire Jard-sur-Mer;Place de la Liberte, 85520 Jard-sur-Mer;85520;;;Crédit Agricole - Atlantique Vendee
