nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ABBEVILLE PORTE BAIE DE SOMME;17 RUE DES LINGERS, 80100 ABBEVILLE;80100;;;Crédit Agricole - Brie Picardie
Agence bancaire ACHEUX EN AMIENOIS;30 RUE DE WAZIERES, 80560 ACHEUX EN AMIENOIS;80560;;;Crédit Agricole - Brie Picardie
Agence bancaire AILLY SUR NOYE;54 RUE SADI CARNOT, 80250 AILLY SUR NOYE;80250;;;Crédit Agricole - Brie Picardie
Agence bancaire AILLY SUR SOMME;2 RUE BROSSOLETTE, 80470 AILLY SUR SOMME;80470;;;Crédit Agricole - Brie Picardie
Agence bancaire AIRAINES;2 place du Commandant SEYMOUR, 80270 AIRAINES;80270;;;Crédit Agricole - Brie Picardie
Agence bancaire ALBERT;36 RUE DE BIRMINGHAM, 80301 ALBERT;80301;;;Crédit Agricole - Brie Picardie
Agence en ligne AMIENS Brie Picardie Direct;Bâtiment Cytises Centre OASIS - Allée de la Pépinière, 80480 Dury;80480;49,860858;2,279368;Crédit Agricole - Brie Picardie
Agence bancaire AMIENS CAGNY;517 RUE DE CAGNY, 80090 AMIENS;80090;49,87548;2,3293591;Crédit Agricole - Brie Picardie
Agence bancaire AMIENS CENTRE D'AFFAIRES ENTREPRISES;500 Rue Saint-Fuscien, 80090 Amiens;80090;49,8703606;2,3064154;Crédit Agricole - Brie Picardie
Agence bancaire AMIENS COEUR DE VILLE;60 Rue des 3 Cailloux, 80000 AMIENS;80000;49,89164539999999;2,3015354;Crédit Agricole - Brie Picardie
Agence bancaire AMIENS CROIX ROMPUE;500 RUE SAINT FUSCIEN, 80000 AMIENS;80000;49,8700091;2,307334;Crédit Agricole - Brie Picardie
Agence bancaire AMIENS FAUBOURG DE HEM;91 ROUTE D'ABBEVILLE, 80000 AMIENS;80000;49,9057638;2,2713688;Crédit Agricole - Brie Picardie
Agence bancaire AMIENS JULES BARNI;169 RUE JULES BARNI, 80097 AMIENS;80097;49,8875307;2,3148065;Crédit Agricole - Brie Picardie
Agence bancaire AMIENS LIBERATION;306 ROUTE DE ROUEN, 80000 AMIENS;80000;49,8865873;2,2790341;Crédit Agricole - Brie Picardie
Agence bancaire AMIENS MAIL;39 boulevard Maignan Larivière, 80000 AMIENS;80000;49,889218;2,2947285;Crédit Agricole - Brie Picardie
