nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AMBERIEU EN BUGEY;Centre Commercial du BUGEY 25 Rue Alexandre BERARD, 01500 AMBERIEU EN BUGEY;01500;;;Crédit Agricole - Centre Est
Relais CA Relais CA LA ROSERAIE - AMBERIEUX EN DOMBES;33 RUE DE LA RUELLE, 01330 AMBERIEUX EN DOMBES;01330;45,99814411846894;4,903313854192305;Crédit Agricole - Centre Est
Agence bancaire AMPLEPUIS;25 bis rue du 8 Mai 1945, 69550 AMPLEPUIS;69550;;;Crédit Agricole - Centre Est
Agence bancaire AMPUIS;18 boulevard des Allees RN86, 69420 AMPUIS;69420;;;Crédit Agricole - Centre Est
Agence bancaire ANNEYRON (CA Centre-est);38 Place Rambaud, 26140 ANNEYRON;26140;;;Crédit Agricole - Centre Est
Agence bancaire ANNONAY;11 Place des Cordeliers, 07100 ANNONAY;07100;;;Crédit Agricole - Centre Est
Relais CA Relais CA PROXIMARCHE - Anost;4 Rue Andre Basdevant, 71550 Anost;71550;47,077261;4,09948;Crédit Agricole - Centre Est
Agence bancaire ANSE;724 route de LYON, 69480 ANSE;69480;;;Crédit Agricole - Centre Est
Relais CA Relais CA STATION SERVICE LES 3D - Aoste;3390 Route de Belley, 38490 Aoste;38490;45,618496;5,6108549;Crédit Agricole - Centre Est
Agence bancaire APPRIEU;225 Route de Lyon, 38140 APPRIEU;38140;;;Crédit Agricole - Centre Est
Relais CA Relais CA LA MAISON DU TABAC - Arnas;2014 Route de Longsard, 69400 Arnas;69400;46,02494739999999;4,7058884;Crédit Agricole - Centre Est
Agence bancaire ARTEMARE;25, Rue neuve, 01510 ARTEMARE;01510;;;Crédit Agricole - Centre Est
Relais CA Relais CA ONDET CHRISTIAN - ATTIGNAT;503 GRANDE RUE, 01340 ATTIGNAT;01340;46,28786097950477;5,15938493886484;Crédit Agricole - Centre Est
Agence bancaire AUTUN;8, rue Delattre De Tassigny   BP 94, 71400 AUTUN;71400;;;Crédit Agricole - Centre Est
Relais CA Relais CA LE PAMPY - AZE;Lieu dit Le Bourg, 71260 AZE;71260;46,43208361647033;4,76102139654496;Crédit Agricole - Centre Est
Agence bancaire BAGE LE CHATEL;49, place Pluthod, 01380 BAGE LE CHATEL;01380;;;Crédit Agricole - Centre Est
Relais CA Relais CA VEROT ALAIN - BAUDRIERES;Le Bourg, 71370 BAUDRIERES;71370;46,70459093419718;5,051226255513871;Crédit Agricole - Centre Est
Agence bancaire BEAUJEU;151 Rue de la Republique, 69430 Beaujeu;69430;;;Crédit Agricole - Centre Est
Relais CA Relais CA LES TROIS BOUCHONS - Beaupont;27 place publique, 01270 Beaupont;01270;46,4103947;5,2659274;Crédit Agricole - Centre Est
Agence bancaire BEAUREPAIRE (CA Centre-est);33 rue de la Republique, 38270 BEAUREPAIRE;38270;;;Crédit Agricole - Centre Est
Agence bancaire BELLEVILLE EN BEAUJOLAIS;8 et 10 rue de la Poste, 69220 BELLEVILLE EN BEAUJOLAIS;69220;;;Crédit Agricole - Centre Est
Agence bancaire BELLEY;2, rue Saint Martin, 01300 BELLEY;01300;;;Crédit Agricole - Centre Est
Agence bancaire BEYNOST;Centre commercial Beynost 2 Zac des Baterses, 01700 BEYNOST;01700;;;Crédit Agricole - Centre Est
Relais CA Relais CA BLACE TABAC - Blace;90c Rue Adolphe Valette, 69460 Blace;69460;46,0317839;4,6442906;Crédit Agricole - Centre Est
Agence bancaire BLANZY;11 rue Jean Monnet, 71450 BLANZY;71450;;;Crédit Agricole - Centre Est
Relais CA Relais CA SNC OLIGAL - BOUGE CHAMBALUD;PLACE DE LA MAIRIE, 38150 BOUGE CHAMBALUD;38150;45,3308606463613;4,901609829399224;Crédit Agricole - Centre Est
Agence bancaire BOURBON LANCY;34 avenue General De Gaulle    BP 10, 71140 BOURBON LANCY;71140;;;Crédit Agricole - Centre Est
Agence bancaire BOURG CAP EMERAUDE;Pole Commercial Cap Emeraude 1380 Boulevard des Cretes de Revermond, 01000 BOURG EN BRESSE;01000;46,2048263;5,2255015;Crédit Agricole - Centre Est
Agence bancaire BOURG ST DENIS;27 Avenue du Mail  Quartier Peloux Mail, 01000 BOURG EN BRESSE;01000;46,201885;5,210123;Crédit Agricole - Centre Est
Agence bancaire BOURG VERDUN;32, cours de Verdun        Quartier Bourg centre, 01000 BOURG EN BRESSE;01000;46,206392;5,226789;Crédit Agricole - Centre Est
Agence bancaire BOURGOIN CHATEAU (CA Centre-est);place du Chateau, 38300 BOURGOIN JALLIEU;38300;45,585246;5,27663;Crédit Agricole - Centre Est
Agence bancaire BOURGOIN ST MICHEL (CA Centre-est);2 boulevard St Michel, 38300 BOURGOIN JALLIEU;38300;45,5856143;5,2741903;Crédit Agricole - Centre Est
Relais CA Relais CA GRILLOT PATRICK - Branges;1130 Route du Bourg, 71500 Branges;71500;46,6432355;5,180721699999999;Crédit Agricole - Centre Est
Relais CA Relais CA GUDIN MIREILLE - BRENOD;30 RUE PRINCIPALE, 01110 BRENOD;01110;46,06191193918511;5,606911688586962;Crédit Agricole - Centre Est
Relais CA Relais CA BERNARDIN DAVID - BRESSOLLES;125 GRANDE RUE, 01360 BRESSOLLES;01360;45,86559045835973;5,094690881169079;Crédit Agricole - Centre Est
Relais CA Relais CA MADEL61 - Brezins;48 Route de la Cote Saint-Andre, 38590 Brezins;38590;45,3505032;5,3067943;Crédit Agricole - Centre Est
Agence bancaire BRIGNAIS;163 rue General De Gaulle, 69530 BRIGNAIS;69530;;;Crédit Agricole - Centre Est
Agence bancaire BRINDAS;62 rue du Vieux Bourg, 69126 BRINDAS;69126;;;Crédit Agricole - Centre Est
Agence bancaire BRON CENTRE;141 avenue Franklin Roosevelt, 69500 BRON;69500;;;Crédit Agricole - Centre Est
Relais CA Relais CA EPICERIE PRESSE BAR TABAC - BROYE;Le Bourg, 71190 BROYE;71190;46,87241899578427;4,291607726683772;Crédit Agricole - Centre Est
Relais CA Relais CA L EPICERIE DU COIN - BRULLIOLES;PLACE DE L EGLISE, 69690 BRULLIOLES;69690;45,76252840317507;4,499457503690586;Crédit Agricole - Centre Est
Relais CA Relais CA BIENVENUE - Brussieu;4 Route nationale, 69690 Brussieu;69690;45,75202164771908;4,547146823225622;Crédit Agricole - Centre Est
