nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AHUN;1 grande rue, 23150 AHUN;23150;;;Crédit Agricole - Centre France
Agence bancaire AIGUEPERSE;196 Grande Rue, 63260 AIGUEPERSE;63260;;;Crédit Agricole - Centre France
Agence bancaire AINAY LE CHATEAU;6 RUE DES FOSSES, 03360 AINAY LE CHATEAU;03360;;;Crédit Agricole - Centre France
Agence bancaire ALLANCHE;2 GRAND RUE ABBE DE PRADT, 15160 ALLANCHE;15160;;;Crédit Agricole - Centre France
Agence bancaire ALLASSAC;18 PLACE DE LA REPUBLIQUE, 19240 ALLASSAC;19240;;;Crédit Agricole - Centre France
Agence bancaire AMBERT;1 AVENUE DES TUILERIES, 63600 AMBERT;63600;;;Crédit Agricole - Centre France
Agence bancaire MONTPLAIN;18 ZAC Montplaisir ouest - Montplain, 15100 ANDELAT;15100;;;Crédit Agricole - Centre France
Agence bancaire ARDES-SUR-COUZE;PLACE DU FOIRAIL, 63420 ARDES-SUR-COUZE;63420;;;Crédit Agricole - Centre France
Agence bancaire ARGENTAT;13 PLACE GAMBETTA, 19400 ARGENTAT;19400;;;Crédit Agricole - Centre France
Agence bancaire ARLANC;8 RUE JEAN VELLAY, 63220 ARLANC;63220;;;Crédit Agricole - Centre France
Agence bancaire ARPAJON-SUR-CERE;3 RUE LOUIS MATIERE, 15130 ARPAJON-SUR-CERE;15130;;;Crédit Agricole - Centre France
Agence bancaire AUBIERE;10 SQUARE WILLIAM KNOX, 63170 AUBIERE;63170;;;Crédit Agricole - Centre France
Agence bancaire AUBUSSON;9 PLACE DU GENERAL ESPAGNE, 23200 AUBUSSON;23200;;;Crédit Agricole - Centre France
Agence bancaire AULNAT;16 RUE DU COMMERCE, 63510 AULNAT;63510;;;Crédit Agricole - Centre France
Agence bancaire AGENCE DES PROFESSIONNELS D'AURILLAC;8 Place du Square, 15000 Aurillac;15000;44,9278009;2,4442881;Crédit Agricole - Centre France
Agence bancaire AURILLAC ALOUETTES;1 RUE D ILLZACH, 15000 AURILLAC;15000;44,930494;2,436285;Crédit Agricole - Centre France
Agence bancaire AURILLAC BELBEX;RUE JEAN MOULIN, 15000 AURILLAC;15000;44,917963;2,424152;Crédit Agricole - Centre France
Agence bancaire AURILLAC CAP-BLANC;53 AVENUE JEAN BAPTISTE VEYRE, 15000 AURILLAC;15000;44,936753;2,455341;Crédit Agricole - Centre France
Agence bancaire AURILLAC ENTREPRISES;2 RUE NICÉPHORE NIEPCE, 15001 AURILLAC;15001;44,909096;2,45508;Crédit Agricole - Centre France
Agence bancaire AURILLAC HOTEL DE VILLE;20 PLACE DE L'HOTEL DE VILLE, 15000 AURILLAC;15000;44,930471;2,445518;Crédit Agricole - Centre France
Agence bancaire AURILLAC MARMIERS;CENTRE COMMERCIAL MARMIERS, 15000 AURILLAC;15000;44,91202;2,435436;Crédit Agricole - Centre France
