nom;adresse;code_postal;latitude;longitude;region_source
Relais CA S.A.R.L. AUX GOURMETS VIVAL - ALLIGNY COSNE;16 B ROUTE DE BOUHY, 58200 ALLIGNY COSNE;58200;47,4544;3,06260999999995;Crédit Agricole - Centre Loire
Relais CA LE FOURNIL D ALLOGNY - Allogny;1 Route d'Henrichemont, 18110 Allogny;18110;47,22539219999999;2,320256200000017;Crédit Agricole - Centre Loire
Agence bancaire 100 POUR CENT HABITAT MONTARGIS;699 Avenue d'Antibes, 45200 Amilly;45200;47,981017;2,733124;Crédit Agricole - Centre Loire
Agence bancaire AMILLY AGENCE HABITAT PATRIMOINE;699 Avenue d'Antibes, 45200 Amilly;45200;47,981017;2,7331239;Crédit Agricole - Centre Loire
Agence bancaire AMILLY VILLAGE;44 Rue de la Mairie, 45200 AMILLY;45200;47,9749344;2,7672795;Crédit Agricole - Centre Loire
Relais CA SNC MAISON BOUCHET - Amilly;303 Rue du Gros Moulin, 45200 Amilly;45200;47,9679338;2,77467630000001;Crédit Agricole - Centre Loire
Agence bancaire ARGENT SUR SAULDRE;27, Avenue Nationale, 18410 ARGENT SUR SAULDRE;18410;;;Crédit Agricole - Centre Loire
Relais CA POIRIER HELENA-MARIA - ARQUIAN;10 B PLACE JEAN CARRIES LOGEMENT 1, 58310 ARQUIAN;58310;47,54077;2,98804;Crédit Agricole - Centre Loire
Agence bancaire ARTENAY;22, rue d Orléans, 45410 ARTENAY;45410;;;Crédit Agricole - Centre Loire
Agence bancaire AUBIGNY-SUR-NERE;13, Rue Cambournac, 18700 AUBIGNY-SUR-NERE;18700;;;Crédit Agricole - Centre Loire
Relais CA M. GUILLAUDEAU LAURENT - Augy-sur-Aubois;Place de l'Église, 18600 Augy-sur-Aubois;18600;46,78501500000001;2,843301999999994;Crédit Agricole - Centre Loire
Relais CA MME JOELLE BRUNET - AUNAY EN BAZOIS;LE BOURG, 58110 AUNAY EN BAZOIS;58110;47,1166;3,699610000000007;Crédit Agricole - Centre Loire
Relais CA MR CHRISTIAN LESAGE - AUTRY LE CHATEL;2 RUE DE L EGLISE, 45500 AUTRY LE CHATEL;45500;47,5977143;2,601857;Crédit Agricole - Centre Loire
Agence bancaire AVORD;2, Place du Docteur Tillet, 18520 AVORD;18520;;;Crédit Agricole - Centre Loire
Relais CA M OU ME BROCADET PT VRT - Azy;Le Haut Fouillet, 18220 Azy;18220;47,2034026;2,734378600000014;Crédit Agricole - Centre Loire
Relais CA MR AZZEDINE EL HANI   AU RENDEZ VOUS DES CHASSEURS - Azy-le-Vif;Le Bourg, 58240 Azy-le-Vif;58240;46,786108;3,230369999999994;Crédit Agricole - Centre Loire
Agence bancaire BAUGY;14, Rue Saint Martin, 18800 BAUGY;18800;;;Crédit Agricole - Centre Loire
