nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AIGURANDE;22, Place de la Promenade,, 36140 AIGURANDE;36140;;;Crédit Agricole - Centre Ouest
Agence bancaire AIXE SUR VIENNE;71, Avenue du Président Wilson,, 87700 AIXE SUR VIENNE;87700;;;Crédit Agricole - Centre Ouest
Agence bancaire AMBAZAC;19, Avenue de la Libération, 87240 AMBAZAC;87240;;;Crédit Agricole - Centre Ouest
Relais CA LE SESAME - Ambrault;9 Place de l'Église, 36120 Ambrault;36120;46,7849;1,95938;Crédit Agricole - Centre Ouest
Agence bancaire ARDENTES;30, Avenue de Verdun,, 36120 ARDENTES;36120;;;Crédit Agricole - Centre Ouest
Agence bancaire ARGENTON SUR CREUSE;8, Place de la République, 36200 ARGENTON SUR CREUSE;36200;;;Crédit Agricole - Centre Ouest
Relais CA BOULANGERIE - Arnac-la-Poste;3 Rue des Fleurs, 87160 Arnac-la-Poste;87160;46,2655125;1,3735024;Crédit Agricole - Centre Ouest
Relais CA PROXI - Arnac-la-Poste;Place de l'Église, 87160 Arnac-la-Poste;87160;46,2657063;1,374438;Crédit Agricole - Centre Ouest
Relais CA CAFE DES FLEURS - Azay-le-Ferron;7 Rue de l'Église, 36290 Azay-le-Ferron;36290;46,8512985;1,070701;Crédit Agricole - Centre Ouest
Agence bancaire BELABRE;10, Avenue Jean Jaurès,, 36370 BELABRE;36370;;;Crédit Agricole - Centre Ouest
Agence bancaire BELLAC;6, bis rue Gambetta ,, 87300 BELLAC;87300;;;Crédit Agricole - Centre Ouest
Relais CA LE RELAIS DU VINCOU - Berneuil;5 Route de Limoges, 87300 Berneuil;87300;46,0688532;1,1060721;Crédit Agricole - Centre Ouest
Relais CA EIRL BOUCHERIE DU RIVALIER - BERSAC SUR RIVALIER;7 PLACE DES FOSSES, 87370 BERSAC SUR RIVALIER;87370;46,0821;1,4265;Crédit Agricole - Centre Ouest
Agence bancaire BESSINES;4, Rue Peyrichon-Bey,, 87250 BESSINES SUR GARTEMPE;87250;;;Crédit Agricole - Centre Ouest
Distributeur automatique de billets AUTOMATE - BOSMIE;PLACE PEDRALBA, 87110 BOSMIE L'AIGUILLE;87110;45,780282;1,201899;Crédit Agricole - Centre Ouest
Distributeur automatique de billets AUTOMATE - BOSMIE;place pedralba, 87110 BOSMIE L'AIGUILLE;87110;45,780282;1,201899;Crédit Agricole - Centre Ouest
Relais CA CHABRETOU ET FILS PT VERT - Bujaleuf;32 Route de Saint-Léonard, 87460 Bujaleuf;87460;45,7957817;1,6223811;Crédit Agricole - Centre Ouest
Relais CA PHARMACIE LES 3 FONTAINES - BUSSIERE GALANT;AV DE LA GARE, 87230 BUSSIERE GALANT;87230;45,6076242;1,0286508;Crédit Agricole - Centre Ouest
Relais CA VIVAL - BUSSIERE GALANT;PL DU GENERAL DE GAULLE, 87230 BUSSIERE GALANT;87230;45,5858;1,06385;Crédit Agricole - Centre Ouest
Agence bancaire BUSSIERE POITEVINE;69, Avenue de la Libération,, 87320 BUSSIERE POITEVINE;87320;;;Crédit Agricole - Centre Ouest
Agence bancaire BUZANCAIS;5, Avenue du Général Leclerc,, 36500 BUZANCAIS;36500;;;Crédit Agricole - Centre Ouest
Agence bancaire CHABRIS;1, Rue du Pont,, 36210 CHABRIS;36210;;;Crédit Agricole - Centre Ouest
Relais CA LA BARAKA - Chaillac;Place du Bosquet, 36310 Chaillac;36310;46,4348205;1,2991471;Crédit Agricole - Centre Ouest
Agence bancaire CHALUS;Place Cardailhac,, 87230 CHALUS;87230;;;Crédit Agricole - Centre Ouest
Relais CA AVIA BAR TABAC - Champillet;1 Route de la Châtre, 36160 Champillet;36160;46,5486985;2,1115435;Crédit Agricole - Centre Ouest
Agence bancaire CHATEAUNEUF LA FORET;2, Avenue d'Arsonval,, 87130 CHATEAUNEUF LA FORET;87130;;;Crédit Agricole - Centre Ouest
Agence bancaire CHATEAUPONSAC;8, Rue Jeanne d'Arc,, 87290 CHATEAUPONSAC;87290;;;Crédit Agricole - Centre Ouest
Agence bancaire AGENCE ENTREPRISE 36;68, Av. Pierre de Coubertin,, 36014 CHATEAUROUX;36014;46,80305587;1,719317436;Crédit Agricole - Centre Ouest
Agence bancaire AGENCE des PROFESSIONNELS 36;68, Avenue Pierre de Coubertin,, 36000 CHATEAUROUX;36000;46,8029875;1,7192555;Crédit Agricole - Centre Ouest
Guichet Automatique de banque AUTOMATE - INTER CHATEAUROUX MYMIKA;371 AVENUE DE VERDUN, 36000 CHATEAUROUX;36000;46,789799;1,704322;Crédit Agricole - Centre Ouest
Agence bancaire BANQUE PRIVEE 36;68, Av. Pierre de Coubertin,, 36014 CHATEAUROUX;36014;46,80305587;1,719317436;Crédit Agricole - Centre Ouest
Agence bancaire CHATEAUROUX COUBERTIN;68, Avenue Pierre de Coubertin,, 36000 CHATEAUROUX;36000;46,8029176;1,7193246;Crédit Agricole - Centre Ouest
Agence bancaire CHATEAUROUX GAMBETTA;20, Place Gambetta,, 36000 CHATEAUROUX;36000;46,8123741;1,6954877;Crédit Agricole - Centre Ouest
Agence bancaire CHATEAUROUX LA BRAUDERIE;148, Avenue Charles de Gaulle,, 36000 CHATEAUROUX;36000;46,8104168;1,6873411;Crédit Agricole - Centre Ouest
Agence bancaire CHATEAUROUX LES MARINS;67, Avenue des Marins,, 36000 CHATEAUROUX;36000;46,8095564;1,6839269;Crédit Agricole - Centre Ouest
Agence bancaire CHATEAUROUX SAINT CHRISTOPHE;1, Place Saint-Christophe,, 36000 CHATEAUROUX;36000;46,8170834;1,6838268;Crédit Agricole - Centre Ouest
Agence Immobilière SQUARE HABITAT 36 Square Habitat;68, Av. Pierre de Coubertin,, 36000 CHATEAUROUX;36000;46,80305587;1,719317436;Crédit Agricole - Centre Ouest
