nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AHUY;4 RUE PRE POTET, 21121 AHUY;21121;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire AIGNAY LE DUC;2 RUE D'ARCHERON, 21510 AIGNAY LE DUC;21510;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire AILLANT SUR THOLON;17 GRANDE RUE SAINT-ANTOINE, 89110 AILLANT SUR THOLON;89110;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire AIX EN OTHE;22 RUE PIERRE BROSSOLETTE, 10160 AIX EN OTHE;10160;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire ANCY LE FRANC;8 GRANDE RUE, 89160 ANCY LE FRANC;89160;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire ANDELOT;PLACE CANTAREL, 52700 ANDELOT;52700;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire ARCIS SUR AUBE;2 RUE DE TROYES, 10700 ARCIS SUR AUBE;10700;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire ARNAY LE DUC;1 PLACE DU CRAQUELIN, 21230 ARNAY LE DUC;21230;;;Crédit Agricole - Champagne Bourgogne
Agence en ligne CENTRE DE RELATION CLIENT;20 RUE DAVOUT, 21110 DIJON;21110;47,32434623922244;5,052573598016313;Crédit Agricole - Champagne Bourgogne
Agence bancaire AUXERRE LEPÈRE;23 RUE DE LA DRAPERIE, 89000 AUXERRE;89000;47,7957686;3,5690814;Crédit Agricole - Champagne Bourgogne
Agence bancaire AUXERRE PONT;102 Rue du Pont, 89000 Auxerre;89000;47,79458909465107;3,577059968306449;Crédit Agricole - Champagne Bourgogne
Agence bancaire AUXERRE TEMPLE;82 RUE DU TEMPLE, 89000 AUXERRE;89000;47,79277;3,56775;Crédit Agricole - Champagne Bourgogne
Agence bancaire CENTRE D'AFFAIRES ENTREPRISES - AUXERRE;80 BIS RUE DU TEMPLE, 89000 AUXERRE;89000;47,792754;3,567862;Crédit Agricole - Champagne Bourgogne
Agence bancaire AUXONNE;48 Rue Antoine Masson, 21130 AUXONNE;21130;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire AVALLON;6 RUE DE LYON, 89200 AVALLON;89200;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire BAR SUR AUBE;36 RUE THIERS, 10200 BAR SUR AUBE;10200;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire BAR SUR SEINE;FAUBOURG DE CHAMPAGNE, 10110 BAR SUR SEINE;10110;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire BEAUNE CENTRE;41 RUE D'ALSACE, 21200 BEAUNE;21200;47,021743;4,840662;Crédit Agricole - Champagne Bourgogne
Agence bancaire BEAUNE SAINT NICOLAS;Adresse temporaire - 41 Rue d'Alsace, 21200 BEAUNE;21200;47,021775878;4,840699726;Crédit Agricole - Champagne Bourgogne
Agence bancaire CENTRE D'AFFAIRES ENTREPRISES VITI - BEAUNE;130 ROUTE DE DIJON, 21200 BEAUNE;21200;47,033294;4,844444800000019;Crédit Agricole - Champagne Bourgogne
Agence bancaire SAINT DIZIER BETTANCOURT;ROUTE DE BAR LE DUC, 52100 BETTANCOURT LA FERREE;52100;;;Crédit Agricole - Champagne Bourgogne
Relais CA D'AVAU TABAC PRESSE - Blaisy-Bas;32 Rue d'Avau, 21540 Blaisy-Bas;21540;47,3721269;4,7394579;Crédit Agricole - Champagne Bourgogne
Agence bancaire BOUILLY;3 bis Rue du Bois, 10320 Bouilly;10320;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire BOURMONT;74 FAUBOURG DE FRANCE, 52150 BOURMONT;52150;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire BREVIANDES;78 Avenue Maréchal Leclerc, 10450 BREVIANDES;10450;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire BRIENNE LE CHÂTEAU;21 BOULEVARD NAPOLEON, 10500 BRIENNE LE CHATEAU;10500;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire BRIENON SUR ARMANÇON;PLACE EMILE BLONDEAU, 89210 BRIENON SUR ARMANCON;89210;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CERISIERS;41 RUE DU GENERAL DE GAULLE, 89320 CERISIERS;89320;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHABLIS;4 PLACE DU GENERAL DE GAULLE, 89800 CHABLIS;89800;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHALINDREY;27 RUE DE LA REPUBLIQUE, 52600 CHALINDREY;52600;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHAOURCE;1 RUE DES ROISES, 10210 CHAOURCE;10210;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHARNY;3 Place Victor Hugo, 89120 Charny-Orée-de-Puisaye;89120;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHATEAUVILLAIN;2 RUE PENTHIEVRE, 52120 CHATEAUVILLAIN;52120;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHATILLON SUR SEINE;1 RUE DU DOCTEUR ROBERT, 21400 CHATILLON SUR SEINE;21400;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHAUMONT GARE;4 PLACE EMILE GOGUENHEIM, 52000 CHAUMONT;52000;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHENÔVE;123 AVENUE ROLAND CARRAZ, 21300 CHENOVE;21300;;;Crédit Agricole - Champagne Bourgogne
Agence bancaire CHEVIGNY SAINT SAUVEUR;22 PLACE DE LA LIBERTE, 21800 CHEVIGNY SAINT SAUVEUR;21800;;;Crédit Agricole - Champagne Bourgogne
