nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire Aiffres;1905 route de Niort, 79230 Aiffres;79230;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Aigrefeuille-d'Aunis;3 rue de l'Aunis, 17290 Aigrefeuille-d'Aunis;17290;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Airvault;31 rue de la Gendarmerie, 79600 Airvault;79600;;;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA C&D Services - Amailloux;37 Grand Rue, 79350 Amailloux;79350;46,745781;-0,31243;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Café du Centre - Andilly;37 rue de la Paix, 17230 Andilly;17230;46,25347;-1,027848;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Angoulins;2 rue François Personnat, 17690 Angoulins;17690;;;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Coop - Arcais;6 rue du Marais, 79210 Arcais;79210;46,29679049188204;-0,6912984699010849;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Archiac;9 rue Catherine d'Archiac, 17520 Archiac;17520;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Argentonnay;6 place du 4 août, 79150 Argentonnay;79150;;;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA La Mimolette - Asnières-la-Giraud;5 avenue de Saint-Jean-d'Angély, 17400 Asnières-la-Giraud;17400;45,888916;-0,521521;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Aulnay;12 place Aristide Briand, 17470 Aulnay;17470;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Aytré;4 bis avenue Edmond Grasset, 17440 Aytré;17440;;;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Guiberteau - Beauvais-sur-Matha;1 rue Grand Place, 17490 Beauvais-sur-Matha;17490;45,882556;-0,187042;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Beauvoir-sur-Niort;330 rue de la Gare, 79360 Beauvoir-sur-Niort;79360;;;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Proxi Benon - Comptoir Dumesnil - Benon;14 rue du Château, 17170 Benon;17170;46,205198;-0,81599;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Supérette Le Charentais - Bernay-Saint-Martin;34 route de La Rochelle Parançay, 17330 Bernay-Saint-Martin;17330;46,054017;-0,638947;Crédit Agricole - Charente Maritime Deux Sevres
"Relais CA Boule Camille ""Chez Camille"" - Boisredon";8 route de Soubran, 17150 Boisredon;17150;45,31431;-0,539019;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Le Panier Charentais - Bords;31 rue Saint-Vivien, 17430 Bords;17430;45,897007;-0,795189;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Bourcefranc-le-Chapus;2 rue Kennedy, 17560 Bourcefranc-le-Chapus;17560;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Bressuire (5 mai);15 place du 5 mai, 79300 Bressuire;79300;46,8385514;-0,4925564;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Bressuire (Bocapole);74 boulevard de Thouars, 79300 Bressuire;79300;46,8472815;-0,4764049;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Bressuire (agence entreprises);74 boulevard de Thouars, 79300 Bressuire;79300;46,8472815;-0,4764049;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Bressuire (banque privée);74 boulevard de Thouars, 79300 Bressuire;79300;46,8472815;-0,4764049;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Bressuire (pôle des professionnels);74 boulevard de Thouars, 79300 Bressuire;79300;46,8472815;-0,4764049;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Le Relais Tervais - Bressuire;28 boulevard Notre Dame, 79300 Bressuire;79300;46,84188;-0,491423;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Boulangerie Fuchs - Breuil-Magné;7 place des Caneteries, 17870 Breuil-Magné;17870;45,983825;-0,959063;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Au marché d'Annie - Brion-prés-Thouet;15 route de Saumur, 79290 Brion-prés-Thouet;79290;47,053597;-0,185522;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Brioux-sur-Boutonne;88 rue du Commerce, 79170 Brioux-sur-Boutonne;79170;;;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Tabac-Presse du Cèdre Vert - Brizambourg;31 avenue de Cognac, 17770 Brizambourg;17770;45,823223;-0,48183;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Burie;Rue de Verdun, 17770 Burie;17770;;;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA La Boulange de Bussac-Forêt - Bussac-Forêt;3 route de la Cimenterie, 17210 Bussac-Forêt;17210;45,212804;-0,367886;Crédit Agricole - Charente Maritime Deux Sevres
Relais CA Le Relais des Bois - Bussac-Forêt;1 route de Saint-Yzan, 17210 Bussac-Forêt;17210;45,212027;-0,370003;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Celles-sur-Belle;4 rue Daniel Archaimbault, 79370 Celles-sur-Belle;79370;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Cerizay;17 avenue du Général de Gaulle, 79140 Cerizay;79140;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Champdeniers-Saint-Denis;29 place du Champ de Foire, 79220 Champdeniers-Saint-Denis;79220;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Chaniers;6 avenue Charles de Gaulle, 17610 Chaniers;17610;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Charron;Rue du Château - Zone de commerce Bat. C lot 2, 17230 Charron;17230;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Chauray;75 rue des Combes, 79180 Chauray;79180;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Châtelaillon-Plage;124 boulevard de la République, 17340 Châtelaillon-Plage;17340;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Chef-Boutonne;10 bis avenue Louis Doignon, 79110 Chef-Boutonne;79110;;;Crédit Agricole - Charente Maritime Deux Sevres
Agence bancaire Chevanceaux;19 Route de Libourne, 17210 Chevanceaux;17210;;;Crédit Agricole - Charente Maritime Deux Sevres
