nom;adresse;code_postal;latitude;longitude;region_source
Relais CA PROXY - Agonac;38 Avenue de la Beauronne, 24460 Agonac;24460;45,2916085;0,7502198;Crédit Agricole - Charente Perigord
Agence bancaire AIGRE;7 Avenue du huit Mai 1945, 16140 AIGRE;16140;;;Crédit Agricole - Charente Perigord
Agence bancaire ANGOULEME CHAMP DE MARS;27, rue René Goscinny, 16000 ANGOULEME;16000;45,64823925312477;0,1624115422954642;Crédit Agricole - Charente Perigord
Agence bancaire ANGOULEME LOUVEL;9, place Louvel, 16000 ANGOULEME;16000;45,6493411;0,1538525;Crédit Agricole - Charente Perigord
Agence bancaire ANGOULEME MA CAMPAGNE;293, avenue de Navarre, 16000 ANGOULEME;16000;45,633764;0,1539995;Crédit Agricole - Charente Perigord
Agence bancaire ANGOULEME SAINT CYBARD;111 rue de Saintes, 16000 ANGOULEME;16000;45,6585311;0,1443308;Crédit Agricole - Charente Perigord
Agence bancaire ANGOULEME TROIS CHENES;280, rue de Basseau, 16000 ANGOULEME;16000;45,6513815;0,1234164;Crédit Agricole - Charente Perigord
Guichet Automatique de banque AUBETERRE;7 Place Trarieux, 16390 AUBETERRE-SUR-DRONNE;16390;45,2716646;0,170258800000056;Crédit Agricole - Charente Perigord
Relais CA 2LAUD'ANS - Badefols-d'Ans;RUE PRINCIPALE, 24390 Badefols-d'Ans;24390;45,22843403337328;1,198072864743014;Crédit Agricole - Charente Perigord
Agence bancaire BAIGNES;Place des Halles, 16360 Baignes-Sainte-Radegonde;16360;;;Crédit Agricole - Charente Perigord
Agence bancaire BARBEZIEUX;40, Boulevard Chanzy, 16300 BARBEZIEUX;16300;;;Crédit Agricole - Charente Perigord
Agence bancaire BERGERAC AUGUSTE COMTE;Boulevard Auguste Comte, 24100 BERGERAC;24100;44,8485617;0,4924837;Crédit Agricole - Charente Perigord
Agence bancaire BERGERAC MARCHE COUVERT;Place Louis de la Bardonnie, 24100 BERGERAC;24100;44,852299;0,483154;Crédit Agricole - Charente Perigord
Agence bancaire BERGERAC POURPRE;Avenue du Maréchal Leclerc, 24100 BERGERAC;24100;44,8433876;0,477406;Crédit Agricole - Charente Perigord
Relais CA SNC EMERY ARMANDY - Bergerac;3 Rue Berggren, 24100 Bergerac;24100;44,8466692;0,4819806;Crédit Agricole - Charente Perigord
Agence bancaire BOULAZAC;223 Boulevard du Petit Change, 24750 Boulazac Isle Manoire;24750;;;Crédit Agricole - Charente Perigord
