nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AJACCIO BERTHAULT;Rue des Cactus, parc Berthault, 20000 AJACCIO;20000;41,912581;8,722295;Crédit Agricole - Corse
Agence bancaire AJACCIO DIAMANT;Avenue du 1er Consul, 20000 AJACCIO;20000;41,91859298365747;8,737322917730808;Crédit Agricole - Corse
Agence bancaire AJACCIO MEZZAVIA;Lotissement Mancini, 20167 AJACCIO;20167;41,94942688183477;8,771058401487512;Crédit Agricole - Corse
Agence bancaire AJACCIO NAPOLEON;1 Avenue Beverini Vico, 20000 AJACCIO;20000;41,9263275;8,737542699999999;Crédit Agricole - Corse
Agence bancaire AJACCIO ROCADE;Boulevard Louis Campi, immeuble Norma, 20000 AJACCIO;20000;41,9432665;8,7527572;Crédit Agricole - Corse
Agence bancaire AJACCIO SALINES;Centre Commercial des Salines, 20090 AJACCIO;20090;41,9348076661401;8,750634390821688;Crédit Agricole - Corse
Agence bancaire BANQUE PRIVÉE CORSE DU SUD;Espace Lupécia MEZZAVIA, 20167 AJACCIO;20167;41,94981326;8,771143373;Crédit Agricole - Corse
Agence bancaire ENTREPRISES CORSE DU SUD;Espace Lupécia MEZZAVIA, 20167 AJACCIO;20167;41,94981326;8,771143373;Crédit Agricole - Corse
Agence bancaire HABITAT CONSEIL CORSE DU SUD;Espace Lupécia MEZZAVIA, 20167 AJACCIO;20167;41,94944010544012;8,771029472724207;Crédit Agricole - Corse
Agence bancaire ALERIA;305, avenue St Alexandre Sauli, 20270 ALERIA;20270;;;Crédit Agricole - Corse
Agence bancaire BASTIA CAP;Port de plaisance de Toga Ville-di-Pietrabugno, 20200 BASTIA;20200;42,708576;9,454245;Crédit Agricole - Corse
Agence bancaire BASTIA MONTESORO;Centre Commercial de Montesoro - Le Polygone, 20600 BASTIA;20600;42,6737828;9,44292069;Crédit Agricole - Corse
Agence bancaire BASTIA ST NICOLAS;13, boulevard du Général de Gaulle, 20200 BASTIA;20200;42,700932;9,450842;Crédit Agricole - Corse
Agence bancaire BIGUGLIA;lieu dit Cardello RN 193, 20620 BIGUGLIA;20620;42,631054;9,43809271;Crédit Agricole - Corse
Agence bancaire ENTREPRISES HAUTE CORSE;Lieu dit Cardello RN 193, 20620 BIGUGLIA;20620;42,6310865;9,4383153;Crédit Agricole - Corse
Agence bancaire HABITAT CONSEIL HAUTE CORSE;Lieu dit Cardello RN 193, 20620 BIGUGLIA;20620;9,4383153;9,4383153;Crédit Agricole - Corse
Agence bancaire BORGO;Résidence la Mormonara, 20290 BORGO;20290;;;Crédit Agricole - Corse
Agence bancaire CALVI;Immeuble Reginella Avenue de la République, 20260 CALVI;20260;;;Crédit Agricole - Corse
Agence bancaire CORTE;5 Cours Paoli, 20250 Corte;20250;;;Crédit Agricole - Corse
Agence bancaire FOLELLI;RN 193 Castellare Di Casinca, 20213 FOLELLI;20213;;;Crédit Agricole - Corse
Agence bancaire GHISONACCIA;Résidence Linari Route de Ghisoni, 20240 GHISONACCIA;20240;;;Crédit Agricole - Corse
Agence bancaire L ILE ROUSSE;Rue de la Forge, 20220 L ILE ROUSSE;20220;;;Crédit Agricole - Corse
Agence bancaire MORIANI;San Nicolao, 20230 MORIANI;20230;;;Crédit Agricole - Corse
Agence bancaire PONTE LECCIA;Immeuble Salvarelli, 20218 PONTE LECCIA;20218;;;Crédit Agricole - Corse
Agence bancaire PORTICCIO;Centre Commercial U PAESE, 20166 PORTICCIO;20166;;;Crédit Agricole - Corse
Agence bancaire PORTO VECCHIO;Quartier Poretta Les Quatres Portes, 20137 PORTO VECCHIO;20137;41,59906119;9,275422096;Crédit Agricole - Corse
Agence bancaire PORTO VECCHIO - ARCA;Rond point Arca - Lieu dit Carruccino, 20137 PORTO VECCHIO;20137;41,58355146121692;9,26686051807156;Crédit Agricole - Corse
Agence bancaire PROPRIANO;Villa Fieschi Avenue Napoléon, 20110 PROPRIANO;20110;;;Crédit Agricole - Corse
Agence bancaire SAGONE;Résidence de la Plage, 20118 SAGONE;20118;;;Crédit Agricole - Corse
Agence bancaire SAINT FLORENT;Résidence les Arcades, 20217 SAINT FLORENT;20217;;;Crédit Agricole - Corse
Agence bancaire AJACCIO BALEONE;Rond-point de Baleone, 20167 SARROLA CARCOPINO;20167;41,963834;8,81268;Crédit Agricole - Corse
Agence bancaire CALDANICCIA;Lotissement Pernicaggio  Route de Caldaniccia, 20167 SARROLA CARCOPINO;20167;41,95387404565002;8,800863702900097;Crédit Agricole - Corse
Agence bancaire SARTENE;Avenue Hyacynthe Quilicchini, 20100 SARTENE;20100;;;Crédit Agricole - Corse
