nom;adresse;code_postal;latitude;longitude;region_source
Relais CA JUEST - Andel;8 Rue Abbé Hingant, 22400 Andel;22400;48,4911615;-2,567502;Crédit Agricole - Cotes D Armor
Agence bancaire de Ploubalay;10 Place de la Nuit du 6 Août 1944, 22650 Beaussais-sur-Mer;22650;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Belle-Isle-en-Terre;16 rue Pont Cunuder, 22810 Belle-Isle-en-Terre;22810;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Bégard;19 rue de l'Hôtel de Ville, 22140 Bégard;22140;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Binic;9 Place le Pommelec, 22520 Binic;22520;;;Crédit Agricole - Cotes D Armor
Relais CA A L'OUEST - Bon Repos sur Blavet;11 Rue du Kreiz Ker, 22570 Bon Repos sur Blavet;22570;48,1757236;-3,1571441;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Bourbriac;25 rue d Armor, 22390 Bourbriac;22390;;;Crédit Agricole - Cotes D Armor
Relais CA SORIN ISABELLE - Bourseul;13 Rue Châteaubriand, 22130 Bourseul;22130;48,4878817;-2,2586375;Crédit Agricole - Cotes D Armor
Relais CA JEGAT OLIVIER - Bréhand;1 Rue de Penthièvre, 22510 Bréhand;22510;48,4027312;-2,5739096;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Broons;8 Place du Docteur Laurent, 22250 Broons;22250;;;Crédit Agricole - Cotes D Armor
Relais CA CH'TY-COZ - Bulat-Pestivien;1 Plasenn ar Skol, 22160 Bulat-Pestivien;22160;48,42831899999999;-3,3307993;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Callac;Rue du Docteur Le Quéré, 22160 Callac;22160;;;Crédit Agricole - Cotes D Armor
Relais CA LE PORS LE GAC - Carnoët;1 Rue de la Poste, 22160 Carnoët;22160;48,368144;-3,5207689;Crédit Agricole - Cotes D Armor
Relais CA TY KOR - LA VALLEE DES SAINTS - Carnoët;2 Rue Principale, 22160 Carnoët;22160;48,3678479;-3,520245;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Caulnes;13 rue de la Gare, 22350 Caulnes;22350;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Cavan;2 rue du Général de Gaulle, 22140 Cavan;22140;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Châtelaudren;8 place de la République, 22170 Châtelaudren;22170;;;Crédit Agricole - Cotes D Armor
Relais CA CHEZ JENNY - Cohiniac;1 Rue de la Poste, 22800 Cohiniac;22800;48,4619045;-2,9494938;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Le Mené Collinée;14 rue du Mené, 22330 Collinée;22330;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Corlay;5 Place Sidonie Carrière, 22320 Corlay;22320;;;Crédit Agricole - Cotes D Armor
Relais CA E.U.R.L. DELAMBILY - Créhen;1 Rue Guy Homery, 22130 Créhen;22130;48,5462254;-2,2137779;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Dinan;1 rue Lord Kitchener, 22100 Dinan;22100;48,4540245;-2,0517534;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Dinan Merciers;4 Place des Merciers, 22100 Dinan;22100;48,4536428;-2,0439025;Crédit Agricole - Cotes D Armor
Relais CA GAUMERAIS JOSIANNE - Dinan;Rue Châteaubriand, 22100 Dinan;22100;48,4492402;-2,0471927;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Léhon;Centre commercial, route de Caulnes, 22100 Dinan Léhon;22100;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole d'Erquy;Place du Nouvel Oupeye, 22430 Erquy;22430;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Étables-Sur-Mer;11 Place Jean Heurtel, 22680 Etables-Sur-Mer;22680;;;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Evran;Rue de la Libération, 22630 Evran;22630;;;Crédit Agricole - Cotes D Armor
Relais CA KAP'TIPHAINE - Fréhel;9 Place de Chambly, 22240 Fréhel;22240;48,6284347;-2,3655686;Crédit Agricole - Cotes D Armor
Relais CA CHEZ L'AMI - Gausson;Le Bourg, 22150 Gausson;22150;48,30022;-2,754721;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Gouarec;5 rue Moulin, 22570 Gouarec;22570;;;Crédit Agricole - Cotes D Armor
Relais CA VIVAL - Goudelin;3 Rue d'Armor, 22290 Goudelin;22290;48,60496;-3,0174954;Crédit Agricole - Cotes D Armor
Relais CA LE CAFE GRACIEUX - Grâce-Uzel;1 Rue du Lin, 22460 Grâce-Uzel;22460;48,240992;-2,801724;Crédit Agricole - Cotes D Armor
Relais CA LE SHOOTER - Grâces;27 Rue de l'Église, 22200 Grâces;22200;48,5568623;-3,1856038;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Guingamp;1 boulevard de la Marne, 22200 Guingamp;22200;48,558407;-3,144158;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Guingamp Saint-Michel;3 rue Saint-Michel, 22200 Guingamp;22200;48,5609987;-3,1578843;Crédit Agricole - Cotes D Armor
Relais CA LE P TIT BISTROT - Guitté;4 place de l'eglise guitte, 22350 Guitté;22350;48,2672612;-2,066141;Crédit Agricole - Cotes D Armor
Relais CA LA FORGE - Gurunhuel;KERAMBELLEC, 22390 Gurunhuel;22390;48,51579;-3,299461;Crédit Agricole - Cotes D Armor
Relais CA LASSALLE DIDIER - Hémonstoir;4 Rue Pacifique le Hello, 22600 Hémonstoir;22600;48,1585904;-2,8305858;Crédit Agricole - Cotes D Armor
Relais CA LE GOFF OLIVIER - Hénanbihen;Rue de la Libération, 22550 Hénanbihen;22550;48,5572622;-2,3808082;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Hillion;2 Place de l'Eglise, 22120 Hillion;22120;;;Crédit Agricole - Cotes D Armor
Relais CA BREHAT SERVICES - Île-de-Bréhat;Le Bourg, 22870 Île-de-Bréhat;22870;48,8453477;-2,9996309;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Jugon-Les-Lacs;1 rue du Bourgneuf, 22270 Jugon-les-Lacs Commune Nouvelle;22270;;;Crédit Agricole - Cotes D Armor
Relais CA EPI-SERVICES - Kergrist-Moëlou;Rue des Anciens Combattants, 22110 Kergrist-Moëlou;22110;48,3092197;-3,3177249;Crédit Agricole - Cotes D Armor
Relais CA LA CALE SECHE - Kermaria-Sulard;1 Rue de la Mairie, 22450 Kermaria-Sulard;22450;48,7714857;-3,3710374;Crédit Agricole - Cotes D Armor
Relais CA L'EMBUSCADE - Kermoroc'h;1 Rue de la Poste, 22140 Kermoroc'h;22140;48,6226007;-3,2066747;Crédit Agricole - Cotes D Armor
Relais CA COOP LA PAYSANNE - La Bouillie;Rue du Chemin Chaussée, 22240 La Bouillie;22240;48,5706399;-2,4357147;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de La Chèze;1 rue de Josselin, 22210 La Chèze;22210;;;Crédit Agricole - Cotes D Armor
Relais CA AU BISTROT GOURMAND - La Malhoure;1 rue de l'église, 22640 La Malhoure;22640;48,396047;-2,495161;Crédit Agricole - Cotes D Armor
Relais CA LE RELAIS - La Motte;19 Rue de la Croix Jartel, 22600 La Motte;22600;48,2295317;-2,7296599;Crédit Agricole - Cotes D Armor
Relais CA NOLF SKRZYPCZAK - La Prénessaye;1 Rue de l'Église, 22210 La Prénessaye;22210;48,1829119;-2,6346366;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de La Roche Derrien;5 rue aux Toiles, 22450 La Roche Derrien;22450;;;Crédit Agricole - Cotes D Armor
Relais CA LE BIZIEN - La Roche-Jaudy;1 Rue du Bizien, 22450 La Roche-Jaudy;22450;48,764256;-3,198749;Crédit Agricole - Cotes D Armor
Relais CA LE JAUDY - La Roche-Jaudy;21 Rue de l'Église, 22450 La Roche-Jaudy;22450;48,7316525;-3,2422544;Crédit Agricole - Cotes D Armor
Relais CA SNC LA POINTE - La Vicomté-sur-Rance;1 Rue de la Mairie, 22690 La Vicomté-sur-Rance;22690;48,4856723;-1,9840752;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Lamballe;18 Rue Saint-Jean, 22400 Lamballe;22400;48,4684356;-2,5171761;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Lamballe Leclerc;66 rue Mouexigné, 22400 Lamballe;22400;48,4606806;-2,5139503;Crédit Agricole - Cotes D Armor
Relais CA ETS BERTRO SERGE - Lamballe-Armor;Le Bourg, 22400 Lamballe-Armor;22400;48,4815858;-2,5026995;Crédit Agricole - Cotes D Armor
Relais CA LMN - Lamballe-Armor;4 Rue Col Halna du Fretay, 22400 Lamballe-Armor;22400;48,4402975;-2,541337;Crédit Agricole - Cotes D Armor
Relais CA NOUVELLE COOP PAYSANNE D'ERQUY - Lamballe-Armor;7 La Clôture, 22400 Lamballe-Armor;22400;48,5287999;-2,5801094;Crédit Agricole - Cotes D Armor
Relais CA PROXI - Lancieux;14 Rue du Poncel, 22770 Lancieux;22770;48,6060828;-2,150408;Crédit Agricole - Cotes D Armor
Relais CA LE P'TIT GUIHEN - Landéhen;2 Place du Bourg, 22400 Landéhen;22400;48,4290652;-2,5390723;Crédit Agricole - Cotes D Armor
Relais CA LE RELAIS DE LANFAINS - Lanfains;1 Place Saint-Guyganton, 22800 Lanfains;22800;48,3527977;-2,9136251;Crédit Agricole - Cotes D Armor
Relais CA LE DORIS - Langrolay-sur-Rance;12 Rue de la ville Chevalier, 22490 Langrolay-sur-Rance;22490;48,5529069;-2,0079495;Crédit Agricole - Cotes D Armor
Relais CA NOUVELLE COOP PAYSANNE D ERQUY - Languenan;LA GARE, 22130 Languenan;22130;48,5111599;-2,126754;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Langueux;4 rue de Rennes, 22360 Langueux;22360;;;Crédit Agricole - Cotes D Armor
Relais CA BAR DES SPORTS - Languédias;Bourg, 22980 Languédias;22980;48,387661;-2,2130679;Crédit Agricole - Cotes D Armor
Relais CA LE RELAIS DE LANMODEZ - Lanmodez;5 Rue de la Mairie, 22610 Lanmodez;22610;48,841726;-3,107031;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Lannion;10 allée du Palais de Justice, 22300 Lannion;22300;48,728925;-3,458425;Crédit Agricole - Cotes D Armor
Agence bancaire Crédit Agricole de Lannion Bel Air;116 Rue des Frères Lagadec - Bel Air, 22300 Lannion;22300;48,7219188;-3,4803632;Crédit Agricole - Cotes D Armor
