nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ABONDANCE;Place du Champ de Foire, 74360 ABONDANCE;74360;;;Crédit Agricole - Des Savoie
Agence bancaire AIGUEBLANCHE;Place du Château, 73260 AIGUEBLANCHE;73260;;;Crédit Agricole - Des Savoie
Agence bancaire AIME;1006 avenue de la Tarentaise, 73210 AIME LA PLAGNE;73210;;;Crédit Agricole - Des Savoie
Agence bancaire AIX LES BAINS - Clémenceau;31 place Georges Clémenceau, 73100 AIX LES BAINS;73100;45,693373;5,911024;Crédit Agricole - Des Savoie
Agence bancaire AIX LES BAINS - Les Thermes;2 square du Temple de Diane, 73100 AIX LES BAINS;73100;45,689111;5,914845;Crédit Agricole - Des Savoie
Agence bancaire AIX LES BAINS - Roosevelt;36 boulevard Franklin Roosevelt, 73100 AIX LES BAINS;73100;45,7012306;5,909370399999943;Crédit Agricole - Des Savoie
Agence bancaire ALBERTVILLE - Gambetta;10 rue Gambetta, 73200 ALBERTVILLE;73200;;;Crédit Agricole - Des Savoie
Agence bancaire ALBY SUR CHERAN;31 rue du Pont Neuf, 74540 ALBY-SUR-CHERAN;74540;;;Crédit Agricole - Des Savoie
Relais CA MARTIN DUNAND ANNICK CHRISTINE - ALLINGES;1200 Route de Noyer, 74200 ALLINGES;74200;46,33485;6,4787551;Crédit Agricole - Des Savoie
Agence bancaire ALLONZIER LA CAILLE;PAE La Caille - 165 avenue des Marais, 74350 ALLONZIER-LA-CAILLE;74350;;;Crédit Agricole - Des Savoie
Agence bancaire AMBILLY;Place de la Martinière, 74100 AMBILLY;74100;;;Crédit Agricole - Des Savoie
Agence bancaire ANNECY - Filaterie;25 rue Filaterie, 74000 ANNECY;74000;45,899027;6,126479;Crédit Agricole - Des Savoie
Agence bancaire ANNECY - Genève;58 avenue de Genève, 74000 ANNECY;74000;45,915775;6,123843;Crédit Agricole - Des Savoie
Agence bancaire ANNECY - Les Fins;53 avenue de Genève, 74000 ANNECY;74000;45,91237599999999;6,123694600000022;Crédit Agricole - Des Savoie
Agence bancaire ANNECY - Novel;Centre Commercial Novel, 1 place de l'Annapurna, 74000 ANNECY;74000;45,916949;6,133609;Crédit Agricole - Des Savoie
Agence bancaire ANNECY - Parmelan;2 avenue du Parmelan, 74000 ANNECY;74000;45,903408;6,130618;Crédit Agricole - Des Savoie
Agence bancaire ANNECY - Saint-François;9 rue Saint-François de Sales, 74000 ANNECY;74000;45,9001797;6,121730599999978;Crédit Agricole - Des Savoie
Agence bancaire CRAN GEVRIER;17 avenue de la République, 74960 ANNECY;74960;45,90739749999999;6,1073075;Crédit Agricole - Des Savoie
Agence Immobilière Espace Habitat - ANNECY Square Habitat;7 Avenue du Pré Félin, 74940 Annecy;74940;45,9246013;6,1657077;Crédit Agricole - Des Savoie
Agence bancaire ANNECY LE VIEUX - Pommaries;3 rue des Ecoles, 74940 ANNECY LE VIEUX;74940;45,911309;6,144587;Crédit Agricole - Des Savoie
Agence bancaire Agence Entreprises Annecy Genevois;PAE Les Glaisins - 4 avenue du Pré Félin, 74985 ANNECY LE VIEUX;74985;45,925147;6,16646;Crédit Agricole - Des Savoie
Agence bancaire ANNEMASSE - Gare;15 rue de la Gare, 74100 ANNEMASSE;74100;46,1946645;6,23362069999996;Crédit Agricole - Des Savoie
Agence bancaire ANNEMASSE - Marché;7 avenue Pasteur, 74100 ANNEMASSE;74100;46,193093;6,235947600000031;Crédit Agricole - Des Savoie
Agence bancaire ANNEMASSE - St André;5 place de l'Eglise St André, 74100 ANNEMASSE;74100;46,1899193996862;6,233638823032379;Crédit Agricole - Des Savoie
Agence Immobilière Espace Habitat - BASSIN ANNEMASSIEN Square Habitat;15 Rue de la Gare, 74100 Annemasse;74100;46,1946624;6,233603599999999;Crédit Agricole - Des Savoie
