nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AMANCEY;15 A Grande Rue, 25330 AMANCEY;25330;;;Crédit Agricole - Franche Comte
Agence bancaire ARBOIS;58, grande rue, 39600 ARBOIS;39600;;;Crédit Agricole - Franche Comte
Agence bancaire ARC ET SENANS - Point Service Conseil;2 rue du centre Bourg, 25610 ARC ET SENANS;25610;;;Crédit Agricole - Franche Comte
Agence bancaire ARINTHOD;2 place de la Poste, lieu dit La Ville, 39240 ARINTHOD;39240;;;Crédit Agricole - Franche Comte
Relais CA SCAF DES ERYTHRONES - AROMAS;Zone artisanale champ rouge, 39240 AROMAS;39240;46,2929389;5,482430000000022;Crédit Agricole - Franche Comte
Agence bancaire AUDINCOURT;2, rue de Seloncourt, 25400 AUDINCOURT;25400;;;Crédit Agricole - Franche Comte
Relais CA AU P'TOT MEUNIER - Aumont;4 route de dole, 39800 Aumont;39800;46,9104624;5,632093800000007;Crédit Agricole - Franche Comte
Agence bancaire BAUME LES DAMES;14 Esplanade du Breuil, 25110 BAUME LES DAMES;25110;;;Crédit Agricole - Franche Comte
Agence bancaire BAVANS;4, grande rue, 25550 BAVANS;25550;;;Crédit Agricole - Franche Comte
Agence bancaire BEAUCOURT;3, Place SALENGRO, 90500 BEAUCOURT;90500;;;Crédit Agricole - Franche Comte
Relais CA SPRAD - MAXIMARCHE - BEAUFORT;rue du champ bouvier, 39190 BEAUFORT;39190;46,576566;5,43609;Crédit Agricole - Franche Comte
Agence bancaire BELFORT CENTRE;2 parking des Arts, 90000 BELFORT;90000;47,6413;6,86138;Crédit Agricole - Franche Comte
Agence bancaire BELFORT JEAN JAURES;148 Avenue Jean Jaurès, 90000 BELFORT;90000;47,65185;6,85096;Crédit Agricole - Franche Comte
Agence bancaire BELFORT LES QUAIS - Leclerc;1 AVENUE DU GENERAL DE GAULLE, 90000 BELFORT;90000;47,62864;6,863;Crédit Agricole - Franche Comte
Agence bancaire BELFORT VIEILLE VILLE;8B, Grande Rue, 90000 BELFORT;90000;47,63813;6,88112;Crédit Agricole - Franche Comte
Agence bancaire POLE PATRIMONIAL NORD FRANCHE COMTE;2 Place des Arts, 90000 Belfort;90000;47,6361927;6,8578494;Crédit Agricole - Franche Comte
Relais CA CHARMOILLAUX GEORGETTE - BELLEHERBE;23 grande rue, 25380 BELLEHERBE;25380;47,2630879;6,658055200000035;Crédit Agricole - Franche Comte
Relais CA LE P'TIT PIERRE - CHEVASSU PIERRE - Besain;7 Rue de Crotenay, 39800 Besain;39800;46,7823019;5,798237599999999;Crédit Agricole - Franche Comte
Agence bancaire BESANCON CHAPRAIS;85 D, rue de Belfort, 25000 BESANCON;25000;47,24992;6,03282;Crédit Agricole - Franche Comte
Agence bancaire BESANCON CUSENIER;11, avenue Elisée Cusenier, 25000 BESANCON;25000;47,24113;6,0259;Crédit Agricole - Franche Comte
Agence bancaire BESANCON Entreprises;Immeuble NOVATECH 2G Avenue des Montboucons, 25000 BESANCON;25000;47,251862;5,998951;Crédit Agricole - Franche Comte
Agence bancaire BESANCON FONTAINE ARGENT;50, av. Fontaine-Argent, 25000 BESANCON;25000;47,24789;6,03645;Crédit Agricole - Franche Comte
Agence bancaire BESANCON LE VIGNY;11 rue Alfred de Vigny, 25000 BESANCON;25000;47,21591;5,9626;Crédit Agricole - Franche Comte
Agence bancaire BESANCON MONTRAPON;22 bis, avenue de Montrapon, 25000 BESANCON;25000;47,24565;6,00975;Crédit Agricole - Franche Comte
Agence bancaire BESANCON PASTEUR;29, grande rue, 25000 BESANCON;25000;47,23872;6,02249;Crédit Agricole - Franche Comte
Agence bancaire BESANCON Pôle Santé;18 D Rue du Professeur Paul Milleret, 25000 BESANCON;25000;47,22338;5,95629;Crédit Agricole - Franche Comte
Agence bancaire BESANCON SAINT CLAUDE;84, rue de Vesoul, 25000 BESANCON;25000;47,24145;5,97849;Crédit Agricole - Franche Comte
Agence bancaire BESANCON SAINT-FERJEUX;98, rue de Dole, 25000 BESANCON;25000;47,23455;6,01122;Crédit Agricole - Franche Comte
Agence bancaire BESANCON TEMIS - Point service conseil;4 Avenue des Montboucons, 25000 BESANCON;25000;47,25074;6,0006;Crédit Agricole - Franche Comte
Agence bancaire BESSONCOURT;Zone de la Porte des Vosges 19 route du Stratégique, 90160 BESSONCOURT;90160;;;Crédit Agricole - Franche Comte
Relais CA O DELICE DE BEURRE - Beure;17 rue de lyon, 25270 Beure;25270;47,210009;6,000995900000021;Crédit Agricole - Franche Comte
Relais CA O FOURNIL DE BEURRE - Beure;55 rue de Besançon, 25270 Beure;25270;47,2070689;6,004467999999974;Crédit Agricole - Franche Comte
Agence bancaire BLETTERANS;44, rue Louis-le-Grand, 39140 BLETTERANS;39140;;;Crédit Agricole - Franche Comte
Relais CA FRUITIERE DE BONNETAGE - BONNETAGE;4 route de besancon, 25210 BONNETAGE;25210;47,18599279999999;6,719966399999976;Crédit Agricole - Franche Comte
Agence bancaire BOUCLANS;18, Grande Rue, 25360 BOUCLANS;25360;;;Crédit Agricole - Franche Comte
Relais CA SARL LA CHARMOTTE - BOULIGNEY;40 grande rue, 70800 BOULIGNEY;70800;47,8956281;6,236172200000056;Crédit Agricole - Franche Comte
Relais CA L AUTRE CAFE - BOULOT;grande rue, 70190 BOULOT;70190;47,4872339;5,945481100000052;Crédit Agricole - Franche Comte
Relais CA LOIGET GAUTHIER CHRISTIANE - BRETONVILLERS;8 D4096, 25380 BRETONVILLERS;25380;47,21926194795744;6,636030561901862;Crédit Agricole - Franche Comte
Relais CA LE CENTRAL BAR - MICHAUT REGINE - Breuches;12 Place Léon Grosjean, 70300 Breuches;70300;47,7985092;6,3273551;Crédit Agricole - Franche Comte
Relais CA LA MARMOTTE JURASSIENNE - Cernans;2 rue de salins, 39110 Cernans;39110;46,9321283;5,932004099999972;Crédit Agricole - Franche Comte
Agence bancaire CHAMPAGNOLE;48, av de la République, 39300 CHAMPAGNOLE;39300;46,74449;5,90945;Crédit Agricole - Franche Comte
Agence bancaire POLE AGRICULTURE JURA SUD;48 Avenue de la République, 39300 Champagnole;39300;46,7444158;5,9091374;Crédit Agricole - Franche Comte
Agence bancaire CHAMPLITTE;Place de l'Eglise, 70600 CHAMPLITTE;70600;;;Crédit Agricole - Franche Comte
Agence bancaire CHARQUEMONT;31 Grande Rue, 25140 CHARQUEMONT;25140;;;Crédit Agricole - Franche Comte
