nom;adresse;code_postal;latitude;longitude;region_source
Guichet Automatique de banque ANSE-BERTRAND;Place de l'Eglise, 97121 ANSE-BERTRAND;97121;16,472858;-61,508703;Crédit Agricole - Guadeloupe
Agence bancaire BANQUE PRIVEE (AGENCE PATRIMOINE);Boulevard du Marquisat de Houelbourg, 97122 Baie-Mahault;97122;16,24282812334124;-61,55544966459274;Crédit Agricole - Guadeloupe
Agence bancaire CENTRE D'AFFAIRES ENTREPRISES;Boulevard du Marquisat de Houelbourg, 97122 Baie-Mahault;97122;16,24283253754857;-61,55537659808663;Crédit Agricole - Guadeloupe
Agence bancaire COEUR DE JARRY;11-12-13 Centre Commercial Cœur de Jarry Lieu-dit Houelbourg, 97122 BAIE-MAHAULT;97122;16,240747;-61,571797;Crédit Agricole - Guadeloupe
Agence bancaire ESPACE CONSEILS HABITAT;Centre commercial Cœur de Jarry Lieu-dit Houelbourg, 97122 Baie-Mahault;97122;16,24066073398673;-61,57175781015367;Crédit Agricole - Guadeloupe
Agence bancaire ESPACE PROFESSIONNEL JARRY;Boulevard du Marquisat de Houelbourg, 97122 Baie-Mahault;97122;16,24290432813475;-61,55555167264157;Crédit Agricole - Guadeloupe
Agence bancaire DESMARAIS;Centre Commercial De DESMARAIS, 97100 BASSE-TERRE;97100;15,999755;-61,718992;Crédit Agricole - Guadeloupe
Agence bancaire NOLIVOS;Rue Christophe COLOMB, 97100 BASSE-TERRE;97100;15,995811;-61,731322;Crédit Agricole - Guadeloupe
Agence bancaire NOLIVOS PROFESSIONNELS;Cours Nolivos, 97100 BASSE-TERRE;97100;15,995811;-61,731322;Crédit Agricole - Guadeloupe
Agence bancaire CAPESTERRE-BELLE-EAU;Rue de la République, 97130 CAPESTERRE-BELLE-EAU;97130;;;Crédit Agricole - Guadeloupe
Agence bancaire GOSIER;Bd Amédé Clara Bourg, 97190 GOSIER;97190;;;Crédit Agricole - Guadeloupe
Agence bancaire GRAND-BOURG;Rue du Presbytère, 97112 GRAND-BOURG;97112;;;Crédit Agricole - Guadeloupe
Agence bancaire LAMENTIN;Centre Commercial MONTPLAISIR, 97129 LAMENTIN;97129;;;Crédit Agricole - Guadeloupe
Agence bancaire LE MOULE DAMENCOURT;Damencourt Moule, 97160 LE MOULE;97160;;;Crédit Agricole - Guadeloupe
Agence bancaire ESPACE PROFESSIONNEL GRANDE-TERRE;Immeuble PROMOSIF ZAC de la Providence Dothémare, 97139 LES ABYMES;97139;16,272537;-61,518195;Crédit Agricole - Guadeloupe
Agence bancaire LES ABYMES PROVIDENCE;Immeuble PROMOSIF ZAC de la Providence Dothémare, 97139 LES ABYMES;97139;16,27257913494223;-61,51816427707672;Crédit Agricole - Guadeloupe
Agence bancaire MORNE-A-L-EAU;Place de la Mairie, 97111 MORNE-A-L-EAU;97111;;;Crédit Agricole - Guadeloupe
Agence bancaire BERGEVIN;Résidence Loïc PETIT N 101-C06 et N 201-C07 BERGEVIN, 97110 POINTE-A-PITRE;97110;16,244271;-61,540481;Crédit Agricole - Guadeloupe
Agence bancaire MIQUEL;BD HEGESIPPE LEGITIMUS, 97110 POINTE-A-PITRE;97110;16,245207;-61,534328;Crédit Agricole - Guadeloupe
Agence bancaire POINTE-NOIRE;Bourg Place de l Eglise, 97116 POINTE-NOIRE;97116;;;Crédit Agricole - Guadeloupe
Agence bancaire PORT-LOUIS;Rue Fitzgerald Kennedy, 97117 PORT-LOUIS;97117;;;Crédit Agricole - Guadeloupe
Agence bancaire SAINT-BARTHELEMY;9 rue JEANNE d ARC  GUSTAVIA, 97133 SAINT-BARTHELEMY;97133;;;Crédit Agricole - Guadeloupe
Agence bancaire SAINT-FRANCOIS;71 Rue Jules Ferry, 97118 SAINT-FRANCOIS;97118;;;Crédit Agricole - Guadeloupe
Agence bancaire SAINTE-ANNE;Rue Léthière, 97180 SAINTE-ANNE;97180;;;Crédit Agricole - Guadeloupe
Agence bancaire SAINTE-ROSE;Avenue des Cités Unies, Immeuble Ixora, 97115 SAINTE-ROSE;97115;;;Crédit Agricole - Guadeloupe
Agence bancaire TROIS-RIVIERES;Rue du Général DELACROIX, 97114 TROIS-RIVIERES;97114;;;Crédit Agricole - Guadeloupe
