nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ACIGNE;16 Place de la Mairie, 35690 Acigné;35690;;;Crédit Agricole - Ille Et Vilaine
Agence en ligne Centre de relation clients Agri et Pros;Assistance Agriculteurs et Professionnels, 35136 Saint-Jacques-de-la-Lande;35136;48,0724634;-1,7210279;Crédit Agricole - Ille Et Vilaine
Agence en ligne Pôle hors département;4 Rue Louis Braille, 35136 Saint-Jacques-de-la-Lande;35136;48,092539;-1,7065154;Crédit Agricole - Ille Et Vilaine
Agence bancaire Agence Entreprises et Collectivités;2, rue Louis Braille Saint Jacques de la Lande, 35136 Agence Entreprises et Collectivités;35136;48,092244;-1,705901;Crédit Agricole - Ille Et Vilaine
Relais CA LA BREGNATE - AMANLIS;12 Rue du Bois Teilleul, 35150 AMANLIS;35150;48,0057839;-1,4772109;Crédit Agricole - Ille Et Vilaine
Agence bancaire ANTRAIN;3, avenue Kléber, 35560 ANTRAIN;35560;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire ARGENTRE-DU-PLESSIS;Place du Général de Gaulle, 35370 ARGENTRE-DU-PLESSIS;35370;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE POINT D'CHUTE - BAGUER-PICAN;9 Rue de Paris, 35120 BAGUER-PICAN;35120;48,552789;-1,701663;Crédit Agricole - Ille Et Vilaine
Agence bancaire BAIN-DE-BRETAGNE;8, rue du 3 Août 1944, 35470 BAIN-DE-BRETAGNE;35470;;;Crédit Agricole - Ille Et Vilaine
Relais CA SARL BUZIT - BAINS-SUR-OUST;4 Place Nominoë, 35600 BAINS-SUR-OUST;35600;47,7045073;-2,0713448;Crédit Agricole - Ille Et Vilaine
Relais CA BOULANGERIE CHARON - BALAZE;20 Rue Saint-Martin, 35500 BALAZE;35500;48,16782389999999;-1,1918469;Crédit Agricole - Ille Et Vilaine
Relais CA MAISON DE LA PRESSE - BAULON;1 Place de l'Église, 35580 BAULON;35580;47,9849182;-1,932344;Crédit Agricole - Ille Et Vilaine
Agence bancaire BAZOUGES-LA-PEROUSE;6, rue de la Poterie, 35560 BAZOUGES-LA-PEROUSE;35560;;;Crédit Agricole - Ille Et Vilaine
Relais CA LES ROUTIERS - BEAUCE;19 Rue de Paris, 35133 BEAUCE;35133;48,3381473;-1,1551361;Crédit Agricole - Ille Et Vilaine
Agence bancaire BEDEE;Place du Prieuré, 35137 BEDEE;35137;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire BETTON;2 Avenue d Armorique, 35830 BETTON;35830;;;Crédit Agricole - Ille Et Vilaine
Relais CA REGINE COIFFURE - BOISGERVILLY;20 Rue de Brocéliande, 35360 BOISGERVILLY;35360;48,1658771;-2,0616921;Crédit Agricole - Ille Et Vilaine
Relais CA TABAC VAP PRESSE - BOURG DES COMPTES;11 Place de l'Église, 35890 BOURG DES COMPTES;35890;47,9283964;-1,7377155;Crédit Agricole - Ille Et Vilaine
Relais CA L'ARCOAT - BOURGBARRE;2 Place de l'Église, 35230 BOURGBARRE;35230;47,9949086;-1,615422;Crédit Agricole - Ille Et Vilaine
Agence bancaire BREAL SOUS MONTFORT;53, rue de Montfort, 35310 BREAL SOUS MONTFORT;35310;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE RYO - BRECE;3 Place de l'Église, 35530 BRECE;35530;48,11066839999999;-1,4819051;Crédit Agricole - Ille Et Vilaine
Relais CA LE KEVESTEL - BRETEIL;2 Rue de Rennes, 35160 BRETEIL;35160;48,1453443;-1,8984882;Crédit Agricole - Ille Et Vilaine
Relais CA LE BAIONA - BRIE;14 Rue d'Anjou, 35150 BRIE;35150;47,9515269;-1,5367024;Crédit Agricole - Ille Et Vilaine
Relais CA HERVE PASCAL BOUCHERIE - BRUC-SUR-AFF;Le Bourg, 35550 BRUC-SUR-AFF;35550;47,814638;-2,0200552;Crédit Agricole - Ille Et Vilaine
Agence bancaire BRUZ;1, avenue Jules Tricault, 35170 BRUZ;35170;48,0251963;-1,7470824;Crédit Agricole - Ille Et Vilaine
Precondition Failed;;;48,028358;-1,760178;Crédit Agricole - Ille Et Vilaine
Agence bancaire CANCALE;2 bis, boulevard Thiers, 35260 CANCALE;35260;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire CESSON VIA SILVA;19 Rue du Chêne Germain, 35510 CESSON-SEVIGNE;35510;48,128803;-1,622228;Crédit Agricole - Ille Et Vilaine
Agence bancaire CESSON-SEVIGNE;12, mail de Bourgchevreuil, 35510 CESSON-SEVIGNE;35510;48,1179638;-1,607717;Crédit Agricole - Ille Et Vilaine
Relais CA MON P TIT LOUP - CHANTELOUP;1 Rue de Bellevue, 35150 CHANTELOUP;35150;47,9651422;-1,6159155;Crédit Agricole - Ille Et Vilaine
Agence bancaire CHANTEPIE;61, avenue André Bonnin, 35135 CHANTEPIE;35135;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire CHARTRES-DE-BRETAGNE;1 Avenue de la Marionnais, 35131 CHARTRES-DE-BRETAGNE;35131;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire CHATEAUBOURG;57, rue de Paris, 35220 CHATEAUBOURG;35220;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire CHATEAUGIRON;Centre commercial UNIVER - 81 rue des comptoirs, 35410 CHATEAUGIRON;35410;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE CANCAVEN BAR TABAC PRESSE - CHATEAUNEUF-D'ILLE-ET-VILAINE;17 Rue du Pavé Saint-Charles, 35430 CHATEAUNEUF-D'ILLE-ET-VILAINE;35430;48,5613527;-1,9287882;Crédit Agricole - Ille Et Vilaine
Relais CA BOULANGERIE BESNIER - CHATILLON-EN-VENDELAIS;2 rue de Normandie, 35210 CHATILLON-EN-VENDELAIS;35210;48,224996;-1,180487;Crédit Agricole - Ille Et Vilaine
Relais CA CAMPING DU LAC - CHATILLON-EN-VENDELAIS;Rue des Rouxières, 35210 CHATILLON-EN-VENDELAIS;35210;48,22775600000001;-1,181129;Crédit Agricole - Ille Et Vilaine
Agence bancaire CHAVAGNE;29, avenue de la Mairie, 35310 CHAVAGNE;35310;;;Crédit Agricole - Ille Et Vilaine
Relais CA L'ARTISAN - Cherrueix;1 Rue de la Cale, 35120 Cherrueix;35120;48,6058074;-1,7105896;Crédit Agricole - Ille Et Vilaine
Relais CA COCCIMARKET - CHEVAIGNE;3 Rue les Temps Modernes, 35250 CHEVAIGNE;35250;48,2090518;-1,6297056;Crédit Agricole - Ille Et Vilaine
Relais CA PROXI - CINTRE;15 Place du Centre, 35310 CINTRE;35310;48,1060571;-1,8698595;Crédit Agricole - Ille Et Vilaine
Relais CA LE BISTRO LAB - COESMES;1 Rue des Ardoisières, 35134 COESMES;35134;47,8835785;-1,4408436;Crédit Agricole - Ille Et Vilaine
Relais CA REST' O BAR - COMBLESSAC;6 Place de la Mairie, 35330 COMBLESSAC;35330;47,87627519999999;-2,0838081;Crédit Agricole - Ille Et Vilaine
Agence bancaire COMBOURG;2, boulevard du Mail, 35270 COMBOURG;35270;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE PIGEON BLANC - COMBOURTILLE;Le Bourg, 35210 COMBOURTILLE;35210;48,272635;-1,245251;Crédit Agricole - Ille Et Vilaine
Agence bancaire CORPS NUDS;1, parvis de l église, 35150 CORPS NUDS;35150;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire CREVIN;Place Louis Pétri, 35320 CREVIN;35320;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire DINARD;2, rue de Verdun, 35800 DINARD;35800;;;Crédit Agricole - Ille Et Vilaine
Relais CA L'EPICERIE DU VILLAGE - DINGE;2 Rue de l'Église, 35440 DINGE;35440;48,3574867;-1,7146004;Crédit Agricole - Ille Et Vilaine
Agence bancaire DOL-DE-BRETAGNE;16, boulevard Deminiac, 35120 DOL-DE-BRETAGNE;35120;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE SAINT PIERRE - DOMAGNE;6 Allée Saint-Pierre, 35113 DOMAGNE;35113;48,0712395;-1,3943388;Crédit Agricole - Ille Et Vilaine
Relais CA LE CORNER'S CAFE - DOMALAIN;2 Rue du Docteur Ricoux, 35680 DOMALAIN;35680;47,9959062;-1,242448;Crédit Agricole - Ille Et Vilaine
Relais CA MON P'TIT BAR - DOMALAIN;2 Rue du Docteur Ricoux, 35680 DOMALAIN;35680;47,9959062;-1,242448;Crédit Agricole - Ille Et Vilaine
Relais CA JEREM' MIE - Dourdain;7 Place de l'Église, 35450 Dourdain;35450;48,1931532;-1,3690582;Crédit Agricole - Ille Et Vilaine
Relais CA LE TEMPS D'UN VERRE - Dourdain;16 Rue des Écoles, 35450 Dourdain;35450;48,193915;-1,3704476;Crédit Agricole - Ille Et Vilaine
Relais CA RESTAURANT DE L'ETANG - DROUGES;3 Place de la Mairie, 35130 DROUGES;35130;47,90048480000001;-1,2652611;Crédit Agricole - Ille Et Vilaine
Relais CA LA BIZOLAIS  L'ECOLE DES SAVEURS RESTAURANT - EANCE;1 Contour René Gisteau, 35640 EANCE;35640;47,8227295;-1,2443182;Crédit Agricole - Ille Et Vilaine
Relais CA TY GWEN - Erbrée;10 Place de l'Église, 35500 Erbrée;35500;48,0989477;-1,1241304;Crédit Agricole - Ille Et Vilaine
Relais CA BOUCHERIE MERCIER - ERCE EN LAMEE;7 Rue du Muguet, 35620 ERCE EN LAMEE;35620;47,8301794;-1,5596393;Crédit Agricole - Ille Et Vilaine
Relais CA LA TERRASSE - ERCE-PRES-LIFFRE;14 Place de l'Église, 35340 ERCE-PRES-LIFFRE;35340;48,2558144;-1,515715;Crédit Agricole - Ille Et Vilaine
Relais CA LA ROCHE CAFE - ESSE;21 Rue des Artisans, 35150 ESSE;35150;47,9572565;-1,424991;Crédit Agricole - Ille Et Vilaine
Relais CA BOULANGERIE NAULEAU - FEGREAC;12 Rue Grégoire Orain, 44460 FEGREAC;44460;47,5847048;-2,0448034;Crédit Agricole - Ille Et Vilaine
Agence bancaire FOUGERES;28, rue Jules Ferry, 35300 FOUGERES;35300;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE POPPY'S - GAEL;9 Place du Monument, 35290 GAEL;35290;48,1321983;-2,2240418;Crédit Agricole - Ille Et Vilaine
Relais CA LE P'TY COMPTOIR - GAHARD;26 Rue Jean Morin, 35490 GAHARD;35490;48,2971801;-1,5191157;Crédit Agricole - Ille Et Vilaine
Relais CA LE BISTROT D'EUGENE - GENNES-SUR-SEICHE;9 Rue Jean de Gennes, 35370 GENNES-SUR-SEICHE;35370;47,9878644;-1,1238654;Crédit Agricole - Ille Et Vilaine
Agence bancaire GEVEZE;7, rue de Dinan, 35850 GEVEZE;35850;;;Crédit Agricole - Ille Et Vilaine
Relais CA L'EPICERIE DE CATHERINE - GOSNE;5 Place de l'Église, 35140 GOSNE;35140;48,24584470000001;-1,4631344;Crédit Agricole - Ille Et Vilaine
Agence bancaire GOVEN;13, place de l église, 35580 GOVEN;35580;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire GUICHEN;3 bis, boulevard Victor Edet, 35580 GUICHEN;35580;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire GUIGNEN;19, rue des Piliers, 35580 GUIGNEN;35580;;;Crédit Agricole - Ille Et Vilaine
Relais CA UN CAFE DES POSSIBLES - GUIPEL;9 Place Duine, 35440 GUIPEL;35440;48,2983906;-1,7212187;Crédit Agricole - Ille Et Vilaine
Agence bancaire GUIPRY - MESSAC;44, avenue du port, 35480 GUIPRY;35480;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE CENTRAL - HEDE-BAZOUGES;13 Place de la Mairie, 35630 HEDE-BAZOUGES;35630;48,2956668;-1,8019588;Crédit Agricole - Ille Et Vilaine
Relais CA VOTRE MARCHE EPICERIE - HEDE-BAZOUGES;14 Rue Jean Boucher, 35630 HEDE-BAZOUGES;35630;48,2943384;-1,8029076;Crédit Agricole - Ille Et Vilaine
Relais CA LES P'TITES COURSES D'HIREL - Hirel;8 Rue des Tourailles, 35120 Hirel;35120;48,6042645;-1,8077496;Crédit Agricole - Ille Et Vilaine
Relais CA CHEZ CORINNE - IRODOUER;24 Rue de Rennes, 35850 IRODOUER;35850;48,2485084;-1,9500633;Crédit Agricole - Ille Et Vilaine
Agence bancaire JANZE;8, Place de la République, 35150 JANZE;35150;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE FOURNIL DE JAVENE - JAVENE;3 Rue du Couesnon, 35133 JAVENE;35133;48,3193742;-1,2159589;Crédit Agricole - Ille Et Vilaine
Agence bancaire L HERMITAGE;1, rue de la Poste, 35590 L HERMITAGE;35590;;;Crédit Agricole - Ille Et Vilaine
Relais CA BOULANGERIE PATISSERIE  FILET DAMIEN - LA BAZOUGE DU DESERT;1 Rue du Chanoine Helesbeux, 35420 LA BAZOUGE DU DESERT;35420;48,4436183;-1,1055277;Crédit Agricole - Ille Et Vilaine
Agence bancaire LA BOUEXIERE;1, rue Théophile Remond, 35340 LA BOUEXIERE;35340;;;Crédit Agricole - Ille Et Vilaine
Relais CA BOULANGERIE TOSTIVIN - LA BOUSSAC;14 Rue de Fougères, 35120 LA BOUSSAC;35120;48,5123678;-1,6592195;Crédit Agricole - Ille Et Vilaine
Relais CA CHEZ LILI - LA CHAPELLE BOUEXIC;11 Rue de la Mairie, 35330 LA CHAPELLE BOUEXIC;35330;47,9291012;-1,9410901;Crédit Agricole - Ille Et Vilaine
Relais CA AUX SAVEURS DE SAISONS - LE BAR' CANE - LA CHAPELLE DU LOU DU LAC;6 Rue de la Barcane, 35360 LA CHAPELLE DU LOU DU LAC;35360;48,2119247;-1,9906898;Crédit Agricole - Ille Et Vilaine
Relais CA L'INATTENDU - LA CHAPELLE-CHAUSSEE;2 Rue de Montmuran, 35630 LA CHAPELLE-CHAUSSEE;35630;48,2710391;-1,8537737;Crédit Agricole - Ille Et Vilaine
Relais CA LE BISTROT - LA CHAPELLE-DE-BRAIN;27 Gr Grande Rue, 35660 LA CHAPELLE-DE-BRAIN;35660;47,6979123;-1,8950347;Crédit Agricole - Ille Et Vilaine
Agence bancaire LA CHAPELLE-DES-FOUGERETZ;4, place Eugène Choux, 35520 LA CHAPELLE-DES-FOUGERETZ;35520;;;Crédit Agricole - Ille Et Vilaine
Relais CA AU PANIER GARNI - LA CHAPELLE-JANSON;17 Rue du Relais, 35133 LA CHAPELLE-JANSON;35133;48,3475733;-1,0994175;Crédit Agricole - Ille Et Vilaine
Relais CA SUPERETTE LA CHAPELLE THOUARAULT - La Chapelle-Thouarault;5 Rue du Commerce, 35590 La Chapelle-Thouarault;35590;48,1239262;-1,8664711;Crédit Agricole - Ille Et Vilaine
Relais CA LE PILI PILI - LA DOMINELAIS;2 Rue de l'Europe, 35390 LA DOMINELAIS;35390;47,76297049999999;-1,6873084;Crédit Agricole - Ille Et Vilaine
Relais CA LA TAVERNE DES KORRIGANS - LA FONTENELLE;2 Rue de la Quintaine, 35560 LA FONTENELLE;35560;48,46756629999999;-1,5035677;Crédit Agricole - Ille Et Vilaine
Agence bancaire LA GUERCHE-DE-BRETAGNE;3, place du Champ de Foire, 35130 LA GUERCHE-DE-BRETAGNE;35130;;;Crédit Agricole - Ille Et Vilaine
Agence bancaire LA MEZIERE;ZA Beauséjour, 35520 LA MEZIERE;35520;;;Crédit Agricole - Ille Et Vilaine
Relais CA LE NAUTAL CAFE - LA NOE-BLANCHE;3 Rue Sainte-Anne, 35470 LA NOE-BLANCHE;35470;47,80359439999999;-1,7427202;Crédit Agricole - Ille Et Vilaine
Relais CA AUX DELICES DE LA PLACE - LA RICHARDAIS;6 Place de la République, 35780 LA RICHARDAIS;35780;48,6071347;-2,0351374;Crédit Agricole - Ille Et Vilaine
Agence bancaire LAILLE;4 C Rue de l Hotel de Ville, 35890 Laillé;35890;;;Crédit Agricole - Ille Et Vilaine
Relais CA AN ALLOZ - LALLEU;9 Rue de la Mairie, 35320 LALLEU;35320;47,8560484;-1,5111469;Crédit Agricole - Ille Et Vilaine
Relais CA BAR DES BRUYERES - LANDAVRAN;1 Rue des Bruyères, 35450 LANDAVRAN;35450;48,1579728;-1,2882927;Crédit Agricole - Ille Et Vilaine
Relais CA AU RALLYE DES DOUCEURS - LANGAN;13 Rue de Romillé, 35850 LANGAN;35850;48,24447860000001;-1,8548642;Crédit Agricole - Ille Et Vilaine
Relais CA L'EPICERIE DE LA RUE - Langan;12 Rue de Romillé, 35850 Langan;35850;48,244433;-1,8542857;Crédit Agricole - Ille Et Vilaine
Relais CA LE SYMPATIC BAR - LASSY;2 Rue de la Mairie, 35580 LASSY;35580;47,9795041;-1,8711299;Crédit Agricole - Ille Et Vilaine
