nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AGDE CENTRE;1, RUE RICHELIEU, 34300 AGDE;34300;43,311825;3,4730221;Crédit Agricole - Languedoc
Agence bancaire AGDE GRAND CAP;37 BOULEVARD DU SOLEIL, 34300 AGDE;34300;43,304001;3,4843525;Crédit Agricole - Languedoc
Agence bancaire AIGUES MORTES;RUE AMIRAL COURBET, 30220 AIGUES MORTES;30220;;;Crédit Agricole - Languedoc
Agence bancaire AIMARGUES;AVENUE DES ANCIENS COMBATTANTS, 30470 AIMARGUES;30470;;;Crédit Agricole - Languedoc
Agence bancaire ALES CENTRE;10 PLACE HENRI BARBUSSE, 30100 ALES;30100;44,1244751;4,0803531;Crédit Agricole - Languedoc
Agence bancaire ALES CLAVIERES;ESPLANADE DE CLAVIERES, 30100 ALES;30100;44,1357909;4,0917092;Crédit Agricole - Languedoc
Agence bancaire ALES ROCADE EST;630 ROUTE D'UZES ROND POINT DU PONT DU GARD, 30100 ALES;30100;44,1133769;4,1055974;Crédit Agricole - Languedoc
Agence bancaire ALES ROCADE SUD;CENTRE COMMERCIAL ROCADE SUD AVENUE OLIVIER DE SERRES, 30100 ALES;30100;44,105816;4,08847;Crédit Agricole - Languedoc
Agence bancaire ANDUZE;3 PLAN DE BRIE, 30140 ANDUZE;30140;;;Crédit Agricole - Languedoc
Agence bancaire ARAMON;27 BOULEVARD GAMBETTA, 30390 ARAMON;30390;;;Crédit Agricole - Languedoc
Agence bancaire AUMONT AUBRAC;23, AVENUE PEYRE, 48130 AUMONT AUBRAC;48130;;;Crédit Agricole - Languedoc
Agence bancaire BAGNOLS LADROIT;2 COURS LADROIT, 30200 BAGNOLS SUR CEZE;30200;44,165536;4,6188;Crédit Agricole - Languedoc
Agence bancaire BAGNOLS SUD;45 AVENUE DE LA MAYRE, 30200 BAGNOLS SUR CEZE;30200;44,155744;4,621667;Crédit Agricole - Languedoc
Agence bancaire BAILLARGUES;PARC DES BALLIUS RUE DES ECOLES, 34670 BAILLARGUES;34670;;;Crédit Agricole - Languedoc
Agence bancaire BALARUC ZONE COMMERCIALE;10 CENTRE COMMERCIAL BALARUC LOISIRS, 34540 BALARUC LE VIEUX;34540;;;Crédit Agricole - Languedoc
Agence bancaire BALARUC LES BAINS;3 BIS, AVENUE DES THERMES ROMAINS, 34540 BALARUC LES BAINS;34540;;;Crédit Agricole - Languedoc
Agence bancaire BARJAC;1 Rue Saint-Michel, 30430 BARJAC;30430;;;Crédit Agricole - Languedoc
Agence bancaire BEAUCAIRE CENTRE;28 QUAI DU GENERAL DE GAULLE, 30300 BEAUCAIRE;30300;43,805529;4,645388;Crédit Agricole - Languedoc
Agence bancaire BEAUCAIRE FORUM;FORUM DES MILLIAIRES 130 AVENUE AVITUS, 30300 BEAUCAIRE;30300;43,8134417;4,61376;Crédit Agricole - Languedoc
Agence bancaire BEDARIEUX;43, RUE DE LA REPUBLIQUE, 34600 BEDARIEUX;34600;;;Crédit Agricole - Languedoc
Agence bancaire BELCAIRE;ROUTE NATIONALE, 11340 BELCAIRE;11340;;;Crédit Agricole - Languedoc
Agence bancaire BELLEGARDE;10 ROUTE DE BEAUCAIRE, 30127 BELLEGARDE;30127;;;Crédit Agricole - Languedoc
Agence bancaire BELPECH;6 AVENUE DU PONT DE L'HERS, 11420 BELPECH;11420;;;Crédit Agricole - Languedoc
Agence bancaire BELVEZE DU RAZES;ROUTE DE BELLEGARDE, 11240 BELVEZE DU RAZES;11240;;;Crédit Agricole - Languedoc
Agence bancaire BEZIERS ESPAGNE;IMMEUBLE LE BRENUS 7, PLACE DES ALLIES, 34500 BEZIERS;34500;43,337915;3,206751;Crédit Agricole - Languedoc
Agence bancaire BEZIERS JUIN;12 BOULEVARD MARECHAL JUIN, 34566 BEZIERS;34566;43,350106;3,239451;Crédit Agricole - Languedoc
Agence bancaire BEZIERS MISTRAL;55, BOULEVARD FREDERIC MISTRAL, 34500 BEZIERS;34500;43,345793;3,2193341;Crédit Agricole - Languedoc
Agence bancaire BOUILLARGUES;PLACE DE LA MADONE, 30230 BOUILLARGUES;30230;;;Crédit Agricole - Languedoc
