nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ALLEGRE;21, Rue du Mont Bar, 43270 ALLEGRE;43270;;;Crédit Agricole - Loire Haute Loire
Agence bancaire ANDREZIEUX;Le Forez Rue Charles de Gaulle, 42160 ANDREZIEUX;42160;;;Crédit Agricole - Loire Haute Loire
Agence bancaire AUREC SUR LOIRE;Les Hêtres 6, Avenue du Pont, 43110 AUREC SUR LOIRE;43110;;;Crédit Agricole - Loire Haute Loire
Agence bancaire BAINS;1082 route du gevaudan, 43370 BAINS;43370;;;Crédit Agricole - Loire Haute Loire
Agence bancaire BALBIGNY;Le Balbinius Place de la Libération, 42510 BALBIGNY;42510;;;Crédit Agricole - Loire Haute Loire
Agence bancaire BAS EN BASSET;3, Place de la Mairie, 43210 BAS EN BASSET;43210;;;Crédit Agricole - Loire Haute Loire
Agence bancaire BOEN SUR LIGNON;10 Rue de Lyon, 42130 Boën-sur-Lignon;42130;;;Crédit Agricole - Loire Haute Loire
Agence bancaire BOURG ARGENTAL;12, Rue Cardinal Donnet, 42220 BOURG ARGENTAL;42220;;;Crédit Agricole - Loire Haute Loire
Agence bancaire BRIOUDE;16, Boulevard Vercingétorix, 43100 BRIOUDE;43100;45,2925671;3,3823166;Crédit Agricole - Loire Haute Loire
Agence bancaire Pôle Entrepreneur Haute-Loire Ouest;16 Boulevard Vercingétorix, 43100 Brioude;43100;45,2926121;3,3825094;Crédit Agricole - Loire Haute Loire
Agence bancaire BRIVES CHARENSAC;11, Route de Lyon, 43700 BRIVES CHARENSAC;43700;45,0479067;3,9289961;Crédit Agricole - Loire Haute Loire
Agence bancaire BRIVES CORSAC;32, Avenue de Coubon ZI de Corsac, 43700 BRIVES CHARENSAC;43700;45,0494089;3,9138561;Crédit Agricole - Loire Haute Loire
Agence bancaire CHADRAC;10, Avenue Pierre et Marie Curie, 43770 CHADRAC;43770;;;Crédit Agricole - Loire Haute Loire
Agence bancaire CHARLIEU;6 Boulevard Eugénie Guinault, 42190 Charlieu;42190;;;Crédit Agricole - Loire Haute Loire
Agence bancaire CHAVANAY;7, Rue de la Valencize, 42410 CHAVANAY;42410;;;Crédit Agricole - Loire Haute Loire
Agence bancaire CHAZELLES SUR LYON;Place Jean Baptiste Galland, 42140 CHAZELLES SUR LYON;42140;;;Crédit Agricole - Loire Haute Loire
Agence bancaire COSTAROS;Le Bourg, 43490 COSTAROS;43490;;;Crédit Agricole - Loire Haute Loire
Agence bancaire CRAPONNE SUR ARZON;Route de la Chaise Dieu, 43500 Craponne-sur-Arzon;43500;;;Crédit Agricole - Loire Haute Loire
Agence bancaire DUNIERES;19 Rue du 11 Novembre, 43220 Dunières;43220;;;Crédit Agricole - Loire Haute Loire
Agence bancaire ESPALY;1, Avenue de la Bernarde, 43000 ESPALY ST MARCEL;43000;;;Crédit Agricole - Loire Haute Loire
Agence bancaire FAY SUR LIGNON;Le Bourg, 43430 FAY SUR LIGNON;43430;;;Crédit Agricole - Loire Haute Loire
Agence bancaire FEURS;Place de la Boaterie, 42110 Feurs;42110;;;Crédit Agricole - Loire Haute Loire
Agence bancaire FIRMINY JEAN JAURES;37, Rue Jean Jaurès, 42700 FIRMINY;42700;45,3903917;4,2885539;Crédit Agricole - Loire Haute Loire
Agence bancaire Pôle Entrepreneur Ondaine Velay Pilat;37 Rue Jean Jaurès, 42700 Firminy;42700;45,39022569999999;4,2879996;Crédit Agricole - Loire Haute Loire
Agence bancaire L'ETRAT;70 RUE DE VERDUN, 42580 L'ETRAT;42580;;;Crédit Agricole - Loire Haute Loire
Agence bancaire L'HORME;13, Avenue Louis Pasteur, 42152 L'HORME;42152;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LA CHAISE DIEU;8 Avenue de la Gare, 43160 La Chaise-Dieu;43160;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LA FOUILLOUSE;1 A Rue de la Croix de Mission, 42480 La Fouillouse;42480;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LA GRAND CROIX;16, Rue Jean Jaurès, 42320 LA GRAND CROIX;42320;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LA PACAUDIERE;54 route de Paris, 42310 LA PACAUDIERE;42310;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LA TALAUDIERE;26 Rue Victor Hugo, 42350 La Talaudière;42350;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LANDOS;Le Bourg, 43340 LANDOS;43340;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LANGEAC;10, Boulevard Charles de Gaulle, 43300 LANGEAC;43300;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LE CHAMBON FEUGEROLLES;5, Rue Gambetta, 42500 LE CHAMBON FEUGEROLLES;42500;;;Crédit Agricole - Loire Haute Loire
Agence bancaire LE CHAMBON SUR LIGNON;4, Le Carrefour, 43400 LE CHAMBON SUR LIGNON;43400;;;Crédit Agricole - Loire Haute Loire
