nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ANCERVILLE;53 RUE DU CHATEAU, 55170 ANCERVILLE;55170;;;Crédit Agricole - Lorraine
Agence bancaire ARS SUR MOSELLE;5 RUE DU MARECHAL FOCH, 57130 ARS SUR MOSELLE;57130;;;Crédit Agricole - Lorraine
Guichet Automatique de banque AUDUN LE ROMAN;1 RUE DU LUXEMBOURG, 54560 AUDUN LE ROMAN;54560;49,3648;5,90575;Crédit Agricole - Lorraine
Agence bancaire AUMETZ;6 Rue Saint-Martin, 57710 Aumetz;57710;;;Crédit Agricole - Lorraine
Agence bancaire BACCARAT;2, place des Arcades, 54120 BACCARAT;54120;;;Crédit Agricole - Lorraine
Agence bancaire BAR LE DUC ROCHELLE;20-24 boulevard de la Rochelle, 55000 BAR LE DUC;55000;;;Crédit Agricole - Lorraine
Agence bancaire BAYON;3AD AV DE VIRECOURT, 54290 BAYON;54290;;;Crédit Agricole - Lorraine
Agence bancaire BITCHE;26 rue de Sarreguemines, 57230 BITCHE;57230;;;Crédit Agricole - Lorraine
Agence bancaire BLAINVILLE SUR L'EAU;25, avenue Pierre Semard, 54360 BLAINVILLE SUR L'EAU;54360;;;Crédit Agricole - Lorraine
Agence bancaire BLAMONT;11, rue du 18 novembre, 54450 BLAMONT;54450;;;Crédit Agricole - Lorraine
Agence bancaire BOULAY;2 rue de la Halle, 57220 BOULAY;57220;;;Crédit Agricole - Lorraine
Agence bancaire BOUZONVILLE;7 rue de Sarrelouis, 57320 BOUZONVILLE;57320;;;Crédit Agricole - Lorraine
Agence bancaire BRIEY;3 RUE OLYMPE DE GOUGES, 54150 BRIEY;54150;;;Crédit Agricole - Lorraine
Agence bancaire CHALIGNY;4 Place des Tricoteries, 54230 Chaligny;54230;;;Crédit Agricole - Lorraine
Agence bancaire CHAMPIGNEULLES;4, rue de Nancy, 54250 CHAMPIGNEULLES;54250;;;Crédit Agricole - Lorraine
Agence bancaire CHATEAU SALINS;24 PLACE DE LA REPUBLIQUE, 57170 CHATEAU SALINS;57170;;;Crédit Agricole - Lorraine
Agence bancaire CLERMONT EN ARGONNE;6 RUE DE LA LIBERATION, 55120 CLERMONT EN ARGONNE;55120;;;Crédit Agricole - Lorraine
Guichet Automatique de banque COLOMBEY LES BELLES;7 Rue Alexandre III, 54170 COLOMBEY LES BELLES;54170;48,5323;5,89851;Crédit Agricole - Lorraine
Agence bancaire COMMERCY;2-4 place Charles de Gaulle, 55200 COMMERCY;55200;;;Crédit Agricole - Lorraine
Agence bancaire COURCELLES CHAUSSY;21 avenue Charles de Gaulle, 57530 COURCELLES CHAUSSY;57530;;;Crédit Agricole - Lorraine
Agence bancaire CREUTZWALD;26 rue de la Houve, 57150 CREUTZWALD;57150;;;Crédit Agricole - Lorraine
Agence bancaire DELME;PLACE DE LA REPUBLIQUE, 57590 DELME;57590;;;Crédit Agricole - Lorraine
Agence bancaire DIEULOUARD;25 AVENUE DU GENERAL DE GAULLE, 54380 DIEULOUARD;54380;;;Crédit Agricole - Lorraine
Agence bancaire DIEUZE;25 AVENUE DU GENERAL DE GAULLE, 57260 DIEUZE;57260;;;Crédit Agricole - Lorraine
