nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ALLAIRE;7, route de Redon, 56350 ALLAIRE;56350;;;Crédit Agricole - Morbihan
Agence bancaire ARRADON;2, rue des frères Mithouard, 56610 ARRADON;56610;;;Crédit Agricole - Morbihan
Agence en ligne Agence des Expatriés;Avenue de Keranguen, 56956 Vannes;56956;47,6578512;-2,7928432;Crédit Agricole - Morbihan
Agence bancaire AURAY Gare;5, rue Charles de Blois, 56400 AURAY;56400;47,679162;-2,99936;Crédit Agricole - Morbihan
Agence bancaire AURAY Ville;1, rue barré, 56400 AURAY;56400;47,667129;-2,984388;Crédit Agricole - Morbihan
Agence bancaire BAUD;Place du Champs de Foire, 56150 BAUD;56150;;;Crédit Agricole - Morbihan
Agence bancaire BELZ;35, Rue du Docteur Laennec, 56550 BELZ;56550;;;Crédit Agricole - Morbihan
Agence bancaire BUBRY;13, 15 Place F.d Esperey, 56310 BUBRY;56310;;;Crédit Agricole - Morbihan
Agence bancaire CARENTOIR;18 rue du Général de Gaulle, 56910 CARENTOIR;56910;;;Crédit Agricole - Morbihan
Agence bancaire CARNAC;50, rue St Cornély, 56340 CARNAC;56340;;;Crédit Agricole - Morbihan
Agence bancaire CAUDAN;1 Avenue Simone Veil, 56850 Caudan;56850;;;Crédit Agricole - Morbihan
Agence bancaire CLEGUEREC;9, rue du stade, 56480 CLEGUEREC;56480;;;Crédit Agricole - Morbihan
Agence bancaire ELVEN;Place du Lurin, 56250 ELVEN;56250;;;Crédit Agricole - Morbihan
Agence bancaire GOURIN;11, rue Jacques Rodallec, 56110 GOURIN;56110;;;Crédit Agricole - Morbihan
Agence bancaire GRANDCHAMP;Place de la Mairie, 56390 GRANDCHAMP;56390;;;Crédit Agricole - Morbihan
Agence bancaire GROIX;6, place du Leurhé, 56590 GROIX;56590;;;Crédit Agricole - Morbihan
Agence bancaire GUEMENE SCORFF;1, rue du Palais, 56160 GUEMENE SUR SCORFF;56160;;;Crédit Agricole - Morbihan
Agence bancaire GUER;19, avenue du Général Leclerc, 56380 GUER;56380;;;Crédit Agricole - Morbihan
Agence bancaire GUIDEL;7, place Polignac, 56520 GUIDEL;56520;;;Crédit Agricole - Morbihan
Agence bancaire GUISCRIFF;1, rue du terrain des sports, 56560 GUISCRIFF;56560;;;Crédit Agricole - Morbihan
Agence bancaire HENNEBONT;27, avenue de la Libération, 56700 HENNEBONT;56700;;;Crédit Agricole - Morbihan
Agence bancaire INZINZAC LOCHRIST;11, rue Emile Zola, 56650 INZINZAC LOCHRIST;56650;;;Crédit Agricole - Morbihan
Agence bancaire JOSSELIN;1 rue St Michel, 56120 JOSSELIN;56120;;;Crédit Agricole - Morbihan
Agence bancaire LA GACILLY;6, place du général de Gaulle, 56200 LA GACILLY;56200;;;Crédit Agricole - Morbihan
Agence bancaire ROCHE-BERNARD (la);6, rue des Ecoles, 56130 LA ROCHE-BERNARD;56130;;;Crédit Agricole - Morbihan
Agence bancaire TRINITE PORHOET (la);15, place du Martray, 56490 LA TRINITE PORHOET;56490;;;Crédit Agricole - Morbihan
Agence bancaire LANDEVANT;31 Rue de l'Église, 56690 Landévant;56690;;;Crédit Agricole - Morbihan
Agence bancaire LANESTER JAURES;164, bis rue Jean Jaurès, 56600 LANESTER;56600;;;Crédit Agricole - Morbihan
Agence bancaire LANGUIDIC;11, rue de la Mairie, 56440 LANGUIDIC;56440;;;Crédit Agricole - Morbihan
Agence bancaire LARMOR PLAGE;1, avenue de la plage, 56260 LARMOR PLAGE;56260;;;Crédit Agricole - Morbihan
Agence bancaire LE FAOUET;2, rue Poher, 56320 LE FAOUET;56320;;;Crédit Agricole - Morbihan
Agence bancaire BELLE-ILE (LE PALAIS);2, rue Carnot, 56360 LE PALAIS;56360;;;Crédit Agricole - Morbihan
Agence bancaire LOCMINE;6, place Joseph Richard, 56500 LOCMINE;56500;;;Crédit Agricole - Morbihan
Agence bancaire Agence Banque Privée Lorient;29 Rue de Clisson, 56100 Lorient;56100;47,7516226;-3,3645381;Crédit Agricole - Morbihan
Agence bancaire LORIENT JOFFRE;11 Boulevard Maréchal Joffre, 56100 LORIENT;56100;47,751792;-3,364245;Crédit Agricole - Morbihan
Agence bancaire LORIENT Keryado;22, place de la Liberté, 56100 LORIENT;56100;47,761275;-3,386317;Crédit Agricole - Morbihan
Agence bancaire LORIENT Merville;70, rue Jean Jaurès, 56100 LORIENT;56100;47,745026;-3,374375;Crédit Agricole - Morbihan
