nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire ANGLURE;17 Rue de la Gare, 51260 Anglure;51260;;;Crédit Agricole - Nord Est
Agence bancaire ANIZY LE CHATEAU;7 Rue Carnot, 02320 ANIZY LE CHATEAU;02320;;;Crédit Agricole - Nord Est
Agence bancaire ASFELD;8 Rue Basse, 08190 Asfeld;08190;;;Crédit Agricole - Nord Est
Agence bancaire ATTIGNY;18 Place Charlemagne, 08130 Attigny;08130;;;Crédit Agricole - Nord Est
Agence bancaire AVIZE;43 Rue Ernest Vallé, 51190 AVIZE;51190;;;Crédit Agricole - Nord Est
Agence bancaire AY CHAMPAGNE;70 Rue Roger Sondag, 51160 AY CHAMPAGNE;51160;;;Crédit Agricole - Nord Est
Agence bancaire BAZANCOURT;44 Rue Jean Jaurès, 51110 BAZANCOURT;51110;;;Crédit Agricole - Nord Est
Agence bancaire BEAURIEUX;2 Rue Paul Vincenot, 02160 BEAURIEUX;02160;;;Crédit Agricole - Nord Est
Agence bancaire BETHENIVILLE;3 Place du 8 Mai 1945, 51490 BETHENIVILLE;51490;;;Crédit Agricole - Nord Est
Agence bancaire BETHENY;20 Place des Fleurs, 51450 BETHENY;51450;;;Crédit Agricole - Nord Est
Agence en ligne APY;26 Rue André Pingat, 51100 Reims;51100;49,2601337;4,0228397;Crédit Agricole - Nord Est
Agence bancaire BEZANNES;48 Cours Christian Lange, 51430 BEZANNES;51430;49,222331;3,974003;Crédit Agricole - Nord Est
Agence bancaire BEZANNES - CA DEVELOPPEMENT DU TERRITOIRE;43 Rue Louis Victor de Broglie, 51430 BEZANNES;51430;49,2181617;3,9970527;Crédit Agricole - Nord Est
Agence bancaire CAE INSTITUTIONNELS;43 Rue Louis Victor de Broglie, 51430 BEZANNES;51430;49,2181617;3,9970527;Crédit Agricole - Nord Est
Agence bancaire CAE PROMOTION IMMOBILIERE;43 Rue Louis Victor de Broglie, 51430 BEZANNES;51430;49,2181617;3,9970527;Crédit Agricole - Nord Est
Agence bancaire CENTRE D AFFAIRES ENTREPRISES - REIMS;43 Rue Louis Victor de Broglie, 51430 BEZANNES;51430;49,2192298;3,9945656;Crédit Agricole - Nord Est
Agence bancaire COLLECTIVITES PUBLIQUES NORD EST;43 Rue Louis Victor de Broglie, 51430 BEZANNES;51430;49,2181617;3,9970527;Crédit Agricole - Nord Est
Agence bancaire BOHAIN;37 Rue du Château, 02110 BOHAIN EN VERMANDOIS;02110;;;Crédit Agricole - Nord Est
Agence bancaire BOUZY;1 Rue Pasteur, 51150 BOUZY;51150;;;Crédit Agricole - Nord Est
Agence bancaire BRAINE;16 Rue du Martroy, 02220 BRAINE;02220;;;Crédit Agricole - Nord Est
Agence bancaire BUZANCY;1 Rue de la Petite Barre, 08240 BUZANCY;08240;;;Crédit Agricole - Nord Est
Agence bancaire CARIGNAN;8 Place du Docteur Gairal, 08110 CARIGNAN;08110;;;Crédit Agricole - Nord Est
Agence bancaire CA ENTREPRISES - CHALONS-EN-CHAMPAGNE;1 Rue Thomas Martin, 51000 CHALONS-EN-CHAMPAGNE;51000;48,9547253;4,362465499999985;Crédit Agricole - Nord Est
Agence bancaire CENTRE D AFFAIRES AGRI-VITI - CHALONS-EN-CHAMPAGNE;Complexe du Mont Bernard - Route de Suippes, 51000 CHALONS-EN-CHAMPAGNE;51000;48,982154;4,38148;Crédit Agricole - Nord Est
Agence bancaire CENTRE D AFFAIRES PRO - CHALONS-EN-CHAMPAGNE;1 Rue Thomas Martin, 51000 CHALONS-EN-CHAMPAGNE;51000;48,954823;4,362823;Crédit Agricole - Nord Est
