nom;adresse;code_postal;latitude;longitude;region_source
Relais CA RELAIS CA - LE FOURNIL DES PALANGES - AGEN D'AVEYRON;2 Place Pierre Cussac, 12630 AGEN D'AVEYRON;12630;44,356375;2,676898400000027;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire ALBAN;9 place de l'Eglise, 81250 ALBAN;81250;;;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA  - BRASSERIE - ALBAS;Place de la dime, 46140 ALBAS;46140;44,468444;1,236560999999938;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - BOULANGERIE PATISSERIE - ALBEFEUILLE-LAGARDE;74 Rue Paul Roussel, 82290 ALBEFEUILLE-LAGARDE;82290;44,0678499;1,277706800000033;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire AGENCE COLLECTIVITES PUBLIQUES 81;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire AGENCE PROFESSIONNELS DE L'IMMOBILIER;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire ALBI LESCURE;Larquipeyre, Centre Commercial E. Leclerc, 81380 ALBI;81380;43,956249;2,154836;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire ALBI MADELEINE;9 bd de Strasbourg, 81000 ALBI;81000;43,933874;2,145968;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire ALBI MALADRERIE;72 Rue Angely Cavalie, 81000 ALBI;81000;43,9264587;2,1330306;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire ALBI ROND DE GESSE;249 Avenue Colonel Teyssier, 81000 ALBI;81000;43,922413;2,163084;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire ALBI VERDIER;201 avenue François Verdier, 81000 ALBI;81000;43,9188365;2,1225927;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire ALBI VIGAN;14 Place du Vigan, 81000 ALBI;81000;43,9271028;2,147679;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire BANQUE PRIVEE AGENCE D'ALBI;201 Avenue François Verdier, 81000 ALBI;81000;43,91868660000001;2,1224662;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI 3 VALLEES;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI ALBIGEOIS;201 Avenue François Verdier, 81000 ALBI;81000;43,91868660000001;2,1224662;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI CADURCIEN;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI CENTRE;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI FRON.  LAU.;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI MONTALB.;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI NA;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI NORD LOT;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI OTG;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI SR;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI SUD AVEYRON;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES AGRI SUD TARN;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO 3 VALLEES;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO ALBIGEOIS;201 Avenue François Verdier, 81000 ALBI;81000;43,91868660000001;2,1224662;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO CADURCIEN;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO CENTRE;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO FRON.  LAU.;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO MONTALB.;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO NA;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO NORD LOT;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO OTG;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO SR;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO SUD AVEYRON;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE AFFAIRES PRO SUD TARN;219 Avenue François Verdier, 81000 ALBI;81000;43,9177144;2,1206998;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire CENTRE D'AFFAIRES ALBI;201 Avenue François Verdier, 81000 ALBI;81000;43,91868660000001;2,1224662;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire ALBIAS;31 Av. De gaulle, 82350 ALBIAS;82350;;;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA  - ALIMENTATION TABAC PRESSE - ALBINE;3 Avenue de la Ribaute, 81240 ALBINE;81240;43,4603353;2,539254799999981;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - BOUCHERIE CHARCUTERIE FAURE OLIVIER - ALVIGNAC;Les Eaux FR, Grande rue, 46500 ALVIGNAC;46500;44,826968;1,692098;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - MICHELE FLEURET - AMBEYRAC;Le Bourg, 12260 AMBEYRAC;12260;44,509486;1,944917000000032;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - LES PAINS D'AMBRES - AMBRES;160 Route de Gaillac, 81500 AMBRES;81500;43,7258304;1,823414500000013;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - LE TILLEUL - ANGLES;Place de la Mairie, 81260 ANGLES;81260;43,563586;2,560478999999987;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA  - LA VIADENE - ARGENCES EN AUBRAC;Rue des Barrages, 12420 ARGENCES EN AUBRAC;12420;44,802815;2,757212100000061;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - TABAC DU SAUT DU SABOT - ARTHES;Rue Augustin Malroux, 81160 ARTHES;81160;43,94518679999999;2,204649300000028;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - KARINE LAURANDEAU - ASPRIERES;Place de la Porte Haute, 12700 ASPRIERES;12700;44,54658620000001;2,146658800000068;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - EPICERIE DE LA SOURCE - ASSIER;Le Bourg, 46320 ASSIER;46320;44,674942;1,878025999999977;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire AUBIN;8 Rue Barbusse, 12110 AUBIN;12110;;;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - BAR TABAC - AUCAMVILLE;1 Place de la Liberté, 82600 AUCAMVILLE;82600;43,8033397;1,214479100000062;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire AUSSILLON;50 Avenue de Toulouse, 81200 AUSSILLON;81200;;;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - LE RELAIS 1908 - AYNAC;Le Bourg, 46120 AYNAC;46120;44,785073;1,852195;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - PRESSE TABAC - AYNAC;Place de l'église, 46120 AYNAC;46120;44,784233;1,851548;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire BAGNAC SUR CELE;7 Avenue Joseph Canteloube, 46270 BAGNAC SUR CELE;46270;;;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire BARAQUEVILLE;Place François Mitterand, 12160 BARAQUEVILLE;12160;;;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire BEAUMONT DE LOMAGNE;13 Rue Fermat, 82500 BEAUMONT DE LOMAGNE;82500;;;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - LES PALANGES - BERTHOLENE;4 Rue Beauséjour, 12310 BERTHOLENE;12310;44,3938718;2,78377850000004;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - PROXI - BETAILLE;Le Bourg, 46110 BETAILLE;46110;44,941263;1,734328000000005;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire BIARS-BRETENOUX;127 Av de la République, 46130 BIARS;46130;;;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - AUX BERGES DE BIOULES - BIOULE;4 Avenue Hugues IV de Cardaillac, 82800 BIOULE;82800;44,0895661;1,536582500000009;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - LE BRENNUS - BLAYE LES MINES;53 Avenue d'Albi, 81400 BLAYE LES MINES;81400;44,0393478;2,157204399999955;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - CAMPING DE ROQUELONGUE - BOISSE-PENCHOT;7 lieu dit Roquelongue, 12300 BOISSE-PENCHOT;12300;44,590005;2,205469;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire BOZOULS;13 Allée Paul Causse, 12340 BOZOULS;12340;;;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire BRASSAC;17 allées du Chateau, 81260 BRASSAC;81260;;;Crédit Agricole - Nord Midi Pyrenees
Agence bancaire BRESSOLS;23 Place du Centre Commercial, 82710 BRESSOLS;82710;;;Crédit Agricole - Nord Midi Pyrenees
Relais CA RELAIS CA - BAR DU CARREFOUR - BROMMAT;Le Bourg, 12600 BROMMAT;12600;44,83062899999999;2,684099999999944;Crédit Agricole - Nord Midi Pyrenees
