nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AUFFAY;2 Rue Roger Fossé, 76720 Auffay;76720;;;Crédit Agricole - Normandie Seine
Agence bancaire AUMALE;2 Rue René Gicquel, 76390 Aumale;76390;;;Crédit Agricole - Normandie Seine
Agence bancaire BACQUEVILLE EN CAUX;22 Place du Général de Gaulle, 76730 Bacqueville-en-Caux;76730;;;Crédit Agricole - Normandie Seine
Agence bancaire BARENTIN VILLE;8 Rue du Général Giraud, 76360 Barentin;76360;;;Crédit Agricole - Normandie Seine
Agence bancaire BEAUMONT LE ROGER;49 Rue Saint-Nicolas, 27170 Beaumont-le-Roger;27170;;;Crédit Agricole - Normandie Seine
Agence bancaire BERNAY;Rue de Cosnier, 27300 Bernay;27300;49,0880789;0,5884525000000167;Crédit Agricole - Normandie Seine
Agence bancaire PÔLE PROFESSIONNEL BERNAY;Rue de Cosnier, 27300 Bernay;27300;49,0880789;0,5884525000000167;Crédit Agricole - Normandie Seine
Agence bancaire BEUZEVILLE;97 Rue de Verdun, 27210 Beuzeville;27210;;;Crédit Agricole - Normandie Seine
Agence bancaire BLANGY SUR BRESLE;18 Grande Rue François Mitterand, 76340 Blangy-sur-Bresle;76340;;;Crédit Agricole - Normandie Seine
Agence bancaire BOIS-GUILLAUME MAIRIE;338 Rue de la République, 76230 Bois-Guillaume;76230;49,47095818048991;1,115821519846918;Crédit Agricole - Normandie Seine
Agence bancaire Secteur digital;Cité de l'Agriculture, 76230 Bois-Guillaume;76230;49,47526;1,114612;Crédit Agricole - Normandie Seine
Agence bancaire BOLBEC;1 Place Félix Faure, 76210 Bolbec;76210;;;Crédit Agricole - Normandie Seine
Agence bancaire BOOS;100 Rue d'Uelzen, 76520 Boos;76520;;;Crédit Agricole - Normandie Seine
Agence bancaire BOSC LE HARD;82 Rue du Grand Tendos, 76850 Bosc-le-Hard;76850;;;Crédit Agricole - Normandie Seine
Agence bancaire BOURG ACHARD;405 Grande Rue, 27310 Bourg-Achard;27310;;;Crédit Agricole - Normandie Seine
Agence bancaire GRAND BOURGTHEROULDE;Grande Rue, 27520 Bourgtheroulde-Infreville;27520;;;Crédit Agricole - Normandie Seine
Agence bancaire BRETEUIL;8 Rue Aristide Briand, 27160 Breteuil;27160;;;Crédit Agricole - Normandie Seine
Agence bancaire BRIONNE;15 Rue de la Soie, 27800 Brionne;27800;;;Crédit Agricole - Normandie Seine
Agence bancaire BROGLIE;12 Rue Augustin Fresnel, 27270 Broglie;27270;;;Crédit Agricole - Normandie Seine
Agence bancaire BUCHY;118 Route de Forges, 76750 Buchy;76750;;;Crédit Agricole - Normandie Seine
Agence bancaire CANTELEU;8 Avenue du Président Allende, 76380 Canteleu;76380;;;Crédit Agricole - Normandie Seine
Agence bancaire CANY BARVILLE;39 Place Robert Gabel, 76450 Cany-Barville;76450;;;Crédit Agricole - Normandie Seine
Agence bancaire CONCHES EN OUCHE;30 Place Carnot, 27190 Conches-en-Ouche;27190;;;Crédit Agricole - Normandie Seine
Agence bancaire CORMEILLES;1 Place du Général de Gaulle, 27260 Cormeilles;27260;;;Crédit Agricole - Normandie Seine
Agence bancaire CRIEL SUR MER;34 Rue de la Libération, 76910 Criel-sur-Mer;76910;;;Crédit Agricole - Normandie Seine
Agence bancaire CRIQUETOT L ESNEVAL;6 Place du Général Leclerc, 76280 Criquetot-l'Esneval;76280;;;Crédit Agricole - Normandie Seine
Agence bancaire MESNILS SUR ITON;2 Place de la Halle, 27240 Damville;27240;;;Crédit Agricole - Normandie Seine
Agence bancaire DARNETAL;66 Rue Sadi Carnot, 76160 Darnétal;76160;;;Crédit Agricole - Normandie Seine
Agence bancaire DEVILLE LES ROUEN;284 Route de Dieppe, 76250 Déville-lès-Rouen;76250;;;Crédit Agricole - Normandie Seine
Agence bancaire DIEPPE;200 Grande Rue, 76200 Dieppe;76200;49,9250936;1,075044700000035;Crédit Agricole - Normandie Seine
Agence bancaire DIEPPE BELVEDERE;Centre Commercial du Belvédère - Avenue des Canadiens, 76200 Dieppe;76200;49,90952206796756;1,078752232922739;Crédit Agricole - Normandie Seine
