nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AGNEAUX;2 Place Pierre De Gouville, 50180 AGNEAUX;50180;;;Crédit Agricole - Normandie
Agence bancaire AGON-COUTAINVILLE;6 Place du 28 Juillet, 50230 Agon-Coutainville;50230;;;Crédit Agricole - Normandie
Agence bancaire AGENCE EN LIGNE CA EXPERT;52 Boulevard du 1er Chasseurs, 61000 ALENCON;61000;48,43946150000001;0,0851552;Crédit Agricole - Normandie
Agence bancaire ALENCON - CLEMENCEAU;15-17 Cours Clemenceau BP 79, 61000 ALENCON;61000;48,4313511;0,0890027;Crédit Agricole - Normandie
Agence bancaire ALENCON - COURTEILLE;72 rue Pierre Curie-Courteille BP 701, 61000 ALENCON;61000;48,4359085;0,1052078;Crédit Agricole - Normandie
Agence bancaire ALENCON - GENERAL LECLERC;96 avenue du Général Leclerc, 61000 ALENCON;61000;48,4200767;0,0894179;Crédit Agricole - Normandie
Agence bancaire ALENCON - MONTSORT;17 rue des Tisons, 61000 ALENCON;61000;48,4258239;0,0897462;Crédit Agricole - Normandie
Agence bancaire ALENCON AGENCE ENTREPRISES DE L'ORNE;15 cours Clémenceau, 61000 ALENCON;61000;48,4295505;0,0879144;Crédit Agricole - Normandie
Agence bancaire ARGENCES;5 Place du Maréchal Joffre, 14370 ARGENCES;14370;;;Crédit Agricole - Normandie
Agence bancaire ARGENTAN;3 rue Eugène Denis, 61200 ARGENTAN;61200;;;Crédit Agricole - Normandie
Agence bancaire ATHIS DE L ORNE;22 Place Saint Vigor, 61430 ATHIS VAL DE ROUVRE;61430;;;Crédit Agricole - Normandie
Agence bancaire AUNAY SUR ODON;2 rue de Villers, 14260 AUNAY SUR ODON;14260;;;Crédit Agricole - Normandie
Agence bancaire AVRANCHES;2 rue St Gaudens, 50300 AVRANCHES;50300;;;Crédit Agricole - Normandie
Agence bancaire BAGNOLES DE L ORNE;5, rue des Casinos, 61140 BAGNOLES DE L ORNE NORMANDIE;61140;;;Crédit Agricole - Normandie
Agence bancaire BARENTON;153 rue du Président Kennedy, 50720 BARENTON;50720;;;Crédit Agricole - Normandie
Agence bancaire BARFLEUR;Rue Saint Thomas BP 3, 50760 BARFLEUR;50760;;;Crédit Agricole - Normandie
Agence bancaire BARNEVILLE;6 Place du Docteur Auvret, 50270 BARNEVILLE CARTERET;50270;;;Crédit Agricole - Normandie
Agence bancaire BAYEUX;6 Place du Marché, 14400 BAYEUX;14400;;;Crédit Agricole - Normandie
