nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire Ablis;place de l'Eglise, 78660 ABLIS;78660;;;Crédit Agricole - Paris
Agence bancaire Alfortville;153 av P. V. Couturier..., 94140 ALFORTVILLE;94140;;;Crédit Agricole - Paris
Agence bancaire Angerville;75 rue Nationale, 91670 ANGERVILLE;91670;;;Crédit Agricole - Paris
Agence bancaire Antony;4, av de la Division Leclerc, 92160 ANTONY;92160;;;Crédit Agricole - Paris
Agence bancaire Arcueil;34 Rue Emile Raspail, 94110 ARCUEIL;94110;;;Crédit Agricole - Paris
Agence bancaire Argenteuil;85 av Gabriel Peri, 95100 ARGENTEUIL;95100;;;Crédit Agricole - Paris
Agence bancaire Arnouville;34, avenue Pierre Semard, 95400 ARNOUVILLE;95400;;;Crédit Agricole - Paris
Agence bancaire Arpajon;99 Grande Rue, 91290 ARPAJON;91290;;;Crédit Agricole - Paris
Agence bancaire Asnieres Hotel De Ville;8 place de l'Hotel de Ville, 92600 ASNIERES;92600;48,91028;2,28916;Crédit Agricole - Paris
Agence bancaire Asnieres-Bourguignons;70 rue des Bourguignons, 92600 ASNIERES;92600;48,91449;2,27421;Crédit Agricole - Paris
Agence bancaire Aubergenville;2 bis bd de la Republique, 78410 AUBERGENVILLE;78410;;;Crédit Agricole - Paris
Agence bancaire Aubervilliers;195, avenue Victor Hugo, 93300 AUBERVILLIERS;93300;;;Crédit Agricole - Paris
Agence bancaire Aulnay Sous Bois;36 bd de Strasbourg, 93602 AULNAY SOUS BOIS;93602;;;Crédit Agricole - Paris
Agence bancaire Ballancourt;45 bis rue du General De Gaulle, 91610 BALLANCOURT;91610;;;Crédit Agricole - Paris
Agence bancaire Beaumont;7 Rue de la LIBERATION, 95260 BEAUMONT SUR OISE;95260;;;Crédit Agricole - Paris
Agence bancaire Beynes;35 rue de la Republique, 78650 BEYNES;78650;;;Crédit Agricole - Paris
Agence bancaire Bezons;58, rue Edouard Vailant, 95870 BEZONS;95870;;;Crédit Agricole - Paris
Agence bancaire Bobigny;188 rue Jean Jaures, 93000 BOBIGNY;93000;;;Crédit Agricole - Paris
Agence bancaire Boissy Saint Leger;41 av du General Leclerc, 94470 BOISSY SAINT LEGER;94470;;;Crédit Agricole - Paris
Agence bancaire Bondy;69 Rue Jules Guesde, 93140 BONDY;93140;;;Crédit Agricole - Paris
Agence bancaire Bonnieres Sur Seine;24 av de la Republique, 78270 BONNIERES SUR SEINE;78270;;;Crédit Agricole - Paris
