nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire Agence Entreprise Tarbes;11 boulevard Kennedy, 65000 Agences Entreprises Pyrénées Gascogne;65000;43,2193014;0,0842366;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Agence Entreprises d'Auch;Au Malartic route d'Agen, 32000 Agences Entreprises Pyrénées Gascogne;32000;43,685453;0,603229;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Agence Entreprises de Bayonne;2 chemin de Marouette, 64100 Agences Entreprises Pyrénées Gascogne;64100;43,4828373;-1,490111;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Agence Grandes Entreprises de Pau;Chemin de Devèzes, 64121 Agences Entreprises Pyrénées Gascogne;64121;43,37021098;-0,379071236;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Aignan;1 rue Saint-Saturnin, 32290 AIGNAN;32290;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Anglet Cinq Cantons;Rue Eugène Labaste, 64600 ANGLET;64600;43,495468;-1,530351;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Anglet Le Busquet;66 avenue De Bayonne, 64600 ANGLET;64600;43,4824334;-1,505622;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Anglet Maignon;Centre Commercial Aritxague Avenue du Professeur René Cuzacq, 64600 ANGLET;64600;43,476017;-1,493198;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bayonne Anglet Espace Pro;14 rue du Cadran, 64600 ANGLET;64600;43,48219;-1,5051204;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Espace Habitat d'Anglet;14 Allée du Cadran, 64600 Anglet;64600;43,4820643;-1,5050549;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Argelès;14 place Victoire, 65400 ARGELES-GAZOST;65400;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Arreau;25 place de la Mairie, 65240 ARREAU;65240;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Arthez;16 rue La Carrère, 64370 ARTHEZ-DE-BEARN;64370;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Artix;42 rue des ecureuils, 64170 ARTIX;64170;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Arudy;Place du Foirail, 64260 ARUDY;64260;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Arzacq;Place du Marcadieu, 64410 ARZACQ-ARRAZIGUET;64410;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Auch Alsace;1 avenue Alsace, 32000 AUCH;32000;43,6487293;0,5905526;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Auch Gambetta;9 rue Gambetta, 32000 AUCH;32000;43,6476432;0,5849663;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Auch Pyrénées;24 avenue des Pyrénées, 32000 AUCH;32000;43,638083;0,5841531;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Banque Privée Gers;252 impasse du rond-point des Justes, 32000 AUCH;32000;43,64638;0,586709;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Espace Pro d'Auch;Au Malartic route d'Agen, 32000 AUCH;32000;43,685453;0,603229;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bagnères-de-Bigorre;20 allée des Coustous, 65201 BAGNERES-DE-BIGORRE;65201;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Barcelonne-du-Gers;Place de la Garlande, 32720 BARCELONNE-DU-GERS;32720;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Banque Privée CA Pays Basque;Pôle Haristeguy, 64100 BAYONNE;64100;43,482837;-1,490111;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bayonne Bertaco;3 rue Port Bertaco, 64100 BAYONNE;64100;43,489674;-1,4753063;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bayonne Grand Basque;90 route de Navarre, 64100 BAYONNE;64100;43,5045367;-1,4457904;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bayonne Saint-Esprit;26 place de la République, 64100 BAYONNE;64100;43,495805;-1,469344;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bayonne Thiers;21 rue Thiers, 64100 BAYONNE;64100;43,4923606;-1,4766101;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bedous;17 D834, 64490 Bedous;64490;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bénéjacq;Centre Commercial Super U, 64800 BENEJACQ;64800;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Banque Privée Pays Basque;1 Place Beau Rivage, 64200 Biarritz;64200;43,47345869999999;-1,5664646;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Biarritz Clémenceau;10 place Georges Clémenceau, 64200 BIARRITZ;64200;43,4821229;-1,5607348;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Biarritz Kennedy;42 avenue Kennedy, 64200 BIARRITZ;64200;43,4719879;-1,5554953;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Espace Pro Biarritz Beaurivage;1 place Beaurivage, 64200 BIARRITZ;64200;43,4733598;-1,5663497;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bidache;56 Rue des Jardins, 64520 BIDACHE;64520;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bidart Centre;4 Avenue de la Grande Plage, 64210 BIDART;64210;43,4392906;-1,590533999999934;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bidart Gaïna;Avenue de Bayonne Centre commercial Intermarché, 64210 BIDART;64210;43,447632;-1,574174;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Billère Lassansaa;11 Rue Jeanne Lassansaa, 64140 BILLERE;64140;43,3028057;-0,3950885;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Espace Habitat de Pau;86 route de Bayonne, 64140 BILLERE;64140;43,3056029;-0,4015985;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Bizanos;19 rue George Clémenceau, 64320 BIZANOS;64320;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Boucau;Place Semard, 64340 BOUCAU;64340;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Cambo-les-Bains;Place du Trinquet, 64250 CAMBO-LES-BAINS;64250;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Castelnau Magnoac;34 place Estelette, 65230 CASTELNAU-MAGNOAC;65230;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Castéra-Verduzan;6 place du 8 juillet 1977, 32310 CASTERA-VERDUZAN;32310;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Cauterets;14 rue de Belfort, 65110 CAUTERETS;65110;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Cazaubon;8 boulevard des Pyrénées, 32150 CAZAUBON;32150;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Cologne;21-23 place de la Halle, 32430 COLOGNE;32430;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Condom Bouquerie;Boulevard Saint-Jacques, 32100 CONDOM;32100;43,9568583;0,3655041;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Condom Saint-Pierre;Place Saint-Pierre, 32100 CONDOM;32100;43,9576;0,373101;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Eauze;Boulevard Saint-Blancat, 32800 EAUZE;32800;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Espelette;395 Route Karrika Nagusia, 64250 ESPELETTE;64250;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Fleurance;11 place de la République, 32500 FLEURANCE;32500;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Gan;Avenue Henri IV, 64290 GAN;64290;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Garlin;1 cours de la République, 64330 GARLIN;64330;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Gimont;place du marché, 32200 Gimont;32200;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Gondrin;45 Avenue Jean Moulin, 32330 Gondrin;32330;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Hasparren;Rue du Docteur Lissar, 64240 HASPARREN;64240;;;Crédit Agricole - Pyrenees Gascogne
Agence bancaire Hendaya;3 Rue du Port, 64700 Hendaye;64700;43,3576617;-1,774754;Crédit Agricole - Pyrenees Gascogne
