nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire BANDRÉLÉ;1082 Boulevard Moida Saïd, 97660 BANDRÉLÉ;97660;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire BRAS PANON;58 Route nationale 2, 97412 BRAS PANON;97412;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire PETITE-TERRE - LABATTOIR;23 Route des Badamiers, 97615 DZAOUDZI;97615;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire ETANG-SALÉ LES HAUTS;204 Avenue Raymond Barre, 97427 ETANG SALE LES HAUTS;97427;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE LA MONTAGNE;27 Rue des Palmiers, 97417 LA MONTAGNE;97417;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire LA POSSESSION;20 Rue Sarda Garriga, 97419 LA POSSESSION;97419;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire LA RAVINE DES CABRIS;18 Rue Pasteur, 97432 LA RAVINE DES CABRIS;97432;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire RIVIERE SAINT-LOUIS;57 Rue Georges Paulin, 97421 LA RIVIERE SAINT-LOUIS;97421;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire LA SALINE;206 Rue Jean Albany, 97422 LA SALINE LES HAUTS;97422;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE LE PORT;16 Avenue de la Commune de Paris, 97420 LE PORT;97420;-20,936799;55,290636;Crédit Agricole - Reunion   Mayotte
Agence bancaire BANQUE PRIVEE OUEST;16 Avenue de la Commune de Paris, 97420 LE PORT;97420;-20,936799;55,290636;Crédit Agricole - Reunion   Mayotte
Agence bancaire CENTRE D'AFFAIRES ENTREPRISES OUEST;16 Avenue de la Commune de Paris, 97420 LE PORT;97420;-20,936799;55,290636;Crédit Agricole - Reunion   Mayotte
Agence bancaire LE TAMPON;138 Rue Hubert Delisle, 97430 LE TAMPON;97430;-21,281733;55,518731;Crédit Agricole - Reunion   Mayotte
Agence bancaire TROIS MARES;17 Rue Charles Baudelaire, 97430 LE TAMPON;97430;-21,260362;55,503268;Crédit Agricole - Reunion   Mayotte
Agence bancaire CAVANI;184 Rue du stade - Immeuble de la Briquetterie, 97600 MAMOUDZOU;97600;-12,784414;45,223966;Crédit Agricole - Reunion   Mayotte
Agence bancaire HAUTS VALLONS;Résidence de l'Horloge Lot. Les Hauts-Vallons, 97600 MAMOUDZOU;97600;-12,756657;45,229589;Crédit Agricole - Reunion   Mayotte
Agence bancaire PETITE ILE;232 Rue Mahé de Labourdonnais, 97429 PETITE ILE;97429;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire PITON SAINT-LEU;2 Rue du Père Tabaillet, 97424 PITON SAINT-LEU;97424;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire PLAINE DES CAFRES;119 Rue Jean Defos du Rau, 97418 PLAINE DES CAFRES;97418;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAINT-ANDRE BALANCE;300 Chemin Lefaguyès - La Balance, 97440 SAINT-ANDRE;97440;-20,961759;55,66116;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAINT-ANDRE CENTRE VILLE;183 Avenue de Bourbon, 97440 SAINT-ANDRE;97440;-20,962129;55,649486;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAINT-BENOIT;17 Chemin Hubert Delisle, 97470 SAINT-BENOIT;97470;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE GÉNÉRAL DE GAULLE;117 Rue du Général de Gaulle, 97400 SAINT-DENIS;97400;-20,885175;55,458524;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE LA PROVIDENCE;37b Boulevard de la Providence, 97400 SAINT-DENIS;97400;-20,89414;55,457439;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE LA TRINITÉ;10 Avenue Jean Paul II - Résidence Alizé - Parc Trinité, 97400 SAINT-DENIS;97400;-20,895093;55,468088;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE SAINT-DENIS;18 Rue Félix Guyon, 97400 SAINT-DENIS;97400;-20,881173;55,450244;Crédit Agricole - Reunion   Mayotte
Agence bancaire BANQUE PRIVEE NORD;18b Rue Félix Guyon, 97400 SAINT-DENIS;97400;-20,881173;55,450244;Crédit Agricole - Reunion   Mayotte
Agence bancaire CENTRE D'AFFAIRES ENTREPRISES NORD;18b Rue Félix Guyon, 97400 SAINT-DENIS;97400;-20,881172;55,450243;Crédit Agricole - Reunion   Mayotte
Agence bancaire CRÉDITS ET ASSURANCES NORD;8 Rue Neuve - Résidence Altair, Barachois, 97400 SAINT-DENIS;97400;-20,87330181735494;55,45201263780369;Crédit Agricole - Reunion   Mayotte
Agence bancaire INSTITUTIONNELS ET PROMOTION IMMOBILIÈRE;18b Rue Félix Guyon, 97400 SAINT-DENIS;97400;-20,881173;55,450244;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAINT-GILLES-LES-BAINS;100 Rue du Général de Gaulle, 97434 SAINT-GILLES LES BAINS;97434;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAINT-JOSEPH;19 Rue Maury, 97480 SAINT-JOSEPH;97480;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAINT-LEU;207 Rue du Général Lambert, 97436 SAINT-LEU;97436;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAINT-LOUIS;2 Rue des Albatros, Le Gol, 97450 SAINT-LOUIS;97450;;;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAINT-PAUL;85 Chaussée Royale, 97460 SAINT-PAUL;97460;-21,011427;55,272949;Crédit Agricole - Reunion   Mayotte
Agence bancaire SAVANNA;51 Route de Savanna, 97460 SAINT-PAUL;97460;-20,985694;55,297075;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE ISAUTIER;11 Rue des Olivines - ZAC Canabady, 97410 SAINT-PIERRE;97410;-21,323206;55,473424;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE SAINT-PIERRE;52 Rue du Four à Chaux, 97410 SAINT-PIERRE;97410;-21,341971;55,473704;Crédit Agricole - Reunion   Mayotte
Agence bancaire AGENCE TERRE SAINTE;145 Avenue du Président Mitterrand, 97410 SAINT-PIERRE;97410;-21,346691;55,488873;Crédit Agricole - Reunion   Mayotte
