nom;adresse;code_postal;latitude;longitude;region_source
Relais CA RELAIS CA TABAC PRESSE - ALENYA;2 Rue du Réart, 66200 ALENYA;66200;42,6423685;2,978591;Crédit Agricole - Sud Mediterranee
Agence bancaire AGENCE D'AMÉLIE-LES-BAINS;25, Avenue du Vallespir, 66110 AMELIE-LES-BAINS;66110;;;Crédit Agricole - Sud Mediterranee
Agence bancaire AGENCE D'ARGELÈS-SUR-MER;1, Route de Collioure, 66700 ARGELES-SUR-MER;66700;;;Crédit Agricole - Sud Mediterranee
Agence bancaire AGENCE D'ARLES-SUR-TECH;45, Rue Barri d Avall, 66150 ARLES-SUR-TECH;66150;;;Crédit Agricole - Sud Mediterranee
Relais CA RELAIS CA TABAC LA MUSETTE DE L'ARS - AULUS-LES-BAINS;Rue Principale, 09140 AULUS-LES-BAINS;09140;42,79006345283418;1,336443502917035;Crédit Agricole - Sud Mediterranee
Relais CA RELAIS CA SUPERETTE COELHO NICOLE - AUZAT;23 Rue des Pyrénées, 09220 AUZAT;09220;42,7664938;1,4801639;Crédit Agricole - Sud Mediterranee
Agence bancaire AGENCE D'AX-LES-THERMES;29, Avenue Théophile Delcassé, 09110 AX-LES-THERMES;09110;;;Crédit Agricole - Sud Mediterranee
Relais CA RELAIS CA TPCF LE TRAIN ROUGE - AXAT;3 B Place de la Gare, 11140 AXAT;11140;42,8029598;2,2283294;Crédit Agricole - Sud Mediterranee
Agence bancaire AGENCE DE BAGES;2, Rue du 14 Juillet, 66670 BAGES;66670;;;Crédit Agricole - Sud Mediterranee
Agence bancaire AGENCE DE BAIXAS;1, Rue des Cordiers, 66390 BAIXAS;66390;;;Crédit Agricole - Sud Mediterranee
Distributeur automatique de billets DISTRIBUTEUR DE BILLETS AIRE DU VILLAGE CATALAN;Aire du Village Catalan, 66300 BANYULS-DELS-ASPRES;66300;42,5759;2,84505;Crédit Agricole - Sud Mediterranee
Agence bancaire AGENCE DE BANYULS-SUR-MER;Avenue Pierre Fabre, 66650 BANYULS-SUR-MER;66650;;;Crédit Agricole - Sud Mediterranee
Relais CA RELAIS CA HÔTEL RESTAURANT DOMAINE RIBERACH - BELESTA;2 Route de Caladroy, 66720 BELESTA;66720;42,7180615;2,6074017;Crédit Agricole - Sud Mediterranee
Relais CA RELAIS CA BOWLING L'ÉLAN - BOLQUERE;4 Avenue du Serrat de l'Ours, 66210 BOLQUERE;66210;42,5163401;2,0601626;Crédit Agricole - Sud Mediterranee
Agence bancaire AGENCE DE BOMPAS;11, Avenue Pasteur, 66430 BOMPAS;66430;;;Crédit Agricole - Sud Mediterranee
Relais CA RELAIS CA BOULANGERIE MARTINEZ MATHIEU - BOULETERNERE;3 rue Cami Real, 66130 BOULETERNERE;66130;42,64997491257302;2,5856415;Crédit Agricole - Sud Mediterranee
