nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AGENCE DE VALS LES BAINS;12 rue Auguste Clément, 07600 AGENCE DE VALS LES BAINS;07600;;;Crédit Agricole - Sud Rhone Alpes
Relais CA Boucherie Charcuterie Valla - ALBA-LA-ROMAINE;26 Rue du Code, 07400 ALBA-LA-ROMAINE;07400;44,5549837;4,5983899;Crédit Agricole - Sud Rhone Alpes
Relais CA Tabac - Lobidel Christian - ALBA-LA-ROMAINE;Rue du Barry, 07400 ALBA-LA-ROMAINE;07400;44,5549161;4,5981576;Crédit Agricole - Sud Rhone Alpes
Agence bancaire AGENCE D'ALBOUSSIERE;Place de la Mairie, 07440 ALBOUSSIERE;07440;;;Crédit Agricole - Sud Rhone Alpes
Relais CA Tabac Presse - Muller Sandra - ALLEMOND;335 Route des Fonderies Royales, 38114 ALLEMOND;38114;45,127913;6,038149;Crédit Agricole - Sud Rhone Alpes
Agence bancaire AGENCE D'ALLEVARD;7 Boulevard Jules Ferry, 38580 ALLEVARD;38580;;;Crédit Agricole - Sud Rhone Alpes
Relais CA Le Tabac d'Allex - ALLEX;22 Route de Crest, 26400 ALLEX;26400;44,7619927;4,9200004;Crédit Agricole - Sud Rhone Alpes
Agence bancaire AGENCE DE L'ALPE D'HUEZ;Avenue de la Poste, 38750 ALPE D'HUEZ;38750;;;Crédit Agricole - Sud Rhone Alpes
Relais CA L'Epicerie de Mélanie - ANCONE;Rue Bernard Goujon, 26200 ANCONE;26200;44,5792921;4,7242669;Crédit Agricole - Sud Rhone Alpes
Agence bancaire AGENCE D'ANDANCE;58 Route de Saint-Joseph, 07340 ANDANCE;07340;;;Crédit Agricole - Sud Rhone Alpes
Agence bancaire AGENCE D'ANNEYRON;9, Place Rambaud, 26140 ANNEYRON;26140;;;Crédit Agricole - Sud Rhone Alpes
Relais CA Le Petit Commerce - ANTHON;2 Rue du Port, 38280 ANTHON;38280;45,791086;5,171453;Crédit Agricole - Sud Rhone Alpes
Relais CA Tabac d'y Sye - AOUSTE-SUR-SYE;28 Grande Rue, 26400 AOUSTE-SUR-SYE;26400;44,7155406;5,0573799;Crédit Agricole - Sud Rhone Alpes
Relais CA Chocolaterie - Dominique Riou - ARCENS;La Gare, 07310 ARCENS;07310;44,900015;4,326087;Crédit Agricole - Sud Rhone Alpes
Relais CA Le Bar Des Choix - ARLEBOSC;200 Rte de Lamastre, 07410 ARLEBOSC;07410;44,93438;4,48781;Crédit Agricole - Sud Rhone Alpes
Agence bancaire AGENCE D AUBENAS-MOULON;Le Moulon Route de Montelimar, 07200 AUBENAS;07200;44,615362;4,401226;Crédit Agricole - Sud Rhone Alpes
Agence bancaire AGENCE D AUBENAS-VILLE;18 bd de Vernon, 07200 AUBENAS;07200;44,620135;4,387678;Crédit Agricole - Sud Rhone Alpes
Relais CA Boulangerie - Modena - AUBRES;Le Village, 26110 AUBRES;26110;44,376965;5,170078999999999;Crédit Agricole - Sud Rhone Alpes
Relais CA Alimentation 8 à 8 - AURIS;Les Orgières, 38142 AURIS;38142;45,0564701;6,0795344;Crédit Agricole - Sud Rhone Alpes
Agence bancaire AGENCE D'AUTRANS;52 rue du Vercors - Immeuble Huilier Village, 38880 AUTRANS;38880;;;Crédit Agricole - Sud Rhone Alpes
Relais CA Tabac Les Meaudraises - AUTRANS MEAUDRE EN VERCORS;Le Village, 38880 AUTRANS MEAUDRE EN VERCORS;38880;45,1746213;5,5428439;Crédit Agricole - Sud Rhone Alpes
Relais CA Tabac Epicerie - Duburque Sebastien - BAIX;311 Avenue Jean Moulin, 07210 BAIX;07210;44,7114163;4,764861499999999;Crédit Agricole - Sud Rhone Alpes
Relais CA Au Petit Bar A Bières - BARBIERES;Grande Rue, 26300 BARBIERES;26300;44,9550177;5,1423135;Crédit Agricole - Sud Rhone Alpes
Relais CA L'Esteban - BARRAUX;241 Grande Rue, 38530 BARRAUX;38530;45,4349952;5,978332900000001;Crédit Agricole - Sud Rhone Alpes
