nom;adresse;code_postal;latitude;longitude;region_source
Agence bancaire AMBOISE;7, square des AFN, 37400 AMBOISE;37400;47,4117057;0,9823593;Crédit Agricole - Touraine Poitou
Agence bancaire AMBOISE LECLERC;Centre commercial E. Leclerc Avenue Léonard de Vinci, 37400 AMBOISE;37400;47,40442741;1,016004682;Crédit Agricole - Touraine Poitou
Agence Immobilière AMBOISE  Square Habitat;5 Allée du Sergent Turpin, 37400 Amboise;37400;47,4121483;0,9818725999999742;Crédit Agricole - Touraine Poitou
Agence bancaire AVAILLES LIMOUZINE;5 Rue du 11 Novembre 1918, 86460 AVAILLES-LIMOUZINE;86460;;;Crédit Agricole - Touraine Poitou
Relais CA EVAIN ISABELLE - Avanton;12 Rue de la Poste, 86170 Avanton;86170;46,662145;0,3043959000000314;Crédit Agricole - Touraine Poitou
Agence bancaire AVOINE;1 place Emile Zola, 37420 AVOINE;37420;;;Crédit Agricole - Touraine Poitou
Agence bancaire AZAY-LE-RIDEAU;9 rue Carnot, 37190 AZAY-LE-RIDEAU;37190;;;Crédit Agricole - Touraine Poitou
Agence bancaire BALLAN MIRE;14 rue du 11 Novembre 1918, 37510 BALLAN MIRE;37510;;;Crédit Agricole - Touraine Poitou
Agence bancaire BLERE;41 rue des Déportés, 37150 BLERE;37150;;;Crédit Agricole - Touraine Poitou
Agence bancaire BONNEUIL MATOURS;15 Rue du Commerce, 86210 BONNEUIL MATOURS;86210;;;Crédit Agricole - Touraine Poitou
Agence bancaire BOURGUEIL;28 rue Pasteur, 37140 BOURGUEIL;37140;;;Crédit Agricole - Touraine Poitou
Agence bancaire BUXEROLLES;16 Rue des Écoles, 86180 Buxerolles;86180;;;Crédit Agricole - Touraine Poitou
Agence bancaire CENON SUR VIENNE;Place Michel Gaudineau, 86530 Cenon-sur-Vienne;86530;;;Crédit Agricole - Touraine Poitou
Agence bancaire CHAMBRAY CENTRE;4 place du 11 novembre, 37170 CHAMBRAY LES TOURS;37170;;;Crédit Agricole - Touraine Poitou
Agence bancaire CHANCEAUX SUR CHOISILLE;ZAC de la grande pièce, 37390 CHANCEAUX SUR CHOISILLE;37390;;;Crédit Agricole - Touraine Poitou
Agence bancaire CHARROUX;1 rue Amédée Brouillet, 86250 CHARROUX;86250;;;Crédit Agricole - Touraine Poitou
Agence bancaire CHASSENEUIL;Place du Centre, 86360 CHASSENEUIL;86360;;;Crédit Agricole - Touraine Poitou
Guichet Automatique de banque AUCHAN JAUNAY-CLAN 1;D910, 86360 Chasseneuil-du-Poitou;86360;46,64737;0,3626299999999674;Crédit Agricole - Touraine Poitou
Agence bancaire CHATEAU LA VALLIERE;8 avenue du Général Leclerc, 37330 CHATEAU LA VALLIERE;37330;;;Crédit Agricole - Touraine Poitou
Agence bancaire CHATEAU RENAULT;7 rue de la République, 37110 CHATEAU RENAULT;37110;;;Crédit Agricole - Touraine Poitou
Agence bancaire CENTRE PATRIMOINE VIENNE NORD;50 Boulevard Blossac, 86100 CHATELLERAULT;86100;0,0;0,0;Crédit Agricole - Touraine Poitou
Agence bancaire CHATELLERAULT BLOSSAC;50 boulevard Blossac, 86100 CHATELLERAULT;86100;46,816542;0,5451283;Crédit Agricole - Touraine Poitou
Agence bancaire CHATELLERAULT CHATEAUNEUF;Rue Clément Janequin, 86100 CHATELLERAULT;86100;46,816291;0,536964;Crédit Agricole - Touraine Poitou
Agence bancaire CHATELLERAULT L'HERSE;Rue de l'Herse. ZAC Herse, 86100 CHATELLERAULT;86100;46,822853;0,55805;Crédit Agricole - Touraine Poitou
Agence bancaire CHAUVIGNY;21 place du Marché, 86300 CHAUVIGNY;86300;;;Crédit Agricole - Touraine Poitou
Agence bancaire CHINON;2 rue neuve de l'Hôtel de Ville, 37500 CHINON;37500;;;Crédit Agricole - Touraine Poitou
Guichet Automatique de banque CINQ MARS LA PILE;36 Rue nationale, 37130 Cinq-Mars-la-Pile;37130;47,3464103;0,4578238000000283;Crédit Agricole - Touraine Poitou
Relais CA VIVAL - Civaux;12 Rue du 19 Mars 1962, 86320 Civaux;86320;46,4440926;0,6660888000000114;Crédit Agricole - Touraine Poitou
Agence bancaire CORMERY;14, rue nationale, 37320 CORMERY;37320;;;Crédit Agricole - Touraine Poitou
Agence bancaire COUHE;35 place de la Marne, 86700 COUHE;86700;;;Crédit Agricole - Touraine Poitou
Guichet Automatique de banque CENTER PARC;Route des Trois Moutiers, 86120 Curçay-sur-Dive;86120;47,014219;-0,05647669999996197;Crédit Agricole - Touraine Poitou
Agence bancaire DANGE SAINT ROMAIN;5 rue Jules Ferry, 86220 DANGE SAINT ROMAIN;86220;;;Crédit Agricole - Touraine Poitou
Agence bancaire DESCARTES;13 rue du Commerce, 37160 DESCARTES;37160;;;Crédit Agricole - Touraine Poitou
Relais CA MONSIEUR JEAN PIERRE PINAULT - Druye;7 Rue des Vignes de Renault, 37190 Druye;37190;47,3079605;0,5367380000000139;Crédit Agricole - Touraine Poitou
Agence bancaire ESVRES;11 place Joseph Bourreau, 37320 ESVRES;37320;;;Crédit Agricole - Touraine Poitou
Agence bancaire FONDETTES;4 Rue Noël Carlotti, 37230 Fondettes;37230;;;Crédit Agricole - Touraine Poitou
Agence bancaire FONTAINE LE COMTE;9, bis route de Béruges, 86240 FONTAINE LE COMTE;86240;;;Crédit Agricole - Touraine Poitou
Agence bancaire GENCAY;Rue Edmond Thiaudière, 86160 GENCAY;86160;;;Crédit Agricole - Touraine Poitou
Guichet Automatique de banque GENILLE;Place Agnés Sorel, 37460 Genillé;37460;47,185396;1,093556900000067;Crédit Agricole - Touraine Poitou
Agence bancaire INGRANDES;Place Maurice Regnier, 86220 INGRANDES;86220;;;Crédit Agricole - Touraine Poitou
Agence bancaire ITEUIL;Place de l'eglise, 86240 ITEUIL;86240;;;Crédit Agricole - Touraine Poitou
Agence bancaire JAUNAY CLAN;Place de la Fontaine, 86130 JAUNAY CLAN;86130;;;Crédit Agricole - Touraine Poitou
Agence bancaire JOUE CHANTEPIE;17 rue Aristide Briand, 37300 JOUE LES TOURS;37300;47,3525968;0,6609516;Crédit Agricole - Touraine Poitou
Agence bancaire JOUE GAMARD;5 rue Gamard, 37300 JOUE LES TOURS;37300;47,3506987;0,66259;Crédit Agricole - Touraine Poitou
Agence bancaire JOUE LA GITONNIERE;40 rue de la Gitonnière, 37300 JOUE LES TOURS;37300;47,3378582;0,6580885;Crédit Agricole - Touraine Poitou
Agence bancaire L'ILE BOUCHARD;31 avenue des Presles, 37220 L'ILE BOUCHARD;37220;;;Crédit Agricole - Touraine Poitou
Agence bancaire L'ISLE JOURDAIN;17 avenue Pasteur, 86150 L'ISLE JOURDAIN;86150;;;Crédit Agricole - Touraine Poitou
Agence bancaire LA RICHE;22 place Sainte Anne, 37520 LA RICHE;37520;;;Crédit Agricole - Touraine Poitou
Agence bancaire LA ROCHE POSAY;23 cours Pasteur, 86270 LA ROCHE POSAY;86270;;;Crédit Agricole - Touraine Poitou
Agence bancaire LA TRIMOUILLE;20 rue Octave Bernard, 86290 LA TRIMOUILLE;86290;;;Crédit Agricole - Touraine Poitou
Agence bancaire LA VILLE AUX DAMES;Centre commercial Leclerc Rue Marie de Lorraine, 37700 LA VILLE AUX DAMES;37700;;;Crédit Agricole - Touraine Poitou
Agence bancaire LA VILLEDIEU DU CLAIN;30 Avenue des Bosquets, 86340 LA VILLEDIEU DU CLAIN;86340;;;Crédit Agricole - Touraine Poitou
Agence bancaire LANGEAIS;16 place du 14 Juillet, 37130 LANGEAIS;37130;;;Crédit Agricole - Touraine Poitou
Agence bancaire LATHUS SAINT REMY;3 Route de Montmorillon, 86390 Lathus-Saint-Rémy;86390;;;Crédit Agricole - Touraine Poitou
Agence bancaire LATILLE;23 place Robert Gerbier, 86190 LATILLE;86190;;;Crédit Agricole - Touraine Poitou
