nom,adresse,code_postal,latitude,longitude,region_source
ARLYSERE UGINE,"75, Pl du Val d'Arly, nan, UGINE",73400,,,nan
BELLEDONNE DOMENE,"6, pl Matussière, nan, DOMENE",38420,,,nan
MONTELIMAR SUD,"140, Avenue Jean Jaurès, nan, MONTELIMAR",26200,,,nan
MANOSQUE SUD,"Axe Sud ZI Saint Joseph, nan, MANOSQUE",04100,,,nan
SUD BELLEDONNE EYBENS,"142, Avenue Jean Jaurès, nan, EYBENS",38320,,,nan
MONTFLEURY MEYLAN,"1, Allée des Centaurées, nan, MEYLAN",38240,,,nan
AURILLAC SUD ARPAJON,"9, Place de l'Eglise, nan, ARPAJON SUR CERE",15130,,,nan
VIENNE ESTRABLIN,"Rue du Centre, nan, ESTRABLIN",38780,,,nan
LES AQUEDUCS CHAPONOST,"53, Avenue Paul Doumer, nan, CHAPONOST",69630,,,nan
MONTS D'OR ST CYR,"6, pl Charles de Gaulle, nan, ST CYR AU MONT D'OR",69450,,,nan
ST ETIENNE SUD BIZILLON,"9, rue des Docteurs Charcot, nan, ST ETIENNE",42100,,,nan
FOREZ MONTROND LES BAINS,"4, Avenue des Sources, nan, MONTROND LES BAINS",42210,,,nan
TOURS THIERS,"117, Avenue de Grammont, nan, TOURS",37000,,,nan
VALENCE D'AGEN,"Pl Nationale, nan, VALENCE D'AGEN",82400,,,nan
BAGNOLET BEL EST,"28, Avenue du Général de Gaulle, Ctre Cial, BAGNOLET",93170,,,nan
CAYENNE,"5, Avenue du Général de Gaulle, Ctre Cial Eldorado, CAYENNE",97300,,,nan
COLLEGIEN BAY 2,"36, mail Est, Ctre Cial, COLLEGIEN",77090,,,nan
STE SUZANNE DE LA REUNION,"Rues Albany, Cayenne et Mendès France, Les Badamiers, STE SUZANNE",97441,,,nan
COLOMBES,"130, bd Charles de Gaulle, Ctre Cial Leclerc, COLOMBES",92700,,,nan
SAVIGNY-LE-TEMPLE,"15, rue de l'Orée du Bois, Ctre Cial Boissénart, SAVIGNY-LE-TEMPLE",77176,,,nan
RUNGIS MIN,"84, rue de la Tour, MIN 84, RUNGIS",94150,,,nan
LE PLESSIS ROBINSON,"3, passage de l'Escargot d'Or, ZAC du Coeur de Ville - Ilot H, LE PLESSIS ROBINSON",92350,,,nan
GONESSE,"1, Avenue Georges Pompidou, Ctre Cial La Grande Vallée, GONESSE",95500,,,nan
MONTHOLON AILLANT SUR THOLON,"31, rue Grande Saint Antoine, Aillant sur Tholon, MONTHOLON",89110,,,nan
DIJON AGENCE DE VALMY,"3E, rue Jeanne Barret, ZAC Parc Valmy, DIJON",21000,,,nan
BORDEAUX PEY BERLAND,"2, rue Dufour Dubergier, Place Pey Berland, BORDEAUX",33000,,,nan
VENDIN LE VIEIL LENS 2,"2, rte de la Bassée, Ctre Cial Cora, VENDIN LE VIEIL",62880,,,nan
COQUELLES,"20, bd du Parc, 1er étage, COQUELLES",62231,,,nan
LE MANS LES MAILLETS,"138-140, rue des Maillets, Résidence Richelieu, LE MANS",72000,,,nan
CAGNES SUR MER,"24-26, rue du Brigadier Claverie, Le Tamango, CAGNES SUR MER",06800,,,nan
NICE NAPOLEON III,"170, bd Napoléon III, Résidence Stanesco, NICE",06200,,,nan
MONTEUX,"9, Avenue de la Libération, Immeuble le Saphir, MONTEUX",84170,,,nan
TARASCON,"3bis, rue des Charpentiers, ZAC le Roubian, TARASCON",13150,,,nan
ST CYPRIEN PLAGE,"27, bd Desnoyer, Résidence Les Portes du Soleil, ST CYPRIEN PLAGE",66750,,,nan
CARCASSONNE PONT ROUGE,"13, rue de Magellan, ZI Pont Rouge, CARCASSONNE",11000,,,nan
BEZIERS VERDIER,"7, Avenue Pierre Verdier, Les Tuileries, BEZIERS",34500,,,nan
AGENCE ENTREPRISES CENTR'ALP,"196, rue du Rocher de Lorzier, Centr'Alp, MOIRANS",38430,,,nan
AGENCE ENTREPRISES MONTBONNOT,"445, rue Lavoisier, NOVESPARC, MONTBONNOT ST MARTIN",38330,,,nan
AGENCE ENTREPRISES LYON OUEST,"5, rue Gorge de Loup - CS 2035, Immeuble Le Carré de St Pierre, LYON CEDEX 9",69337,,,nan
PINSAGUEL,"94, rte d'Andorre, Résidence Le Confluent - Bât B, PINSAGUEL",31120,,,nan
ECQUEVILLY,"45, rue de la République, ZAC Centre Village, ECQUEVILLY",78920,,,nan
CHAMBRAY LES TOURS,"3/5, rue Thomas Edison, ZAC de la Vrillonnerie, CHAMBRAY LES TOURS",37170,,,nan
POITIERS LAFAYETTE,"2, Avenue Lafayette, Ctre Cial Géant Casino, POITIERS",86000,,,nan
PARIS BD MONTMARTRE,"15, bd Montmartre, nan, PARIS 02",75002,,,nan
PARIS REPUBLIQUE,"41 bis, boulevard Voltaire, nan, PARIS 11",75011,,,nan
PARIS MENILMONTANT,"72, Avenue de la République, nan, PARIS 11",75011,,,nan
PARIS ST LAZARE,"1, rue du Havre, nan, PARIS 08",75008,,,nan
PARIS CHAMPERRET,"15, Avenue Stéphane Mallarmé, nan, PARIS 17",75017,,,nan
PARIS LEDRU ROLLIN,"111, Avenue Ledru Rollin, nan, PARIS 11",75011,,,nan
PARIS DAUMESNIL,"250, Avenue Daumesnil, nan, PARIS 12",75012,,,nan
PARIS QUAI DE LA RAPEE,"18, quai de la Rapée, nan, PARIS 12",75012,,,nan
PARIS VOLTAIRE LEON FROT,"204, bd Voltaire, nan, PARIS 11",75011,,,nan
PARIS CHARENTON,"239/241, rue de Charenton, nan, PARIS 12",75012,,,nan
PARIS KLEBER,"82, Avenue Kléber, nan, PARIS 16",75016,,,nan
