nom,adresse,code_postal,latitude,longitude,region_source
CORSE,"CENTRE COMMERCIAL CORSAIRE, RN 193, BORGO",20290,,,PROVENCE ALPES CORSE REUNION
AIX,"140 AVENUE DU 12 JUILLET 1998, CARRE DE L'ENFANT, AIX EN PROVENCE",13290,,,PROVENCE ALPES CORSE REUNION
VAUCLUSE,"2 CHEMIN DES MEINAJARIES, AGRO PARC 45 IMMEUBLE LA BOETIE, AVIGNON",84140,43.908841,4.89097,PROVENCE ALPES CORSE REUNION
MARSEILLE LES CALANQUES,"2 BLD EUROMEDITERRANEE, QUAI D'ARENC, MARSEILLE",13002,43.30497,5.367306,PROVENCE ALPES CORSE REUNION
MARSEILLE COTE BLEUE,"2 BLD EUROMEDITERRANEE, QUAI D'ARENC, MARSEILLE",13002,43.30497,5.367306,PROVENCE ALPES CORSE REUNION
HOTEL DE VILLE,"ANGLE RUE DU COMMERCE ET MAHABOU, nan, MAMOUDZOU",97600,,,PROVENCE ALPES CORSE REUNION
CASTELLANE,"4 RUE LOUIS MAUREL, nan, MARSEILLE",13006,43.285681,5.382748,PROVENCE ALPES CORSE REUNION
CHAVE,"189 BOULEVARD CHAVE, nan, MARSEILLE",13005,43.295757,5.397496,PROVENCE ALPES CORSE REUNION
ARLES CAMARGUE,"8. RUE DES BOURDIGUES, ZONE AURELIENNE FOURCHON, ARLES",13200,43.664444,4.639024,PROVENCE ALPES CORSE REUNION
MARIGNANE,"3 AVENUE JEAN JAURES, nan, MARIGNANE",13700,43.417971,5.21714,PROVENCE ALPES CORSE REUNION
DIGNE,"18 BOULEVARD VICTOR HUGO, nan, DIGNE LES BAINS",04000,44.094581,6.235999,PROVENCE ALPES CORSE REUNION
ISLE SUR LA SORGUE,"1 ESPLANADE ROBERT VASSE, nan, L ISLE SUR SORGUE",84800,43.918346,5.053096,PROVENCE ALPES CORSE REUNION
SORGUES,"153 CH. DE LA GRANGE DES ROUES, nan, SORGUES",84700,44.017218,4.870413,PROVENCE ALPES CORSE REUNION
CARPENTRAS PORTE DU COMTAT,"1220 AV JOHN FITZGERALD KENNEDY, ZONE COMMERCIALE LES CROISIERES, CARPENTRAS",84200,44.040409,5.033011,PROVENCE ALPES CORSE REUNION
QUATRE SEPTEMBRE,"11 PLACE DU 4 SEPTEMBRE, nan, MARSEILLE",13007,43.288382,5.358686,PROVENCE ALPES CORSE REUNION
LA POINTE ROUGE,"41 AVENUE DE MONTREDON, nan, MARSEILLE",13008,43.237095,5.36344,PROVENCE ALPES CORSE REUNION
ALLAUCH,"4 RUE FREDERIC CHEVILLON, nan, ALLAUCH",13190,43.336453,5.481323,PROVENCE ALPES CORSE REUNION
L'ESTAQUE,"24 PLACE DE L'ESTAQUE, nan, MARSEILLE",13016,43.359972,5.315868,PROVENCE ALPES CORSE REUNION
SAINTE MARGUERITE,"RUE AUGUSTIN AUBERT, IMMEUBLE LE MAGRITTE, MARSEILLE",13009,43.266383,5.40313,PROVENCE ALPES CORSE REUNION
NOUVELLE VALENTINE,"12 MONTEE DE LA FORBINE, nan, MARSEILLE",13011,43.2911,5.478351,PROVENCE ALPES CORSE REUNION
LA MONTAGNE,"LA POTERNE, 58 TER. ROUTE DES PALMIERS, SAINT DENIS",97417,-20.88525,55.429744,PROVENCE ALPES CORSE REUNION
LA SALINE,"189 BIS RUE JEAN ALBANY, nan, LA SALINE",97422,-21.076443,55.269264,PROVENCE ALPES CORSE REUNION
AURIOL,"8 QUAI DE L'HUVEAUNE, nan, AURIOL",13390,43.369748,5.633571,PROVENCE ALPES CORSE REUNION
LA PENNE SUR HUVEAUNE,"156 BOULEVARD VOLTAIRE BP 7, nan, LA PENNE / HUVEAUNE",13821,43.281302,5.516923,PROVENCE ALPES CORSE REUNION
FUVEAU EUROPE,"CENTRE COMMERCIAL EUROPE, 395 RD96 LE JAS DE BASSAS, FUVEAU",13710,,,PROVENCE ALPES CORSE REUNION
BOUC BEL AIR,"PLACE DE L HOTEL DE VILLE, nan, BOUC BEL AIR",13320,43.451594,5.413537,PROVENCE ALPES CORSE REUNION
PORT SAINT LOUIS DU RHONE,"13 AVENUE DE LA REPUBLIQUE, nan, PORT SAINT LOUIS DU RHONE",13230,43.389191,4.807806,PROVENCE ALPES CORSE REUNION
TARASCON,"15 COURS A BRIAND, nan, TARASCON",13150,43.803126,4.657455,PROVENCE ALPES CORSE REUNION
DURANCE ALPILLES,"CHEMIN DU CLOS DE VERQUIERES, nan, SAINT ANDIOL",13670,43.838009,4.938586,PROVENCE ALPES CORSE REUNION
PELISSANNE,"QUAI ROQUASSIER, ROUTE DE PELISSANNE, SALON DE PROVENCE",13300,43.623775,5.091969,PROVENCE ALPES CORSE REUNION
EYGUIERES,"10 RUE DU COUVENT, nan, EYGUIERES",13430,43.694899,5.03233,PROVENCE ALPES CORSE REUNION
MARTIGUES JONQUIERES,"22 COURS DU 4 SEPTEMBRE, nan, MARTIGUES",13500,43.402631,5.055092,PROVENCE ALPES CORSE REUNION
PORT DE BOUC,"46 PLACE DU DOCTEUR IGONET, nan, PORT DE BOUC",13110,43.405859,4.984112,PROVENCE ALPES CORSE REUNION
MIRAMAS,"RUE CARNOT BP 20, ANGLE BD REPUBLIQUE, MIRAMAS",13140,43.582373,5.002881,PROVENCE ALPES CORSE REUNION
BERRE L'ETANG,"18 AVENUE LA LIBERATION, BP 5, BERRE L ETANG",13130,43.477203,5.168005,PROVENCE ALPES CORSE REUNION
LA FARE LES OLIVIERS,"31 AVENUE PASTEUR, nan, LA FARE LES OLIVIERS",13580,43.550564,5.195665,PROVENCE ALPES CORSE REUNION
LES PENNES MIRABEAU,"1331 ROUTE DEPARTEMENTALE 113, nan, PENNES MIRABEAU",13170,43.410867,5.310285,PROVENCE ALPES CORSE REUNION
COTE BLEUE,"13 AVENUE DRAIO DE LA MAR, nan, CARRY LE ROUET",13620,43.328405,5.147518,PROVENCE ALPES CORSE REUNION
LES COLLINES DE LA NERTHE,"ESPACE LES VIGNEROLLES, AV FRANCOIS MITTERRAND, GIGNAC LA NERTHE",13180,43.397855,5.250466,PROVENCE ALPES CORSE REUNION
LE CHAUDRON,"AV. JOSEPH BEDIER, IMMEUBLE GALAXIE, SAINTE CLOTILDE",97490,-20.895553,55.486517,PROVENCE ALPES CORSE REUNION
PORTO VECCHIO,"QUARTIER DES QUATRE CHEMINS, nan, PORTO VECCHIO",20137,41.596913,9.275517,PROVENCE ALPES CORSE REUNION
CASTELLANE VERDON,"3 PLACE MARCEL SAUVAIRE, nan, CASTELLANE",04120,43.846608,6.512865,PROVENCE ALPES CORSE REUNION
VALENSOLE,"LE PRE DE FOIRE, nan, VALENSOLE",04210,43.838703,5.988426,PROVENCE ALPES CORSE REUNION
GREOUX LES BAINS,"AVENUE DES THERMES, RESIDENCE LES CEDRES, GREOUX LES BAINS",04800,43.757935,5.892445,PROVENCE ALPES CORSE REUNION
GAP DURANCE,"72 AVENUE JEAN JAURES, nan, GAP",05000,44.548375,6.06644,PROVENCE ALPES CORSE REUNION
CHORGES,"35 GRANDE RUE, nan, CHORGES",05230,44.545637,6.276151,PROVENCE ALPES CORSE REUNION
L'ARGENTIERE LA BESSEE,"7 AVENUE CHARLES DE GAULLE, nan, L ARGENTIERE LA BESSEE",05120,44.794036,6.559342,PROVENCE ALPES CORSE REUNION
LE THOR,"COURS GAMBETTA, nan, LE THOR",84250,43.927685,4.99299,PROVENCE ALPES CORSE REUNION
CADENET,"179 ROUTE CEUX DE DIEN BIEN PHU, ZA LES MEILLERES, CADENET",84160,43.72872,5.370891,PROVENCE ALPES CORSE REUNION
LA PROVIDENCE,"34 BOULEVARD DE LA PROVIDENCE, nan, SAINT DENIS",97400,-20.895719,55.457561,PROVENCE ALPES CORSE REUNION
RIVIERE DES PLUIES,"117, RUE ROGER PAYET, nan, SAINTE MARIE",97438,-20.915075,55.510226,PROVENCE ALPES CORSE REUNION
SAINT ANDRE ANDROPOLIS,"100 CHEMIN LEFAGUYES, nan, SAINT ANDRE",97440,-20.963039,55.659506,PROVENCE ALPES CORSE REUNION
LA TIMONE,"22 BOULEVARD JEAN MOULIN, nan, MARSEILLE",13005,43.289986,5.40042,PROVENCE ALPES CORSE REUNION
TROIS MARES,"60 RUE CHARLES BAUDELAIRE, TROIS MARES, LE TAMPON",97430,-21.259257,55.502934,PROVENCE ALPES CORSE REUNION
SAINT LOUIS,"145 AVENUE DR RAYMOND VERGES, nan, SAINT LOUIS",97450,-21.288207,55.410571,PROVENCE ALPES CORSE REUNION
BORGO,"LIEU DIT MORMORANA, nan, BORGO",20290,42.549468,9.43713,PROVENCE ALPES CORSE REUNION
SAINTE CLOTILDE,"3D AVENUE LECONTE DE LISLE, nan, SAINTE CLOTILDE",97490,-20.891126,55.4807,PROVENCE ALPES CORSE REUNION
AIX PASTEUR,"21 BLD JEAN JAURES, nan, AIX-EN-PROVENCE",13100,43.532611,5.44601,PROVENCE ALPES CORSE REUNION
BEAUSEJOUR,"170 AVENUE DU BEAU PAYS, nan, SAINTE-MARIE",97438,-20.921254,55.528891,PROVENCE ALPES CORSE REUNION
CENTRE D'AFFAIRES SPM,"24, RUE DU 11 NOVEMBRE, nan, SAINT-PIERRE ET MIQUELON",97500,46.777024,-56.176643,PROVENCE ALPES CORSE REUNION
BASTIA TOGA,"CENTRE COMMERCIAL PORT TOGA, nan, BASTIA",20200,42.709789,9.449609,PROVENCE ALPES CORSE REUNION
VIEUX PORT CANEBIERE,"26 LA CANEBIERE, nan, MARSEILLE",13001,43.295917,5.376797,PROVENCE ALPES CORSE REUNION
COLIN,"IMMEUBLE BIENVENUE, ZAC DE COLIN, PETIT-BOURG",97170,,,PROVENCE ALPES CORSE REUNION
BORELY,"PLACE BONNEFON, nan, MARSEILLE",13008,43.254224,5.381895,PROVENCE ALPES CORSE REUNION
LE MOULE BAIE SIDE,"CENTRE COMMERCIAL BAIE SIDE, LA BAIE, LE MOULE",97160,,,PROVENCE ALPES CORSE REUNION
MARIGOT,"RUE DE LA REPUBLIQUE, nan, SAINT MARTIN",97150,,,PROVENCE ALPES CORSE REUNION
LA CIOTAT MARINA,"3 AVENUE EMILE SELLON, nan, LA CIOTAT",13600,43.191733,5.616158,PROVENCE ALPES CORSE REUNION
CANTON VERT,"AVENUE DU CANTON VERT, ESPACE MELVILLE, ALLAUCH",13190,43.341542,5.471914,PROVENCE ALPES CORSE REUNION
ESPACE PERSONNES PROTEGEES,"202 AVENUE DES CHARTREUX, nan, MARSEILLE",13004,43.311406,5.401271,PROVENCE ALPES CORSE REUNION
DUCOS,"CENTRE CIAL DE L'HEXAGONE, nan, DUCOS",97224,,,PROVENCE ALPES CORSE REUNION
CALEBASSIER,"ZAC DE CALEBASSIER, 7-8 VOIE BERTHELOT, BASSE-TERRE",97100,16.002682,-61.738064,PROVENCE ALPES CORSE REUNION
GRAND CAMP,"20 LOTISSEMENT PLAZZA LA ROCADE, GRAND CAMP LA ROCADE, ABYMES",97142,,,PROVENCE ALPES CORSE REUNION
CHANZY,"20 LOTISSEMENT PLAZZA, GRAND-CAMP LA ROCADE, LES ABYMES",97142,,,PROVENCE ALPES CORSE REUNION
CAPESTERRE BELLE EAU,"22 RUE AMEDEE FENGAROL, nan, CAPESTERRE BELLE EAU",97130,16.045957,-61.561717,PROVENCE ALPES CORSE REUNION
LA GALLERIA,"CENTRE COMMERCIAL LA GALLERIA, ACAJOU, LE LAMENTIN",97232,14.619393,-61.020694,PROVENCE ALPES CORSE REUNION
LE LAMENTIN,"ANGLE R. ABATTOIR/R.DU GUE TAFIA, nan, LE LAMENTIN",97232,14.616616,-61.002373,PROVENCE ALPES CORSE REUNION
