nom,adresse,code_postal,latitude,longitude,region_source
CORSE,"CENTRE COMMERCIAL CORSAIRE, RN 193, BORGO",20290,42.5541524,9.4277361,Caisse d'Épargne
AIX,"140 AVENUE DU 12 JUILLET 1998, CARRE DE L'ENFANT, AIX EN PROVENCE",13290,43.5298424,5.4474738,Caisse d'Épargne
VAUCLUSE,"2 CHEMIN DES MEINAJARIES, AGRO PARC 45 IMMEUBLE LA BOETIE, AVIGNON",84140,43.908841,4.89097,Caisse d'Épargne
MARSEILLE LES CALANQUES,"2 BLD EUROMEDITERRANEE, QUAI D'ARENC, MARSEILLE",13002,43.30497,5.367306,Caisse d'Épargne
MARSEILLE COTE BLEUE,"2 BLD EUROMEDITERRANEE, QUAI D'ARENC, MARSEILLE",13002,43.30497,5.367306,Caisse d'Épargne
HOTEL DE VILLE,"ANGLE RUE DU COMMERCE ET MAHABOU, nan, MAMOUDZOU",97600,-12.7804136,45.2279761,Caisse d'Épargne
CASTELLANE,"4 RUE LOUIS MAUREL, nan, MARSEILLE",13006,43.285681,5.382748,Caisse d'Épargne
CHAVE,"189 BOULEVARD CHAVE, nan, MARSEILLE",13005,43.295757,5.397496,Caisse d'Épargne
ARLES CAMARGUE,"8. RUE DES BOURDIGUES, ZONE AURELIENNE FOURCHON, ARLES",13200,43.664444,4.639024,Caisse d'Épargne
MARIGNANE,"3 AVENUE JEAN JAURES, nan, MARIGNANE",13700,43.417971,5.21714,Caisse d'Épargne
DIGNE,"18 BOULEVARD VICTOR HUGO, nan, DIGNE LES BAINS",4000,44.094581,6.235999,Caisse d'Épargne
ISLE SUR LA SORGUE,"1 ESPLANADE ROBERT VASSE, nan, L ISLE SUR SORGUE",84800,43.918346,5.053096,Caisse d'Épargne
SORGUES,"153 CH. DE LA GRANGE DES ROUES, nan, SORGUES",84700,44.017218,4.870413,Caisse d'Épargne
CARPENTRAS PORTE DU COMTAT,"1220 AV JOHN FITZGERALD KENNEDY, ZONE COMMERCIALE LES CROISIERES, CARPENTRAS",84200,44.040409,5.033011,Caisse d'Épargne
QUATRE SEPTEMBRE,"11 PLACE DU 4 SEPTEMBRE, nan, MARSEILLE",13007,43.288382,5.358686,Caisse d'Épargne
LA POINTE ROUGE,"41 AVENUE DE MONTREDON, nan, MARSEILLE",13008,43.237095,5.36344,Caisse d'Épargne
ALLAUCH,"4 RUE FREDERIC CHEVILLON, nan, ALLAUCH",13190,43.336453,5.481323,Caisse d'Épargne
L'ESTAQUE,"24 PLACE DE L'ESTAQUE, nan, MARSEILLE",13016,43.359972,5.315868,Caisse d'Épargne
SAINTE MARGUERITE,"RUE AUGUSTIN AUBERT, IMMEUBLE LE MAGRITTE, MARSEILLE",13009,43.266383,5.40313,Caisse d'Épargne
NOUVELLE VALENTINE,"12 MONTEE DE LA FORBINE, nan, MARSEILLE",13011,43.2911,5.478351,Caisse d'Épargne
LA MONTAGNE,"LA POTERNE, 58 TER. ROUTE DES PALMIERS, SAINT DENIS",97417,-20.88525,55.429744,Caisse d'Épargne
LA SALINE,"189 BIS RUE JEAN ALBANY, nan, LA SALINE",97422,-21.076443,55.269264,Caisse d'Épargne
AURIOL,"8 QUAI DE L'HUVEAUNE, nan, AURIOL",13390,43.369748,5.633571,Caisse d'Épargne
