nom,adresse,code_postal,latitude,longitude
Cash Services - Loudeac 16 AVENUE DES COMBATTANTS,"16 AVENUE DES COMBATTANTS, 22600  Loudeac",22600,48.177393,-2.75394
AGENCE LOUDEAC - BNP PARIBAS,"24 avenue Des Combattants, 22600  Loudeac",22600,48.1779444,-2.7539042
AGENCE PONTIVY - BNP PARIBAS,"27 rue De Lourmel, 56300  Pontivy",56300,48.0682831,-2.9636504
AGENCE SAINT BRIEUC - BNP PARIBAS,"11 Place Duguesclin, 22000  Saint-Brieuc",22000,48.5118354,-2.7581937
AGENCE PLOERMEL - BNP PARIBAS,"2 Rue Du Val, Angle Place Lamenais, 56800  Ploermel",56800,47.9327547,-2.3995332
Cash Services - Ploermel 2 RUE DES FORGES,"2 RUE DES FORGES, 56800  Ploermel",56800,47.931507,-2.396971
AGENCE LAMBALLE - BNP PARIBAS,"7 rue De La Croix Aux Feves, 22400  Lamballe",22400,48.46888022555,-2.5168393987192
AGENCE PLERIN - BNP PARIBAS,"19 rue Du Commerce, 22190  Plerin",22190,48.535336099995,-2.7695929953048
Cash Services - Plerin 2 RUE DU GRAND QUARTIER,"2 RUE DU GRAND QUARTIER, 22190  Plerin",22190,48.534558,-2.760267
AGENCE SAINT-MEEN LE GRAND - BNP PARIBAS,"6 rue De Merdrignac, 35290  St Meen Le Grand",35290,48.1899236,-2.1932523
Cash Services - Hennebont 1 RUE ANITA CONTI,"1 RUE ANITA CONTI, 56700  Hennebont",56700,47.800788,-3.261781
Cash Services - Hennebont 10 PLACE MARECHAL FOCH,"10 PLACE MARECHAL FOCH, 56700  Hennebont",56700,47.805324,-3.276582
AGENCE GUINGAMP - BNP PARIBAS,"44 rue Notre Dame, 22200  Guingamp",22200,48.560816667877,-3.14942314124
AGENCE SAINT AVE - BNP PARIBAS,"12 rue Du Guesclin, 56890  Saint Ave",56890,47.689131088593,-2.7357034907726
AGENCE AURAY - BNP PARIBAS,"3 bis rue Aristide Briand, 56400  Auray",56400,47.670071246018,-2.9901823470721
Cash Services - Vannes 110 AVENUE DE LA MARNE,"110 AVENUE DE LA MARNE, 56000  Vannes",56000,47.660686,-2.787779
AGENCE CARHAIX - BNP PARIBAS,"2 rue Aristide Briand, 29270  Carhaix Plouguer",29270,48.276417083926,-3.5712975263893
AGENCE VANNES - BNP PARIBAS,"9 place De La Republique, 56000  Vannes",56000,47.655594201191,-2.7598464482592
Cash Services - Auray 43 AVENUE DE L OCEAN,"43 AVENUE DE L OCEAN, 56400  Auray",56400,47.663963,-3.005206
Cash Services - Sene 15 ROUTE DE NANTES,"15 ROUTE DE NANTES, 56860  Sene",56860,47.654074,-2.736508
AGENCE VANNES SENE - BNP PARIBAS,"route De Nantes, Batiment C, 56860  Sene",56860,47.651251000101,-2.7256188247452
Cash Services - Lanester 160 RUE JEAN JAURES,"160 RUE JEAN JAURES, 56600  Lanester",56600,47.76898,-3.351535
