nom,adresse,code_postal,latitude,longitude
AGENCE MAZAMET - BNP PARIBAS,"7 cours Rene Reille, 81200  Mazamet",81200,43.489776945639,2.3754350416713
AGENCE CASTRES - BNP PARIBAS,"4 place Jean Jaures, 81100  Castres",81100,43.605643552948,2.2422004610175
AGENCE REVEL - BNP PARIBAS,"13 rue De Vaure, 31250  Revel",31250,43.459200284548,2.0037911951065
AGENCE CARCASSONNE PLANETO - BNP PARIBAS,"zone commerciale Planete Nord Ferraudiere, 11000  Carcassonne",11000,43.200824938683,2.313492632402
AGENCE GRAULHET - BNP PARIBAS,"8 avenue Du Marechal Juin, 81300  Graulhet",81300,43.760342459308,1.9688065881436
AGENCE CASTELNAUDARY - BNP PARIBAS,"2 rue Jean Baptiste De Maille, 11400  Castelnaudary",11400,43.318160314534,1.9523399380225
AGENCE ALBI - BNP PARIBAS,"3-5 Lices Jean Moulin, 81000  Albi",81000,43.926188041159,2.148615135582
AGENCE LEZIGNAN CORBIERES - BNP PARIBAS,"3 Avenue Du President Wilson, 11200  Lezignan-Corbieres",11200,43.2010452,2.7600083
AGENCE LAVAUR - BNP PARIBAS,"44 Grand'Rue, 81500  Lavaur",81500,43.698889601575,1.8156820739052
Cash Services - Albi 114 AVENUE CHARLES DE GAULLE,"114 AVENUE CHARLES DE GAULLE, 81000  Albi",81000,43.908408,1.916478
AGENCE GAILLAC - BNP PARIBAS,"4 avenue Jean Calvet, 81600  Gaillac",81600,43.899601797048,1.8991179229727
Cash Services - Limoux 22 RUE JEAN JAURES,"22 RUE JEAN JAURES, 11300  Limoux",11300,43.054884,2.216909
AGENCE LIMOUX - BNP PARIBAS,"2 place Du General Leclerc, 11300  Limoux",11300,43.053692014674,2.2165075879051
AGENCE VILLEFRANCHE DE LAURAGAIS - BNP PARIBAS,"159 Rue De La Republique, 31290  Villefranche-De-Lauragais",31290,43.4000379,1.7152429
AGENCE NARBONNE - BNP PARIBAS,"50 rue Jean Jaures, 11100  Narbonne",11100,43.18478,3.0016118
Cash Services - Lignan Sur Orb CH DEPARTEMENTAL 19,"CH DEPARTEMENTAL 19, 34490  Lignan Sur Orb",34490,43.383178,3.171889
Cash Services - Narbonne 36 AVENUE ANDRE MECLE,"36 AVENUE ANDRE MECLE, 11100  Narbonne",11100,43.177684,3.022877
AGENCE BEZIERS - BNP PARIBAS,"34 allée Paul Riquet, 34500  Beziers",34500,43.342554598341,3.2166048321077
AGENCE LABEGE - BNP PARIBAS,"route De Baziege, Centre Commercial De L Autan, 31670  Labege",31670,43.5307955,1.5346766
AGENCE SAINT ORENS DE GAMEVILLE - BNP PARIBAS,"30 avenue De Gameville, 31650  St Orens De Gameville",31650,43.5535154,1.5327597
AGENCE QUINT FONSEGRIVES - BNP PARIBAS,"16 route De Castres, 31130  Quint Fonsegrives",31130,43.585570101769,1.5263912187602
Cash Services - Beziers 2 RUE VALENTIN HAUY,"2 RUE VALENTIN HAUY, 34500  Beziers",34500,43.339718,3.254355
AGENCE CASTANET TOLOSAN - BNP PARIBAS,"27 avenue De Toulouse, 31320  Castanet-Tolosan",31320,43.5167901,1.4982406
AGENCE SAINT JEAN - BNP PARIBAS,"place Francois Mitterrand, 31240  Saint Jean",31240,43.66523010959,1.505840725795
AGENCE BALMA - BNP PARIBAS,"1 avenue De Toulouse, Residence Les Caraibes, 31130  Balma",31130,43.609838333809,1.4956815911949
AGENCE TOULOUSE PLACE L ORMEAU - BNP PARIBAS,"2 place De L Ormeau, 31000  Toulouse",31000,43.579412629122,1.4831553040037
AGENCE L UNION - BNP PARIBAS,"Lotissement Saint Caprais, Centre Commercial, 31240  L Union",31240,43.655310261397,1.4785005055226
AGENCE RAMONVILLE RANGUEIL - BNP PARIBAS,"214 route De Narbonne, 31400  Toulouse",31400,43.553682743848,1.4683688704763
Cash Services - Toulouse 13 RUE DU GENERAL BARES,"13 RUE DU GENERAL BARES, 31400  Toulouse",31400,43.574878,1.462613
Cash Services - Toulouse 64 RUE BENJAMIN BAILLAUD,"64 RUE BENJAMIN BAILLAUD, 31500  Toulouse",31500,43.617704,1.46549
AGENCE TOULOUSE CAMILLE PUJOL - BNP PARIBAS,"62 avenue Camille Pujol, 31000  Toulouse",31000,43.600667808865,1.4628730030421
Cash Services - Toulouse 141 RUE DU FAUBOURG BONNEFOY,"141 RUE DU FAUBOURG BONNEFOY, 31500  Toulouse",31500,43.621691,1.458005
AGENCE TOULOUSE BONNEFOY - BNP PARIBAS,"55 rue Du Faubourg Bonnefoy, 31000  Toulouse",31000,43.618370126581,1.4555800627568
AGENCE TOULOUSE FRANCOIS VERDIER - BNP PARIBAS,"9 boulevard Lazare Carnot, 31000  Toulouse",31000,43.601016193691,1.451529688323
Cash Services - Toulouse 44 AVENUE DE L URSS,"44 AVENUE DE L URSS, 31400  Toulouse",31400,43.581541,1.449302
AGENCE TOULOUSE SAINT AGNE - BNP PARIBAS,"49 avenue De L Urss, 31000  Toulouse",31000,43.581244647068,1.4489346834671
AGENCE TOULOUSE JEAN JAURES - BNP PARIBAS,"4-6 boulevard De Strasbourg, 31000  Toulouse",31000,43.6064701,1.4484342
AGENCE TOULOUSE INTERNATIONAL - BNP PARIBAS,"4-6 Boulevard De Strasbourg, 31000  Toulouse",31000,43.606365222653,1.4484234711639
AGENCE SERIGNAN - BNP PARIBAS,"route De Valras, 34410  Serignan",34410,43.269140700965,3.2819919058045
AGENCE TOULOUSE ESQUIROL - BNP PARIBAS,"22 rue De Metz, 31000  Toulouse",31000,43.60008094434,1.4429632048304
Cash Services - Toulouse 9 PLACE SAINT PIERRE,"9 PLACE SAINT PIERRE, 31000  Toulouse",31000,43.603921,1.435855
Cash Services - Toulouse 310 AVENUE DE MURET,"310 AVENUE DE MURET, 31300  Toulouse",31300,43.592175,1.434292
AGENCE TOULOUSE COMPANS CAFFARELLI - BNP PARIBAS,"35 boulevard Lascrosses, 31000  Toulouse",31000,43.609620953743,1.4332545116395
Cash Services - Auterive 30 RUE JEAN JAURES,"30 RUE JEAN JAURES, 31190  Auterive",31190,43.350219,1.472432
AGENCE TOULOUSE SAINT CYPRIEN - BNP PARIBAS,"14 place Interieure Saint Cyprien, 31300  Toulouse",31300,43.598222513255,1.4313158679661
AGENCE TOULOUSE BARRIERE DE PARIS - BNP PARIBAS,"146 boulevard Pierre Et Marie Curie, 31200  Toulouse",31200,43.626928397644,1.4344595251312
AGENCE AUTERIVE - BNP PARIBAS,"22 route De Toulouse, 31190  Auterive",31190,43.353608842796,1.4692833376225
AGENCE TOULOUSE ARENES - BNP PARIBAS,"35 avenue De Lombez, 31300  Toulouse",31300,43.595548008761,1.4190380246418
AGENCE SAINT ALBAN - BNP PARIBAS,"2 avenue De Fronton, 31140  St Alban",31140,43.6790907,1.4229849
Cash Services - Portet Sur Garonne 11 PLACE DE LA REPUBLIQUE,"11 PLACE DE LA REPUBLIQUE, 31120  Portet Sur Garonne",31120,43.522827,1.407693
AGENCE PAMIERS - BNP PARIBAS,"2 route De Foix, 09100  Pamiers",09100,43.104803762987,1.6196608391692
Cash Services - Portet Sur Garonne 1 AVENUE DE L ENCLOS,"1 AVENUE DE L ENCLOS, 31120  Portet Sur Garonne",31120,43.53364,1.398346
AGENCE MILLAU - BNP PARIBAS,"2 avenue Alfred Merle, 12100  Millau",12100,44.101121159414,3.0772935035384
AGENCE BLAGNAC - BNP PARIBAS,"1 place Jean Louis Puig, 31700  Blagnac",31700,43.634411430298,1.3972879822784
Cash Services - Bruguieres 31 AVENUE DE TOULOUSE,"31 AVENUE DE TOULOUSE, 31150  Bruguieres",31150,43.725291,1.411279
AGENCE CLERMONT L'HERAULT - BNP PARIBAS,"Le Clos De La Madeleine, Zac La Madeleine, 34800  Clermont L Herault",34800,43.623446734037,3.4371982797622
Cash Services - Blagnac 1 AVENUE GEORGES BRASSENS,"1 AVENUE GEORGES BRASSENS, 31700  Blagnac",31700,43.646854,1.368529
AGENCE TOURNEFEUILLE - BNP PARIBAS,"99 rue Gaston Doumergue, 31170  Tournefeuille",31170,43.584351302022,1.3469874113596
AGENCE CUGNAUX - BNP PARIBAS,"6 place De L Eglise, 31270  Cugnaux",31270,43.537201124529,1.3443446227539
AGENCE COLOMIERS - BNP PARIBAS,"11 place De La Bascule, 31770  Colomiers",31770,43.608031559044,1.3393268918276
Cash Services - Vias CAMPING LE MEDITERR,"CAMPING LE MEDITERR, 34450  Vias",34450,43.314086,3.418953
Cash Services - Colomiers PLACE D OCCITANIE,"PLACE D OCCITANIE, 31770  Colomiers",31770,43.611553,1.335029
AGENCE MURET - BNP PARIBAS,"4 place Mercadieu, 31600  Muret",31600,43.460754155402,1.3257607610815
AGENCE FRONTON - BNP PARIBAS,"7-9 rue De La Republique, 31620  Fronton",31620,43.840774391561,1.3886954485793
AGENCE MONDONVILLE-CORNEBARRIEU - BNP PARIBAS,"4 chemin De La Plane, Mandillet Cc Le Village Commercant, 31700  Cornebarrieu",31700,43.660545478726,1.3071051957008
Cash Services - Plaisance Du Touch 43 AVENUE DES PYRENEES,"43 AVENUE DES PYRENEES, 31830  Plaisance Du Touch",31830,43.56489,1.294231
AGENCE RODEZ - BNP PARIBAS,"2 avenue Jean Monnet, Le Vinci Ii Bat C, 12000  Rodez",12000,44.357132812307,2.5598864056002
AGENCE PIBRAC - BNP PARIBAS,"rue Principale, Centre Commercial Sainte Germaine, 31820  Pibrac",31820,43.617562982306,1.2806656744348
AGENCE AGDE - BNP PARIBAS,"17 boulevard Du Soleil, 34300  Agde",34300,43.30591004727,3.4817863463325
