nom,adresse,code_postal,latitude,longitude
Cash Services - Ancenis St Gereon 131 RUE DES GRANDS CHAMPS,"131 RUE DES GRANDS CHAMPS, ANCENIS, 44150  Ancenis St Gereon",44150,47.371919,-1.180908
AGENCE ANCENIS - BNP PARIBAS,"283 avenue Francis Robert, 44150  Ancenis",44150,47.371799790787,-1.1791312435165
Cash Services - Thouare Sur Loire 1 PLACE DE LA REPUBLIQUE,"1 PLACE DE LA REPUBLIQUE, 44470  Thouare Sur Loire",44470,47.266636,-1.440822
Cash Services - Mesanger 185 RUE DE LA VIEILLE COUR,"185 RUE DE LA VIEILLE COUR, 44522  Mesanger",44522,47.431918,-1.229759
Cash Services - Vallet 18 RUE FRANCOIS LUNEAU,"18 RUE FRANCOIS LUNEAU, 44330  Vallet",44330,47.162451,-1.266728
AGENCE CARQUEFOU CENTRE - BNP PARIBAS,"22 place Aristide Briand, 44470  Carquefou",44470,47.297503848076,-1.4950264873987
AGENCE SAINTE LUCE SUR LOIRE - BNP PARIBAS,"3 rue Louis Gaudin, 44980  Sainte Luce Sur Loire",44980,47.250035396354,-1.4874045754631
Cash Services - Basse Goulaine 2 RUE DE LA POSTE,"2 RUE DE LA POSTE, BP 3, 44115  Basse Goulaine",44115,47.216986,-1.464978
Cash Services - Nantes 461 ROUTE DE SAINT JOSEPH,"461 ROUTE DE SAINT JOSEPH, 44300  Nantes",44300,47.268648,-1.521051
AGENCE SAINT PIERRE MONTLIMART - BNP PARIBAS,"5 place Saint Pierre, 49110  Montrevault Sur Evre",49110,47.27066974969,-1.0261604944949
Cash Services - Nantes 17 ROUTE DE PARIS,"17 ROUTE DE PARIS, 44300  Nantes",44300,47.250363,-1.519626
Cash Services - La Haie Fouassiere 9 RUE DU BOIS GEFFRAY,"9 RUE DU BOIS GEFFRAY, 44690  La Haie Fouassiere",44690,47.154302,-1.398925
Cash Services - Vertou 1 ALLEE DES 5 CONTINENTS,"1 ALLEE DES 5 CONTINENTS, 44120  Vertou",44120,47.185617,-1.462931
AGENCE SAINT SEBASTIEN CENTRE - BNP PARIBAS,"10 Rue Maurice Daniel, 44230  St Sebastien Sur Loire",44230,47.2069181,-1.5050529
AGENCE LA CHAPELLE SUR ERDRE - BNP PARIBAS,"30 rue Olivier De Sesmaisons, 44240  La Chapelle Sur Erdre",44240,47.298966880659,-1.5510224971852
AGENCE NANTES ROND POINT DE PARIS - BNP PARIBAS,"33 rue Du Général Buat, 44000  Nantes",44000,47.231889127936,-1.5376281997793
AGENCE VERTOU - BNP PARIBAS,"7 place Saint Martin, 44120  Vertou",44120,47.16812770431,-1.4737617715111
AGENCE NORT SUR ERDRE - BNP PARIBAS,"16 Rue De L'erdre, 44390  Nort-Sur-Erdre",44390,47.4406506,-1.49764
Cash Services - Nort Sur Erdre 6 RUE DU GENERAL LECLERC,"6 RUE DU GENERAL LECLERC, 44390  Nort Sur Erdre",44390,47.439622,-1.499154
Cash Services - Nantes 26 MAIL PABLO PICASSO,"26 MAIL PABLO PICASSO, 44000  Nantes",44000,47.215023,-1.537382
Cash Services - Nantes 2 BOULEVARD HENRY ORRION,"2 BOULEVARD HENRY ORRION, 44000  Nantes",44000,47.233255,-1.556801
AGENCE NANTES DECRE - BNP PARIBAS,"19 rue De Strasbourg, 44000  Nantes",44000,47.21700857084,-1.5522366300968
Cash Services - Nantes 7 CHAUSSEE DE LA MADELEINE,"7 CHAUSSEE DE LA MADELEINE, 44000  Nantes",44000,47.211953,-1.552081
AGENCE NANTES 50 OTAGES HOTEL DE VILLE - BNP PARIBAS,"3 allée Jean Bart, 44000  Nantes",44000,47.214693785816,-1.5554972291998
AGENCE ORVAULT PONT DU CENS - BNP PARIBAS,"21 route De Rennes, 44700  Orvault",44700,47.248763486695,-1.5773572260246
