code_etablissement;libelle_caisse_de_rattachement;code_agence;nom_agence;particularite_agence;adresse1;adresse2;libelle_commune;code_postal;code_commune;code_departement;X_lambert_2;Y_lambert_2;ouverture_lundi_matin;ouverture_mardi_matin;ouverture_mercredi_matin;ouverture_jeudi_matin;ouverture_vendredi_matin;ouverture_samedi_matin;ouverture_dimanche_matin;ouverture2_lundi_matin;ouverture2_mardi_matin;ouverture2_mercredi_matin;ouverture2_jeudi_matin;ouverture2_vendredi_matin;ouverture2_samedi_matin;ouverture2_dimanche_matin;fermeture_lundi_matin;fermeture_mardi_matin;fermeture_mercredi_matin;fermeture_jeudi_matin;fermeture_vendredi_matin;fermeture_samedi_matin;fermeture_dimanche_matin;fermeture2_lundi_matin;fermeture2_mardi_matin;fermeture2_mercredi_matin;fermeture2_jeudi_matin;fermeture2_vendredi_matin;fermeture2_samedi_matin;fermeture2_dimanche_matin;ouverture_lundi_apres_midi;ouverture_mardi_apres_midi;ouverture_mercredi_apres_midi;ouverture_jeudi_apres_midi;ouverture_vendredi_apres_midi;ouverture_samedi_apres_midi;ouverture_dimanche_apres_midi;ouverture2_lundi_apres_midi;ouverture2_mardi_apres_midi;ouverture2_mercredi_apres_midi;ouverture2_jeudi_apres_midi;ouverture2_vendredi_apres_midi;ouverture2_samedi_apres_midi;ouverture2_dimanche_apres_midi;fermeture_lundi_apres_midi;fermeture_mardi_apres_midi;fermeture_mercredi_apres_midi;fermeture_jeudi_apres_midi;fermeture_vendredi_apres_midi;fermeture_samedi_apres_midi;fermeture_dimanche_apres_midi;fermeture2_lundi_apres_midi;fermeture2_mardi_apres_midi;fermeture2_mercredi_apres_midi;fermeture2_jeudi_apres_midi;fermeture2_vendredi_apres_midi;fermeture2_samedi_apres_midi;fermeture2_dimanche_apres_midi;COMMENTAIRE;point_geographique
11315;PROVENCE ALPES CORSE REUNION;000025;CORSE;Entreprises;CENTRE COMMERCIAL CORSAIRE;RN 193;BORGO;20290;2B042;2B;1184305.0;1753834.0;0830;0830;0830;0830;0830;0000;0000;0000;0000;0000;0000;0000;0000;0000;1200;1200;1200;1200;1200;0000;0000;0000;0000;0000;0000;0000;0000;0000;1330;1330;1330;1330;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;1730;1730;1730;1730;1730;0000;0000;0000;0000;0000;0000;0000;0000;0000;;
11315;PROVENCE ALPES CORSE REUNION;000033;AIX;Entreprises;140 AVENUE DU 12 JUILLET 1998;CARRE DE L'ENFANT;AIX EN PROVENCE;13290;13001;13;847814.0;1836103.0;0830;0830;0830;0830;0830;0000;0000;0000;0000;0000;0000;0000;0000;0000;1200;1200;1200;1200;1200;0000;0000;0000;0000;0000;0000;0000;0000;0000;1330;1330;1330;1330;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;1730;1730;1730;1730;1730;0000;0000;0000;0000;0000;0000;0000;0000;0000;;
11315;PROVENCE ALPES CORSE REUNION;000034;VAUCLUSE;Entreprises;2 CHEMIN DES MEINAJARIES;AGRO PARC 45 IMMEUBLE LA BOETIE;AVIGNON;84140;;13;805258.0;1885580.0;0830;0830;0830;0830;0830;0000;0000;0000;0000;0000;0000;0000;0000;0000;1200;1200;1200;1200;1200;0000;0000;0000;0000;0000;0000;0000;0000;0000;1330;1330;1330;1330;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;1730;1730;1730;1730;1730;0000;00000;0000;0000;0000;0000;0000;0000;0000;;43.908841, 4.89097
11315;PROVENCE ALPES CORSE REUNION;000068;MARSEILLE LES CALANQUES;Entreprises;2 BLD EUROMEDITERRANEE;QUAI D'ARENC;MARSEILLE;13002;;13;846205.0;1816971.0;0830;0830;0830;0830;0830;0000;0000;0000;0000;0000;0000;0000;0000;0000;1200;1200;1200;1200;1200;0000;0000;0000;0000;0000;0000;0000;0000;0000;1330;1330;1330;1330;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;1730;1730;1730;1730;1730;0000;00000;0000;0000;0000;0000;0000;0000;0000;;43.30497, 5.367306
11315;PROVENCE ALPES CORSE REUNION;000069;MARSEILLE COTE BLEUE;Entreprises;2 BLD EUROMEDITERRANEE;QUAI D'ARENC;MARSEILLE;13002;;13;846205.0;1816971.0;0830;0830;0830;0830;0830;0000;0000;0000;0000;0000;0000;0000;0000;0000;1200;1200;1200;1200;1200;0000;0000;0000;0000;0000;0000;0000;0000;0000;1330;1330;1330;1330;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;1730;1730;1730;1730;1730;0000;00000;0000;0000;0000;0000;0000;0000;0000;;43.30497, 5.367306
11315;PROVENCE ALPES CORSE REUNION;000111;HOTEL DE VILLE;Multi-MARCHES;ANGLE RUE DU COMMERCE ET MAHABOU;;MAMOUDZOU;97600;;;45.0;-13.0;0000;0800;0800;0800;0800;0800;0000;0000;0000;0000;0000;0000;0000;0000;0000;1200;1200;1200;1200;1210;0000;0000;0000;0000;0000;0000;0000;0000;0000;*1330;*1330;*1430;*1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;*1700;*1700;*1700;*1700;0000;0000;0000;0000;0000;0000;0000;0000;0000;APRES-MIDI UNIQUEMENT SUR RDV;
11315;PROVENCE ALPES CORSE REUNION;000124;CASTELLANE;Multi-MARCHES;4 RUE LOUIS MAUREL;;MARSEILLE;13006;13206;13;847606.0;1814054.0;0000;0820;0820;0820;0820;0820;0000;0000;0000;0000;0000;0000;0000;0000;0000;1200;1200;1200;1200;1200;0000;0000;0000;0000;0000;0000;0000;0000;0000;1330;1330;1430;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;1700;1700;1700;1700;0000;0000;0000;0000;0000;0000;0000;0000;0000;;43.285681, 5.382748
11315;PROVENCE ALPES CORSE REUNION;000131;CHAVE;Multi-MARCHES;189 BOULEVARD CHAVE;;MARSEILLE;13005;13205;13;848770.0;1815221.0;0000;0820;0820;0820;0820;0820;0000;0000;0000;0000;0000;0000;0000;0000;0000;1200;1200;1200;1200;1200;0000;0000;0000;0000;0000;0000;0000;0000;0000;1330;1330;1430;1330;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;1700;1700;1700;1700;0000;0000;0000;0000;0000;0000;0000;0000;0000;;43.295757, 5.397496
11315;PROVENCE ALPES CORSE REUNION;000136;ARLES CAMARGUE;Multi-MARCHES;8. RUE DES BOURDIGUES;ZONE AURELIENNE FOURCHON;ARLES;13200;13004;13;785923.0;1854068.0;0000;0900;0900;0900;0900;0900;0000;0000;0000;0000;0000;0000;0000;0000;0000;1230;1230;1230;1230;1245;0000;0000;0000;0000;0000;0000;0000;0000;0000;1400;1400;1500;1400;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;1800;1800;1800;1800;0000;0000;0000;0000;0000;0000;0000;0000;0000;;43.664444, 4.639024
11315;PROVENCE ALPES CORSE REUNION;000141;MARIGNANE;Multi-MARCHES;3 AVENUE JEAN JAURES;;MARIGNANE;13700;13054;13;833562.0;1828235.0;0000;0845;0845;0845;0845;0845;0000;0000;0000;0000;0000;0000;0000;0000;0000;1215;1215;1215;1215;1230;0000;0000;0000;0000;0000;0000;0000;0000;0000;1345;1345;1445;1345;0000;0000;0000;0000;0000;0000;0000;0000;0000;0000;1745;1745;1745;1745;0000;0000;0000;0000;0000;0000;0000;0000;0000;;43.417971, 5.21714
