nom,adresse,code_postal,telephone,statut,region_url,department_url,locality_url,source_url
"Nous contacterTrouver une caisseVos paramètres de confidentialitéRéduire l'assistant virtuelFermer l'assistant virtuelEnvoyervotre questionBonjourJe suis votre assistant virtuelJe suis là pour vous aider à naviguer sur le site et répondre à vos questions 24h/24 et 7j/7.A l'issue de ce tutoriel, vous pourrez commencer à me poser des questions.Une question ?J'y réponds sans attendreJe peux vous renseigner sur nos offres et services. Je vous oriente sur le site et vous mets en relation avec le bon interlocuteur pour accomplir vos démarches.C'est facile !Saisissez simplement vos questionsVous pouvez saisir vos questions dans le champ prévu à cet effet. N’hésitez pas à formuler une phrase plutôt qu’un seul mot. Cela me permettra d’être plus précis dans mes réponses.SuivantPoursuivre le déroulé du tutorielCrédit MutuelBonjourJe suis votre assistant virtuelAvant de commencer, pouvez-vous m’indiquer votre code postal ?Me géolocaliserSuivantVos paramètres de confidentialitéRéduire le tchat conseillerQuitter le tchat conseiller",,,,,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01#ei_quicklink_search,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01#ei_quicklink_search
CAISSE DE CREDIT MUTUEL AMBERIEU EN BUGEY,32 AVENUE DU GENERAL DE GAULLE 01500 AMBERIEU EN BUGEY,01500,04 37 63 27 91,"Ouvert, jusqu'à 12h45",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01004,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01004
CAISSE DE CREDIT MUTUEL BELLEY,31 GRANDE RUE 01300 BELLEY,01300,04 79 42 30 48,"Ouvert, jusqu'à 12h30",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01034,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01034
CAISSE DE CREDIT MUTUEL BRESSAN,4 COURS DE VERDUN 01000 BOURG EN BRESSE,01000,04 74 32 89 32,"Ouvert, jusqu'à 12h15",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01053,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01053
CAISSE DE CREDIT MUTUEL BRESSAN - BOURG  PROFESSIONNELS,1 AVENUE ALPHONSE BAUDIN 01000 BOURG EN BRESSE,01000,04 74 32 89 32,"Ouvert, jusqu'à 12h15",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01053,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01053
CAISSE DE CREDIT MUTUEL ENSEIGNANT LYON - CME LYON BOURG EN BRESSE,1 RUE CHARLES ROBIN 01000 BOURG EN BRESSE,01000,04 37 62 00 62,"Ouvert, uniquement sur RDV jusqu'à 12h30",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01053,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01053
CAISSE DE CREDIT MUTUEL DAGNEUX,1103 RUE DE GENEVE 01120 DAGNEUX,01120,04 72 01 09 54,"Ouvert, jusqu'à 12h30",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01142,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01142
CAISSE DE CREDIT MUTUEL GESSIEN - DIVONNE,203 AVENUE DE GENEVE 01220 DIVONNE LES BAINS,01220,04 50 13 15 10,"Ouvert, jusqu'à 12h15",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01143,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01143
CAISSE DE CREDIT MUTUEL SAINT GENIS FERNEY - FERNEY VOLTAIRE,17 GRAND RUE 01210 FERNEY VOLTAIRE,01210,04 50 13 15 12,"Ouvert, jusqu'à 12h15",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01160,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01160
CAISSE DE CREDIT MUTUEL GESSIEN - GEX,RUE DES TERREAUX 01170 GEX,01170,04 50 13 15 11,"Ouvert, jusqu'à 12h15",https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Localites.aspx?regionId=84&departmentId=01,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01173,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/ResultatsRechercheGeographique.aspx?inseeCode=01173
