nom,adresse,code_postal,latitude,longitude,region_source
CAISSE DE CREDIT MUTUEL AMBERIEU EN BUGEY,32 AVENUE DU GENERAL DE GAULLE 01500 AMBERIEU EN BUGEY,1500.0,45.9630317,5.3572432,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL BELLEY,31 GRANDE RUE 01300 BELLEY,1300.0,45.759947,5.688204,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL BRESSAN,4 COURS DE VERDUN 01000 BOURG EN BRESSE,1000.0,46.206087,5.2250287,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL BRESSAN - BOURG  PROFESSIONNELS,1 AVENUE ALPHONSE BAUDIN 01000 BOURG EN BRESSE,1000.0,46.2005559,5.2186221,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL ENSEIGNANT LYON - CME LYON BOURG EN BRESSE,1 RUE CHARLES ROBIN 01000 BOURG EN BRESSE,1000.0,46.2056432,5.2291151,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL DAGNEUX,1103 RUE DE GENEVE 01120 DAGNEUX,1120.0,45.8509047,5.0698453,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL GESSIEN - DIVONNE,203 AVENUE DE GENEVE 01220 DIVONNE LES BAINS,1220.0,46.3488477,6.1466573,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL SAINT GENIS FERNEY - FERNEY VOLTAIRE,17 GRAND RUE 01210 FERNEY VOLTAIRE,1210.0,46.2563966,6.109901,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL GESSIEN - GEX,RUE DES TERREAUX 01170 GEX,1170.0,46.3338095,6.0589146,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
CAISSE DE CREDIT MUTUEL MEXIMIEUX,11 PLACE VAUGELAS 01800 MEXIMIEUX,1800.0,45.9031834,5.1920541,https://www.creditmutuel.fr/fr/caisses-et-distributeurs/Departements.aspx?regionId=84
