nom,adresse,code_postal
SG SMC,"27 SQ ABBE BLAISE, 13080 AIX EN PROVENCE",13080
SG SMC,"15 PL WALDECK-ROUSSEAU, 13540 AIX EN PROVENCE",13540
SG SMC,"16 CRS MIRABEAU, 13100 AIX EN PROVENCE",13100
SG SMC,"645 RTE DE BERRE, 13090 AIX EN PROVENCE",13090
SG SMC,"RUE GUILLAUME DU VAIR, 13090 AIX EN PROVENCE",13090
SG SMC,"565 AV MARCELIN BERTHELOT, 13290 AIX EN PROVENCE",13290
SG SMC,"67 CRS GAMBETTA, 13100 AIX EN PROVENCE",13100
SG SMC,"16 CRS SEXTIUS, 13100 AIX EN PROVENCE",13100
SG SMC,"31 RUE DE LA REPUBLIQUE, 13200 ARLES",13200
SG SMC,"69 BD EMILE COMBES, 13200 ARLES",13200
SG SMC,"75 BIS AV DE STALINGRAD, 13200 ARLES",13200
SG SMC,"1120 RTE DE GEMENOS, 13400 AUBAGNE",13400
SG SMC,"12 PROM DU JEUNE ANACHARSIS, 13400 AUBAGNE",13400
SG SMC,"12 AV DE LA LIBERATION, 13130 BERRE L ETANG",13130
SG SMC,"1596 AV DE LA CROIX D'OR, 13320 BOUC BEL AIR",13320
SG SMC,"AV DE CASSIS, 13470 CARNOUX EN PROVENCE",13470
SG SMC,"12 AV DRAIO DE LA MAR, 13620 CARRY LE ROUET",13620
SG SMC,"4 PL DE LA REPUBLIQUE, 13260 CASSIS",13260
SG SMC,"2 PL DE LA REPUBLIQUE, 13160 CHATEAURENARD",13160
SG SMC,"1 AV CAMILLE PELLETAN, 13270 FOS SUR MER",13270
SG SMC,"15 CRS FORBIN, 13120 GARDANNE",13120
SG SMC,"IMP DES TEMPLIERS, 13180 GIGNAC LA NERTHE",13180
SG SMC,"CHE DU BORD DE CRAU, 13800 ISTRES",13800
SG SMC,"RPT DE LATTRE DE TASSIGNY, 13600 LA CIOTAT",13600
SG SMC,"136 BD GUERIN, 13600 LA CIOTAT",13600
SG SMC,"QUA SOUQUE NEGRE, 13112 LA DESTROUSSE",13112
SG SMC,"39 TRA HERMES, 13580 LA FARE LES OLIVIERS",13580
SG SMC,"3 RTE D'AIX-EN-PROVENCE, 13410 LAMBESC",13410
SG SMC,"1-3 BD DES PLAINES, 13700 MARIGNANE",13700
SG SMC,"159 BD BAILLE, 13005 MARSEILLE",13005
SG SMC,"71 AV DE HAMBOURG, 13008 MARSEILLE",13008
SG SMC,"17 LA CANEBIERE, 13001 MARSEILLE",13001
SG SMC,"22 BD CHARLES MORETTI, 13014 MARSEILLE",13014
SG SMC,"264 AV DE LA CAPELETTE, 13010 MARSEILLE",13010
SG SMC,"10 PL CASTELLANE, 13006 MARSEILLE",13006
SG SMC,"129 BD F. DUPARC, 13004 MARSEILLE",13004
SG SMC,"180 BD DE LA LIBERATION, 13004 MARSEILLE",13004
SG SMC,"60 AV DE LA CORSE, 13007 MARSEILLE",13007
SG SMC,"6 PL ERNEST DELIBES, 13008 MARSEILLE",13008
SG SMC,"118 RUE DE LA REPUBLIQUE, 13002 MARSEILLE",13002
SG SMC,"205 RTE DES TROIS LUCS, 13011 MARSEILLE",13011
SG SMC,"109 RUE EMILE ZOLA, 13009 MARSEILLE",13009
SG SMC,"501 RUE PARADIS, 13008 MARSEILLE",13008
SG SMC,"75 RUE PARADIS, 13006 MARSEILLE",13006
SG SMC,"305 AV DU PRADO, 13008 MARSEILLE",13008
SG SMC,"101 RUE MONTAIGNE, 13012 MARSEILLE",13012
SG SMC,"147 AV 24 AVRIL 1915, 13012 MARSEILLE",13012
SG SMC,"85 BD DE SAINT-LOUP, 13010 MARSEILLE",13010
SG SMC,"111 CHE DE CH GOMBERT, 13013 MARSEILLE",13013
SG SMC,"325 AV DE MAZARGUES, 13008 MARSEILLE",13008
SG SMC,"9 PL SEBASTOPOL, 13004 MARSEILLE",13004
SG SMC,"41 RUE D'ENDOUME, 13007 MARSEILLE",13007
SG SMC,"36 BD STE MARGUERITE, 13009 MARSEILLE",13009
SG SMC,"56 QU GENERAL LECLERC, 13500 MARTIGUES",13500
SG SMC,"32 AV CH. DE GAULLE, 13140 MIRAMAS",13140
SG SMC,"RTE DEPARTEMENTAL 572, 13330 PELISSANNE",13330
SG SMC,"RTE DE TRETS RD6, 13790 PEYNIER",13790
SG SMC,"CTRE CIAL BARNEOUD, 13170 LES PENNES MIRABEAU",13170
SG SMC,"LE MAIL CHARLES DE GAULL, 13380 PLAN DE CUQUES",13380
SG SMC,"32 AV DU PORT, 13230 PORT ST LOUIS DU RHONE",13230
SG SMC,"14 BD VICTOR HUGO, 13210 ST REMY DE PROVENCE",13210
SG SMC,"3 AV DE LA PLAGE, 13460 SAINTES MARIES DE LA MER",13460
SG SMC,"14 BD DE LA REPUBLIQUE, 13300 SALON DE PROVENCE",13300
SG SMC,"645 AV DU 22 AOUT 1944, 13300 SALON DE PROVENCE",13300
SG SMC,"16 AVENUE DE LA REPUBLIQUE, 13310 ST MARTIN DE CRAU",13310
SG SMC,"21 CRS ARISTIDE BRIAND, 13150 TARASCON",13150
SG SMC,"13 CRS ESQUIROS, 13530 TRETS",13530
SG SMC,"AV DE LA GRANDE BEGUDE, 13770 VENELLES",13770
SG SMC,"24 AV DE LA GRANDE BEGUDE, 13770 VENELLES",13770
SG SMC,"RPT DE LA PIERRE PLANTEE, 13127 VITROLLES",13127
