nom,adresse,code_postal
SG GRAND OUEST,"12 BD DELEAN, 14370 ARGENCES",14370
SG GRAND OUEST,"26 RUE SAINT-MALO, 14400 BAYEUX",14400
SG GRAND OUEST,"24 AV DE LA MER, 14390 CABOURG",14390
SG GRAND OUEST,"42 RUE NICOLAS ORESME, 14000 CAEN",14000
SG GRAND OUEST,"7 BD MARECHAL JUIN, 14000 CAEN",14000
SG GRAND OUEST,"1 PL DU 36e REGIMENT D'INFANTERIE, 14000 CAEN",14000
SG GRAND OUEST,"130 BD MAL LECLERC, 14000 CAEN",14000
SG GRAND OUEST,"34 RTE LA DELIVRANDE, 14000 CAEN",14000
SG GRAND OUEST,"52 AV HENRI CHERON, 14000 CAEN",14000
SG GRAND OUEST,"9 PL DE MORNY, 14800 DEAUVILLE",14800
SG GRAND OUEST,"5 RUE PAUL CANTA, 14160 DIVES SUR MER",14160
SG GRAND OUEST,"6 AVENUE DE LA BASILIQUE, 14440 DOUVRES LA DELIVRANDE",14440
SG GRAND OUEST,"16 PL DU DR P.GERMAN, 14700 FALAISE",14700
SG GRAND OUEST,"320 QUA DU VAL, 14200 HEROUVILLE ST CLAIR",14200
SG GRAND OUEST,"4 RUE DES LOGETTES, 14600 HONFLEUR",14600
SG GRAND OUEST,"9 PLACE CLAUDE DEBUSSY, 14123 IFS",14123
SG GRAND OUEST,"23 RUE PONT MORTAIN, 14100 LISIEUX",14100
SG GRAND OUEST,"2 RUE VOLTAIRE, 14270 MEZIDON VALLEE D AUGE",14270
SG GRAND OUEST,"Z.A DE L'ETOILE, 14120 MONDEVILLE",14120
SG GRAND OUEST,"97 RUE GRANDE, 14290 ORBEC",14290
SG GRAND OUEST,"4 RUE AUBER, 14150 OUISTREHAM",14150
SG GRAND OUEST,"13 PL JEAN BUREAU, 14130 PONT L EVEQUE",14130
SG GRAND OUEST,"PL DU MARCHE, 14170 ST PIERRE EN AUGE",14170
SG GRAND OUEST,"6 RUE VICTOR HUGO, 14360 TROUVILLE SUR MER",14360
SG GRAND OUEST,"37 PL JEANNE D ARC, 14640 VILLERS SUR MER",14640
SG GRAND OUEST,"17 RUE D'AIGNAUX, 14500 VIRE NORMANDIE",14500
