nom,adresse,code_postal
SG SUD OUEST,"26 B AV CDT LISIACK, 17440 AYTRE",17440
SG SUD OUEST,"109-111 BD DE LA REPUBLIQUE, 17340 CHATELAILLON PLAGE",17340
SG SUD OUEST,"12 RUE DU PALAIS, 17000 LA ROCHELLE",17000
SG SUD OUEST,"48 AV JEAN MONNET, 17000 LA ROCHELLE",17000
SG SUD OUEST,"125 BD ANDRE SAUTEL, 17000 LA ROCHELLE",17000
SG SUD OUEST,"AV DU FIEF ROSE, 17140 LAGORD",17140
SG SUD OUEST,"PL GAL DE GAULLE, 17480 LE CHATEAU D OLERON",17480
SG SUD OUEST,"7 RUE PASTEUR, 17800 PONS",17800
SG SUD OUEST,"28 B RUE DE PUYRAVAULT, 17300 ROCHEFORT",17300
SG SUD OUEST,"3 FRONT DE MER, 17200 ROYAN",17200
SG SUD OUEST,"1 PL CHARLES DE GAULLE, 17200 ROYAN",17200
SG SUD OUEST,"5 PL ANDRE LEMOYNE, 17400 ST JEAN D ANGELY",17400
SG SUD OUEST,"RTE DE LA FLOTTE, 17410 ST MARTIN DE RE",17410
SG SUD OUEST,"44 CRS NATIONAL MICHEL BARON, 17100 SAINTES",17100
SG SUD OUEST,"28 B PL GEN DE GAULLE, 17600 SAUJON",17600
SG SUD OUEST,"16 PL DE L'EUROPE, 17700 SURGERES",17700
