nom,adresse,code_postal
SG GRAND EST,"3 RUE COLONEL REDOUTEY, 21130 AUXONNE",21130
SG GRAND EST,"3 5 PL MONGE, 21200 BEAUNE",21200
SG GRAND EST,"8 RUE BUFFON, 21800 CHEVIGNY ST SAUVEUR",21800
SG GRAND EST,"127 AV DE LANGRES, 21000 DIJON",21000
SG GRAND EST,"152 AV JEAN-JAURES, 21000 DIJON",21000
SG GRAND EST,"9 BD CLEMENCEAU, 21000 DIJON",21000
SG GRAND EST,"50 BD JEANNE D'ARC, 21000 DIJON",21000
SG GRAND EST,"1 RUE DE LA LIBERTE, 21000 DIJON",21000
SG GRAND EST,"22 AV VICTOR HUGO, 21000 DIJON",21000
SG GRAND EST,"9 GRANDE RUE, 21700 NUITS ST GEORGES",21700
