nom,adresse,code_postal
SG GRAND OUEST,"13 RUE LA FERRONNERIE, 22100 DINAN",22100
SG GRAND OUEST,"8 RUE CLEMENCEAU, 22430 ERQUY",22430
SG GRAND OUEST,"32 PL DU CENTRE, 22200 GUINGAMP",22200
SG GRAND OUEST,"30 RUE CHARLES CARTEL, 22400 LAMBALLE ARMOR",22400
SG GRAND OUEST,"CTRE CIAL CARREFOUR, 22360 LANGUEUX",22360
SG GRAND OUEST,"4 QU D'AIGUILLON, 22300 LANNION",22300
SG GRAND OUEST,"16 AV DES COMBATTANTS, 22600 LOUDEAC",22600
SG GRAND OUEST,"6 PL LA REPUBLIQUE, 22500 PAIMPOL",22500
SG GRAND OUEST,"4 RUE DE LA POSTE, 22700 PERROS GUIREC",22700
SG GRAND OUEST,"56 RUE SAINT-GUILLAUME, 22000 ST BRIEUC",22000
SG GRAND OUEST,"16 QU DE LA REPUBLIQUE, 22410 ST QUAY PORTRIEUX",22410
