nom,adresse,code_postal
SG SOCIETE GENERALE,"23 RUE NATIONALE, 91670 ANGERVILLE",91670
SG SOCIETE GENERALE,"5 PL DU MARCHE, 91290 ARPAJON",91290
SG SOCIETE GENERALE,"12 AV JACQUES CHIRAC, 91200 ATHIS MONS",91200
SG SOCIETE GENERALE,"1 B R DE CHEVANNES, 91610 BALLANCOURT SUR ESSONNE",91610
SG SOCIETE GENERALE,"PL FRANCIS COMBE, 91070 BONDOUFLE",91070
SG SOCIETE GENERALE,"14 BD DE LA REPUBLIQUE, 91220 BRETIGNY SUR ORGE",91220
SG SOCIETE GENERALE,"4 RTE DE DOURDAN, 91650 BREUILLET",91650
SG SOCIETE GENERALE,"2 PL SAINT-MEDARD, 91800 BRUNOY",91800
SG SOCIETE GENERALE,"23 AV PIERRE BROSSOLETTE, 91380 CHILLY MAZARIN",91380
SG SOCIETE GENERALE,"3 RUE FERAY, 91100 CORBEIL ESSONNES",91100
SG SOCIETE GENERALE,"31 RUE DE CHARTRES, 91410 DOURDAN",91410
SG SOCIETE GENERALE,"107 AV HENRI BARBUSSE, 91210 DRAVEIL",91210
SG SOCIETE GENERALE,"2 RUE DU CHATEAU, 91150 ETAMPES",91150
SG SOCIETE GENERALE,"36 GRANDE RUE, 91580 ETRECHY",91580
SG SOCIETE GENERALE,"25 CRS BLAISE PASCAL, 91000 EVRY COURCOURONNES",91000
SG SOCIETE GENERALE,"1 RUE MONTESPAN, 91000 EVRY COURCOURONNES",91000
SG SOCIETE GENERALE,"1 PL DU MARCHE NEUF, 91190 GIF SUR YVETTE",91190
SG SOCIETE GENERALE,"4 MAIL PIERRE POTIER, 91190 GIF SUR YVETTE",91190
SG SOCIETE GENERALE,"1 PL DE L'EGLISE, 91190 GIF SUR YVETTE",91190
SG SOCIETE GENERALE,"6 PL DE STALINGRAD, 91430 IGNY",91430
SG SOCIETE GENERALE,"25 GRANDE RUE, 91260 JUVISY SUR ORGE",91260
SG SOCIETE GENERALE,"6 PL DE LA LIBERATION, 91590 LA FERTE ALAIS",91590
SG SOCIETE GENERALE,"8 RUE DU MAL FOCH, 91510 LARDY",91510
SG SOCIETE GENERALE,"AV DE BERRY, 91940 LES ULIS",91940
SG SOCIETE GENERALE,"3 RUE MAURICE BENE, 91470 LIMOURS",91470
SG SOCIETE GENERALE,"2 PL DE BRETTEN, 91160 LONGJUMEAU",91160
SG SOCIETE GENERALE,"10 ALL JOSEPHINE BAKER, 91300 MASSY",91300
SG SOCIETE GENERALE,"32 AVENUE RAYMOND ARON, 91300 MASSY",91300
SG SOCIETE GENERALE,"1 RUE LA CROIX BOISSEE, 91540 MENNECY",91540
SG SOCIETE GENERALE,"45 PL DU MARCHE, 91490 MILLY LA FORET",91490
SG SOCIETE GENERALE,"95 AV DE LA REPUBLIQUE, 91230 MONTGERON",91230
SG SOCIETE GENERALE,"3 PL DU MARCHE, 91310 MONTLHERY",91310
SG SOCIETE GENERALE,"57 RTE DE CORBEIL, 91390 MORSANG SUR ORGE",91390
SG SOCIETE GENERALE,"4 T RUE DE PARIS, 91400 ORSAY",91400
SG SOCIETE GENERALE,"138 RUE DE PARIS, 91120 PALAISEAU",91120
SG SOCIETE GENERALE,"6 RUE DE GRIGNY, 91130 RIS ORANGIS",91130
SG SOCIETE GENERALE,"125 BD ARISTIDE BRIAND, 91600 SAVIGNY SUR ORGE",91600
SG SOCIETE GENERALE,"8 RUE DES FCS BOURGEOIS, 91450 SOISY SUR SEINE",91450
SG SOCIETE GENERALE,"75 AV GABRIEL PERI, 91700 STE GENEVIEVE DES BOIS",91700
SG SOCIETE GENERALE,"RUE DU CLOS GUINAUT, 91280 ST PIERRE DU PERRAY",91280
SG SOCIETE GENERALE,"7 RUE DE PARON, 91370 VERRIERES LE BUISSON",91370
SG SOCIETE GENERALE,"55 B AV H. CHARRON, 91270 VIGNEUX SUR SEINE",91270
SG SOCIETE GENERALE,"RTE DE VILLOISON, 91100 VILLABE",91100
SG SOCIETE GENERALE,"13 RUE ALEXANDRE DUMAS, 91170 VIRY CHATILLON",91170
SG SOCIETE GENERALE,"C.C. JARDINS DE CONCY, 91330 YERRES",91330
