nom,adresse,code_postal
SG GRAND OUEST,"3 RUE DE L'ABBATIALE, 27300 BERNAY",27300
SG GRAND OUEST,"239 GRANDE RUE, 27310 BOURG ACHARD",27310
SG GRAND OUEST,"PL FREMONT DES ESSARTS, 27800 BRIONNE",27800
SG GRAND OUEST,"24 RUE CHARTRAINE, 27000 EVREUX",27000
SG GRAND OUEST,"1 AV DU GAL LECLERC, 27600 GAILLON",27600
SG CREDIT DU NORD,"10-12 RUE DU GAL DE GAULLE, 27140 GISORS",27140
SG GRAND OUEST,"70 AV ARISTIDE BRIAND, 27930 GRAVIGNY",27930
SG GRAND OUEST,"94 RUE HENRI IV, 27540 IVRY LA BATAILLE",27540
SG GRAND OUEST,"19 RUE DUPONT DE L'EURE, 27110 LE NEUBOURG",27110
SG GRAND OUEST,"11 PL DU GAL DE GAULLE, 27100 LE VAUDREUIL",27100
SG GRAND OUEST,"29 PL NICOLAS POUSSIN, 27700 LES ANDELYS",27700
SG GRAND OUEST,"37 RUE DU MARECHAL FOCH, 27400 LOUVIERS",27400
SG GRAND OUEST,"10 RUE DE L'HOTEL DIEU, 27320 NONANCOURT",27320
SG GRAND OUEST,"95 RUE ISAMBARD, 27120 PACY SUR EURE",27120
SG GRAND OUEST,"12 RUE ALFRED CANEL, 27500 PONT AUDEMER",27500
SG GRAND OUEST,"4 RUE BLIN, 27340 PONT DE L ARCHE",27340
SG GRAND OUEST,"74 RUE CHANOINE BOULOGNE, 27220 ST ANDRE DE L EURE",27220
SG GRAND OUEST,"2 TER RUE DE L'EQUERRE, 27180 ST SEBASTIEN DE MORSENT",27180
SG GRAND OUEST,"51 PL DE LA MADELEINE, 27130 VERNEUIL D AVRE ET D ITON",27130
SG GRAND OUEST,"PL D'EVREUX, 27200 VERNON",27200
