nom,adresse,code_postal
SG GRAND EST,"26 RUE CHARLES DE GAULLE, 68130 ALTKIRCH",68130
SG GRAND EST,"3 A RUE POINCARE, 68700 CERNAY",68700
SG GRAND EST,"17 RUE DES TETES, 68000 COLMAR",68000
SG GRAND EST,"197 AV D ALSACE, 68000 COLMAR",68000
SG GRAND EST,"24 AV DE LA LIBERTE, 68000 COLMAR",68000
SG GRAND EST,"17 RUE DE LA REPUBLIQUE, 68500 GUEBWILLER",68500
SG GRAND EST,"2 RUE DE BRUXELLES, 68260 KINGERSHEIM",68260
SG GRAND EST,"2 BD DE L'EUROPE, 68100 MULHOUSE",68100
SG GRAND EST,"2 AV DE RIEDISHEIM, 68100 MULHOUSE",68100
SG GRAND EST,"3 RUE BARTHOLDI, 68400 RIEDISHEIM",68400
SG GRAND EST,"2 RTE DE L'ILE NAPOLEON, 68170 RIXHEIM",68170
SG GRAND EST,"4 RUE DE HUNINGUE, 68300 ST LOUIS",68300
SG GRAND EST,"3 RUE KLEBER, 68800 THANN",68800
