nom,adresse,code_postal
SG TARNEAUD,"52 AV PDT WILSON, 87700 AIXE SUR VIENNE",87700
SG TARNEAUD,"13 RUE JEAN JAURES, 87300 BELLAC",87300
SG TARNEAUD,"7 PL DE LA LIBERTE, 87250 BESSINES SUR GARTEMPE",87250
SG TARNEAUD,"174 AV DE LIMOGES, 87270 COUZEIX",87270
SG TARNEAUD,"3 PL DU COMMERCE, 87100 LIMOGES",87100
SG TARNEAUD,"5 PL SADI CARNOT, 87000 LIMOGES",87000
SG TARNEAUD,"2 PL DES BANCS, 87000 LIMOGES",87000
SG TARNEAUD,"8 R V SCHOELCHER, 87000 LIMOGES",87000
SG TARNEAUD,"2 ET 6 RUE TURGOT, 87000 LIMOGES",87000
SG TARNEAUD,"33 AV DU PRESIDENT SADI CARNOT, 87350 PANAZOL",87350
SG TARNEAUD,"1 PL DE L'EGLISE, 87600 ROCHECHOUART",87600
SG TARNEAUD,"30 BD VICTOR HUGO, 87200 ST JUNIEN",87200
SG TARNEAUD,"AV DU CHAMP DE MARS, 87400 ST LEONARD DE NOBLAT",87400
SG TARNEAUD,"42 BD DE L'HOTEL DE VILLE, 87500 ST YRIEIX LA PERCHE",87500
