nom,adresse,code_postal
SG SOCIETE GENERALE,"34 RUE AUGUSTE MOUNIE, 92160 ANTONY",92160
SG SOCIETE GENERALE,"34 GD RUE CH DE GAULLE, 92600 ASNIERES SUR SEINE",92600
SG SOCIETE GENERALE,"4 AV DE LA PAIX, 92600 ASNIERES SUR SEINE",92600
SG SOCIETE GENERALE,"356 AV D ARGENTEUIL, 92600 ASNIERES SUR SEINE",92600
SG SOCIETE GENERALE,"2 AV HENRI RAVERA, 92220 BAGNEUX",92220
SG SOCIETE GENERALE,"3 RUE FELIX FAURE, 92270 BOIS COLOMBES",92270
SG SOCIETE GENERALE,"40 BD JEAN JAURES, 92100 BOULOGNE BILLANCOURT",92100
SG SOCIETE GENERALE,"102 AV GENERAL LECLERC, 92100 BOULOGNE BILLANCOURT",92100
SG SOCIETE GENERALE,"92 AV J-BAPTISTE CLEMENT, 92100 BOULOGNE BILLANCOURT",92100
SG SOCIETE GENERALE,"2 RUE MOREAU VAUTHIER, 92100 BOULOGNE BILLANCOURT",92100
SG SOCIETE GENERALE,"3 AV DU GAL LECLERC, 92100 BOULOGNE BILLANCOURT",92100
SG SOCIETE GENERALE,"7 RUE RENE ROECKEL, 92340 BOURG LA REINE",92340
SG SOCIETE GENERALE,"71 RUE JEAN LONGUET, 92290 CHATENAY MALABRY",92290
SG SOCIETE GENERALE,"44 AV DE PARIS, 92320 CHATILLON",92320
SG SOCIETE GENERALE,"4 RUE PAVE DE MEUDON, 92370 CHAVILLE",92370
SG SOCIETE GENERALE,"743 AV SALENGRO, 92370 CHAVILLE",92370
SG SOCIETE GENERALE,"16 AV JEAN JAURES, 92140 CLAMART",92140
SG SOCIETE GENERALE,"3 PL MARTYRS OCC.ALLE., 92110 CLICHY",92110
SG SOCIETE GENERALE,"2 RUE DE LA LIBERTE, 92700 COLOMBES",92700
SG SOCIETE GENERALE,"53 AV PASTEUR, 92400 COURBEVOIE",92400
SG SOCIETE GENERALE,"CTRE CIAL CHARRAS, 92400 COURBEVOIE",92400
SG SOCIETE GENERALE,"41 AV LEONARD DE VINCI, 92400 COURBEVOIE",92400
SG SOCIETE GENERALE,"83 RUE DE BEZONS, 92400 COURBEVOIE",92400
SG SOCIETE GENERALE,"10 AV MARCEAU, 92400 COURBEVOIE",92400
SG SOCIETE GENERALE,"3 PL VICTOR HUGO, 92400 COURBEVOIE",92400
SG SOCIETE GENERALE,"64 RUE BOUCICAUT, 92260 FONTENAY AUX ROSES",92260
SG SOCIETE GENERALE,"28 AV DU MAL JOFFRE, 92380 GARCHES",92380
SG SOCIETE GENERALE,"140 AV GABRIEL PERI, 92230 GENNEVILLIERS",92230
SG SOCIETE GENERALE,"3 ALL SAINTE LUCIE, 92130 ISSY LES MOULINEAUX",92130
SG SOCIETE GENERALE,"1 RUE ANDRE CHENIER, 92130 ISSY LES MOULINEAUX",92130
SG SOCIETE GENERALE,"39 RUE ERNEST RENAN, 92130 ISSY LES MOULINEAUX",92130
SG SOCIETE GENERALE,"27 CRS DE L'ANCIENNE BOULANGERIE, 92130 ISSY LES MOULINEAUX",92130
SG SOCIETE GENERALE,"2 BD FRANCK KUPKA, 92800 PUTEAUX",92800
SG SOCIETE GENERALE,"15 PARVIS DE LA DEFENSE, 92800 PUTEAUX",92800
SG SOCIETE GENERALE,"5 PL DE LA PYRAMIDE, 92800 PUTEAUX",92800
SG SOCIETE GENERALE,"19 CRS VALMY, 92800 PUTEAUX",92800
SG SOCIETE GENERALE,"3 AV JOSEPH FROMENT, 92250 LA GARENNE COLOMBES",92250
SG SOCIETE GENERALE,"3 PL DES CHAMPS PHILIPPE, 92250 LA GARENNE COLOMBES",92250
SG SOCIETE GENERALE,"62 AV FOCH, 92250 LA GARENNE COLOMBES",92250
SG SOCIETE GENERALE,"7 PL CHARLES PASQUA, 92350 LE PLESSIS ROBINSON",92350
SG SOCIETE GENERALE,"9 PL DU GAL LECLERC, 92300 LEVALLOIS PERRET",92300
SG SOCIETE GENERALE,"51 RUE MARIUS AUFAN, 92300 LEVALLOIS PERRET",92300
SG SOCIETE GENERALE,"80 RUE VICTOR HUGO, 92300 LEVALLOIS PERRET",92300
