nom,adresse,code_postal
SG TARNEAUD,"4 QU CHARLES DE GAULLE, 37400 AMBOISE",37400
SG TARNEAUD,"44 RUE DU PONT, 37150 BLERE",37150
SG TARNEAUD,"68 AV DE LA REPUBLIQUE, 37170 CHAMBRAY LES TOURS",37170
SG TARNEAUD,"98 QU JEANNE D'ARC, 37500 CHINON",37500
SG TARNEAUD,"9 RUE GAMARD, 37300 JOUE LES TOURS",37300
SG TARNEAUD,"21 RUE REPUBLIQUE, 37600 LOCHES",37600
SG TARNEAUD,"42 RUE NATIONALE, 37250 MONTBAZON",37250
SG TARNEAUD,"247 BD CHARLES DE GAULLE, 37540 ST CYR SUR LOIRE",37540
SG TARNEAUD,"35 B AV DE LA REPUBLIQUE, 37700 ST PIERRE DES CORPS",37700
SG TARNEAUD,"3 BD HEURTELOUP, 37000 TOURS",37000
SG TARNEAUD,"16 PL DE LA TRANCHEE, 37100 TOURS",37100
SG TARNEAUD,"26 PL GASTON PAILLHOU, 37000 TOURS",37000
SG TARNEAUD,"104 RUE GIRAUDEAU, 37000 TOURS",37000
