nom,adresse,code_postal
SG SUD OUEST,"340 AV DU 14 JUILLET, 40600 BISCARROSSE",40600
SG SUD OUEST,"37 RUE DU GAL DE GAULLE, 40130 CAPBRETON",40130
SG SUD OUEST,"13 CRS DE VERDUN, 40100 DAX",40100
SG SUD OUEST,"437 AV DU TOURING CLUB, 40150 SOORTS HOSSEGOR",40150
SG SUD OUEST,"4 PL CHARLES DE GAULLE, 40000 MONT DE MARSAN",40000
SG SUD OUEST,"60 PL ARISTIDE BRIAND, 40300 PEYREHORADE",40300
SG SUD OUEST,"376 AV LA RESISTANCE, 40990 ST PAUL LES DAX",40990
SG SUD OUEST,"36 RUE LAFAYETTE, 40500 ST SEVER",40500
SG SUD OUEST,"27 RUE EMILE NOUGARO, 40140 SOUSTONS",40140
SG SUD OUEST,"600 AV DE SAINT SEVER, 40280 ST PIERRE DU MONT",40280
SG SUD OUEST,"6 AV NATIONALE, 40230 ST VINCENT DE TYROSSE",40230
SG SUD OUEST,"3 RUE LISE ET ARTUR LONDON, 40220 TARNOS",40220
