nom,adresse,code_postal
SG GRAND EST,"45 RUE DE LA MARNE, 51000 CHALONS EN CHAMPAGNE",51000
SG GRAND EST,"6 PL DU GEN DE GAULLE, 51350 CORMONTREUIL",51350
SG GRAND EST,"4 RUE EUGENE MERCIER, 51200 EPERNAY",51200
SG GRAND EST,"6 PL HUGUES PLOMB, 51200 EPERNAY",51200
SG GRAND EST,"12 PL HOTEL-DE-VILLE, 51170 FISMES",51170
SG GRAND EST,"21 RUE DU DR PH.AMELIN, 51210 MONTMIRAIL",51210
SG GRAND EST,"2 PL ROYALE, 51100 REIMS",51100
SG GRAND EST,"1 PL JEAN MOULIN, 51100 REIMS",51100
SG GRAND EST,"145 RUE GAMBETTA, 51100 REIMS",51100
SG GRAND EST,"45 AV DE PARIS, 51100 REIMS",51100
SG GRAND EST,"13 PL LUTON, 51100 REIMS",51100
SG GRAND EST,"38 PL D'ARMES, 51300 VITRY LE FRANCOIS",51300
