nom,adresse,code_postal
SG GRAND EST,"4 PL FREDERIC RAU, 57360 AMNEVILLE LES THERMES",57360
SG GRAND EST,"44 RUE MARECHAL FOCH, 57230 BITCHE",57230
SG GRAND EST,"3 RUE DE LA REPUBLIQUE, 57320 BOUZONVILLE",57320
SG GRAND EST,"117 GRANDE RUE, 57190 FLORANGE",57190
SG GRAND EST,"107 RUE NATIONALE, 57600 FORBACH",57600
SG GRAND EST,"45 RUE DE LA GARE, 57300 HAGONDANGE",57300
SG GRAND EST,"60 RUE DU MARECHAL FOCH, 57700 HAYANGE",57700
SG GRAND EST,"28 RUE DE LA CROIX SAINT JOSEPH, 57155 MARLY",57155
SG GRAND EST,"26 CHE SOUS LES VIGNES, 57050 METZ",57050
SG GRAND EST,"43 RUE DE LA CHAPELLE, 57000 METZ",57000
SG GRAND EST,"44 AV DE NANCY, 57000 METZ",57000
SG GRAND EST,"61- 63 RUE SERPENOISE, 57000 METZ",57000
SG GRAND EST,"17 RUE DE LA MARNE, 57250 MOYEUVRE GRANDE",57250
SG GRAND EST,"60 RUE HIRSCHAUER, 57500 ST AVOLD",57500
SG GRAND EST,"13 GRANDE RUE, 57400 SARREBOURG",57400
SG GRAND EST,"CHAUSSEE DE LOUVAIN, 57200 SARREGUEMINES",57200
SG GRAND EST,"11 B LA TANNERIE, 57070 ST JULIEN LES METZ",57070
SG GRAND EST,"25 B PL DE LA REPUBLIQUE, 57100 THIONVILLE",57100
SG GRAND EST,"67 AV DES NATIONS, 57970 YUTZ",57970
