nom,adresse,code_postal
SG CREDIT DU NORD,"30 PL DU GAL.DE GAULLE, 59280 ARMENTIERES",59280
SG CREDIT DU NORD,"1 RUE JULES GUESDE, 59950 AUBY",59950
SG CREDIT DU NORD,"ZAC AULNOY LEZ VALENCIENNES, 59300 AULNOY LEZ VALENCIENNES",59300
SG CREDIT DU NORD,"21 B RUE JEAN JAURES, 59620 AULNOYE AYMERIES",59620
SG CREDIT DU NORD,"34 PL DU GENERAL LECLERC, 59440 AVESNES SUR HELPE",59440
SG CREDIT DU NORD,"8 RUE D'OCCIDENT, 59270 BAILLEUL",59270
SG CREDIT DU NORD,"70 B PL DU GENERAL DE GAULLE, 59780 BAISIEUX",59780
SG CREDIT DU NORD,"16 PL DU GENERAL DE GAULLE, 59570 BAVAY",59570
SG CREDIT DU NORD,"15 PL DE LA REPUBLIQUE, 59380 BERGUES",59380
SG CREDIT DU NORD,"9 T RUE DU BOSQUIEL, 59910 BONDUES",59910
SG CREDIT DU NORD,"14 RUE D ALSACE LORRAINE, 59400 CAMBRAI",59400
SG CREDIT DU NORD,"18 PL DU GAL VANDAMME, 59670 CASSEL",59670
SG CREDIT DU NORD,"8 R DU MARECHAL LECLERC, 59540 CAUDRY",59540
SG CREDIT DU NORD,"6 8 PL GEN DE GAULLE, 59560 COMINES",59560
SG CREDIT DU NORD,"18 RUE NOTRE DAME, 59163 CONDE SUR L ESCAUT",59163
SG CREDIT DU NORD,"117 BD JEAN JAURES, 59210 COUDEKERQUE BRANCHE",59210
SG CREDIT DU NORD,"92 AV LE NOTRE, 59170 CROIX",59170
SG CREDIT DU NORD,"2 PL DE LA REPUBLIQUE, 59170 CROIX",59170
SG CREDIT DU NORD,"76 RUE J B LEBAS, 59830 CYSOING",59830
SG CREDIT DU NORD,"116 B RUE DE VILLARS, 59220 DENAIN",59220
SG CREDIT DU NORD,"48 RUE DE BELLAIN, 59500 DOUAI",59500
SG CREDIT DU NORD,"36 BD ALEXANDRE III, 59140 DUNKERQUE",59140
SG CREDIT DU NORD,"49 AV FAIDHERBE, 59240 DUNKERQUE",59240
SG CREDIT DU NORD,"1 RUE DU PDT KENNEDY, 59940 ESTAIRES",59940
SG CREDIT DU NORD,"3 RUE JEAN JAURES, 59610 FOURMIES",59610
SG CREDIT DU NORD,"11 RUE DE LA PAIX, 59760 GRANDE SYNTHE",59760
SG CREDIT DU NORD,"1 RUE PASTEUR, 59820 GRAVELINES",59820
SG CREDIT DU NORD,"10 RUE MARTHE NOLLET, 59250 HALLUIN",59250
SG CREDIT DU NORD,"36 RUE SADI CARNOT, 59320 HAUBOURDIN",59320
SG CREDIT DU NORD,"32 PL CHARLES FREMAUX, 59320 HAUBOURDIN",59320
SG CREDIT DU NORD,"1 RUE NATIONALE, 59190 HAZEBROUCK",59190
SG CREDIT DU NORD,"348E RUE JULES GUESDE, 59510 HEM",59510
SG CREDIT DU NORD,"2 RUE DU GENERAL LECLERC, 59480 LA BASSEE",59480
SG CREDIT DU NORD,"213 AV DU GAL DE GAULLE, 59110 LA MADELEINE",59110
SG CREDIT DU NORD,"111 AV DE SAINT MAUR, 59110 LA MADELEINE",59110
SG CREDIT DU NORD,"2 RUE SCALFORT, 59167 LALLAING",59167
SG CREDIT DU NORD,"169 RUE DU BOURG, 59130 LAMBERSART",59130
SG CREDIT DU NORD,"336/340 AV DE DUNKERQUE, 59130 LAMBERSART",59130
SG CREDIT DU NORD,"13 PL CARNOT, 59390 LANNOY",59390
SG CREDIT DU NORD,"7 RUE 7 RUE GAMBETTA, 59360 LE CATEAU CAMBRESIS",59360
SG CREDIT DU NORD,"1 RUE VICTOR HUGO, 59530 LE QUESNOY",59530
SG CREDIT DU NORD,"38 RUE FAIDHERBE, 59810 LESQUIN",59810
SG CREDIT DU NORD,"3 BD MONTEBELLO, 59000 LILLE",59000
SG CREDIT DU NORD,"137 RUE PIERRE LEGRAND, 59800 LILLE",59800
SG CREDIT DU NORD,"22 RUE DU MOLINEL, 59800 LILLE",59800
SG CREDIT DU NORD,"2 RUE DE MARQUILLIES, 59000 LILLE",59000
SG CREDIT DU NORD,"28 PL RIHOUR, 59800 LILLE",59800
SG CREDIT DU NORD,"42 RUE ROYALE, 59800 LILLE",59800
SG CREDIT DU NORD,"323/325 RUE GAMBETTA, 59000 LILLE",59000
SG CREDIT DU NORD,"75 B BD VAUBAN, 59800 LILLE",59800
SG CREDIT DU NORD,"1 PL DE LA REPUBLIQUE, 59126 LINSELLES",59126
SG CREDIT DU NORD,"829 AV DE DUNKERQUE, 59160 LILLE",59160
SG CREDIT DU NORD,"147 RUE DU MARECHAL FOCH, 59120 LOOS",59120
SG CREDIT DU NORD,"1 AV DE LA MARNE, 59700 MARCQ EN BAROEUL",59700
SG CREDIT DU NORD,"1 RUE LAZARE CARNOT, 59600 MAUBEUGE",59600
SG CREDIT DU NORD,"29 RUE REGIS CORSELLE, 59420 MOUVAUX",59420
SG CREDIT DU NORD,"4 PL GAMBETTA, 59310 ORCHIES",59310
SG CREDIT DU NORD,"16 RUE DE LA PREVOTE, 59840 PERENCHIES",59840
SG CREDIT DU NORD,"738 AV JEAN JAURES, 59790 RONCHIN",59790
SG CREDIT DU NORD,"BD D'HALLUIN, 59223 RONCQ",59223
SG CREDIT DU NORD,"1-3 GRANDE RUE, 59100 ROUBAIX",59100
SG CREDIT DU NORD,"3 PL DU GAL DE GAULLE, 59184 SAINGHIN EN WEPPES",59184
SG CREDIT DU NORD,"199 RUE DE LA REPUBLIQUE, 59430 DUNKERQUE",59430
SG CREDIT DU NORD,"12 PL STALINGRAD, 59113 SECLIN",59113
SG CREDIT DU NORD,"10 RUE DE SELLE, 59730 SOLESMES",59730
SG CREDIT DU NORD,"PLACE JEAN JAURES, 59490 SOMAIN",59490
SG CREDIT DU NORD,"17 GRAND PLACE, 59230 ST AMAND LES EAUX",59230
SG CREDIT DU NORD,"99 RUE DU GENERAL LECLERC, 59350 ST ANDRE LEZ LILLE",59350
SG CREDIT DU NORD,"1 RUE DE CASSEL, 59114 STEENVOORDE",59114
SG CREDIT DU NORD,"41 RUE DE ROUBAIX, 59242 TEMPLEUVE EN PEVELE",59242
SG CREDIT DU NORD,"15 RUE LEON BLUM, 59239 THUMERIES",59239
SG CREDIT DU NORD,"8 B GRAND PLACE, 59200 TOURCOING",59200
SG CREDIT DU NORD,"17 AV G CLEMENCEAU, 59300 VALENCIENNES",59300
SG CREDIT DU NORD,"51 BD DE VALMY, 59650 VILLENEUVE D ASCQ",59650
SG CREDIT DU NORD,"17 PL DE LA REPUBLIQUE, 59650 VILLENEUVE-D'ASCQ",59650
SG CREDIT DU NORD,"19 AV DU MARECHAL FOCH, 59142 VILLERS OUTREAUX",59142
SG CREDIT DU NORD,"17 PL DU GAL DE GAULLE, 59118 WAMBRECHIES",59118
SG CREDIT DU NORD,"1 RUE DU MAL J DE L DE TASSIGNY, 59290 WASQUEHAL",59290
SG CREDIT DU NORD,"5/7 RUE DES ALLIES, 59143 WATTEN",59143
SG CREDIT DU NORD,"159 RUE CLEMENCEAU, 59139 WATTIGNIES",59139
