nom,adresse,code_postal
SG CREDIT DU NORD,"15 RUE GAMBETTA, 60000 BEAUVAIS",60000
SG CREDIT DU NORD,"117 B RUE DE CALAIS, 60000 BEAUVAIS",60000
SG CREDIT DU NORD,"23 RUE DE LA MARE DU FOUR, 60510 BRESLES",60510
SG CREDIT DU NORD,"2 RUE AURELIEN CRONNIER, 60230 CHAMBLY",60230
SG CREDIT DU NORD,"1 AV MARECHAL JOFFRE, 60500 CHANTILLY",60500
SG CREDIT DU NORD,"15 PL DE L'HOTEL DE VILLE, 60600 CLERMONT",60600
SG CREDIT DU NORD,"2 RUE MAGENTA, 60200 COMPIEGNE",60200
SG CREDIT DU NORD,"16 RUE VICTOR HUGO, 60280 MARGNY LES COMPIEGNE",60280
SG CREDIT DU NORD,"4 AV ANTOINE CHANUT, 60100 CREIL",60100
SG CREDIT DU NORD,"45 RUE CHARLES DE GAULLE, 60800 CREPY EN VALOIS",60800
SG CREDIT DU NORD,"17 RUE DE SOISSONS, 60350 CUISE LA MOTTE",60350
SG CREDIT DU NORD,"12 PL CH DE GAULLE, 60190 ESTREES ST DENIS",60190
SG CREDIT DU NORD,"2 RUE CORBIER THIEBAUT, 60270 GOUVIEUX",60270
SG CREDIT DU NORD,"11 RUE FREDERIC PETIT, 60210 GRANDVILLIERS",60210
SG CREDIT DU NORD,"64 RUE CARNOT, 60610 LACROIX ST OUEN",60610
SG CREDIT DU NORD,"178 AV CH. DE GAULLE, 60260 LAMORLAYE",60260
SG CREDIT DU NORD,"RTE DE PARIS, 60330 LE PLESSIS BELLEVILLE",60330
SG CREDIT DU NORD,"3 RUE VICTOR HUGO, 60140 LIANCOURT",60140
SG CREDIT DU NORD,"20 PL DE L'HOTEL DE VILLE, 60110 MERU",60110
SG CREDIT DU NORD,"12 PL AUGUSTE GENIE, 60160 MONTATAIRE",60160
SG CREDIT DU NORD,"17 RUE CAYEUX, 60250 MOUY",60250
SG CREDIT DU NORD,"4 RUE DE GRECE, 60400 NOYON",60400
SG CREDIT DU NORD,"34 RUE CHARLES LESCOT, 60700 PONT STE MAXENCE",60700
SG CREDIT DU NORD,"107 RUE DE LA REPUBLIQUE, 60300 SENLIS",60300
SG CREDIT DU NORD,"2 RUE D'AMIENS, 60130 ST JUST EN CHAUSSEE",60130
SG CREDIT DU NORD,"PL DE LA REPUBLIQUE, 60150 THOUROTTE",60150
SG CREDIT DU NORD,"19 RUE DE LA REPUBLIQUE, 60410 VERBERIE",60410
