nom,adresse,code_postal
SG AUVERGNE RHÔNE ALPES,"51 BD HENRI IV, 63600 AMBERT",63600
SG AUVERGNE RHÔNE ALPES,"6 PL CHARLES DE GAULLE, 63220 ARLANC",63220
SG AUVERGNE RHÔNE ALPES,"9 AV DU ROUSSILLON, 63170 AUBIERE",63170
SG AUVERGNE RHÔNE ALPES,"RUE L HOTEL DE VILLE, 63110 BEAUMONT",63110
SG AUVERGNE RHÔNE ALPES,"93 AV DE ROYAT, 63400 CHAMALIERES",63400
SG AUVERGNE RHÔNE ALPES,"14 AV BARADUC, 63140 CHATEL GUYON",63140
SG AUVERGNE RHÔNE ALPES,"7 PL MICHEL HOSPITAL, 63000 CLERMONT FERRAND",63000
SG AUVERGNE RHÔNE ALPES,"116 AV DE LA REPUBLIQUE, 63100 CLERMONT FERRAND",63100
SG AUVERGNE RHÔNE ALPES,"40 AV DES ETATS UNIS, 63000 CLERMONT FERRAND",63000
SG AUVERGNE RHÔNE ALPES,"BD SAINT-JEAN, 63100 CLERMONT FERRAND",63100
SG AUVERGNE RHÔNE ALPES,"11 RUE HENRI POURRAT, 63000 CLERMONT FERRAND",63000
SG AUVERGNE RHÔNE ALPES,"43 B AVENUE DE LA LIBERATION, 63800 COURNON-D'AUVERGNE",63800
SG AUVERGNE RHÔNE ALPES,"18 BD LA SOUS PREFECT., 63500 ISSOIRE",63500
SG AUVERGNE RHÔNE ALPES,"AV DU MARECHAL FOCH, 63150 LA BOURBOULE",63150
SG AUVERGNE RHÔNE ALPES,"17 RUE DE L'HOTEL DE VILLE, 63200 RIOM",63200
SG AUVERGNE RHÔNE ALPES,"39 AV DU GENERAL DE GAULLE, 63300 THIERS",63300
