nom,adresse,code_postal
SG SOCIETE GENERALE,"58 AV F.ROOSEVELT, 77210 AVON",77210
SG SOCIETE GENERALE,"3 AV GALLIENI, 77590 BOIS LE ROI",77590
SG SOCIETE GENERALE,"6 B RUE GAMBETTA, 77170 BRIE COMTE ROBERT",77170
SG SOCIETE GENERALE,"2 RUE PAUL DELOUVRIER, 77600 BUSSY ST GEORGES",77600
SG SOCIETE GENERALE,"CTRE CIAL BOISSENART, 77240 CESSON",77240
SG SOCIETE GENERALE,"29 AV AMPERE, 77420 CHAMPS SUR MARNE",77420
SG SOCIETE GENERALE,"14 AV LA RESISTANCE, 77500 CHELLES",77500
SG SOCIETE GENERALE,"50 RUE JEAN JAURES, 77410 CLAYE SOUILLY",77410
SG SOCIETE GENERALE,"118 RUE SOMMEVILLE, 77380 COMBS LA VILLE",77380
SG SOCIETE GENERALE,"1 RUE PALAIS DE JUSTICE, 77120 COULOMMIERS",77120
SG SOCIETE GENERALE,"3 PL DU MARCHE, 77580 CRECY LA CHAPELLE",77580
SG SOCIETE GENERALE,"242 AV FOCH, 77190 DAMMARIE LES LYS",77190
SG SOCIETE GENERALE,"119 RUE GAL DE GAULLE, 77230 DAMMARTIN EN GOELE",77230
SG SOCIETE GENERALE,"35 RUE DU GAL LECLERC, 77450 ESBLY",77450
SG SOCIETE GENERALE,"102 RUE GRANDE, 77300 FONTAINEBLEAU",77300
SG SOCIETE GENERALE,"42 RUE DE PARIS, 77320 LA FERTE GAUCHER",77320
SG SOCIETE GENERALE,"15 RUE DU MOUTON, 77260 LA FERTE SOUS JOUARRE",77260
SG SOCIETE GENERALE,"4 PL DE L HOTEL DE VILLE, 77400 LAGNY SUR MARNE",77400
SG SOCIETE GENERALE,"CTRE CIAL DU PARC, 77150 LESIGNY",77150
SG SOCIETE GENERALE,"06 ALL DE LA MIXITE, 77127 LIEUSAINT",77127
SG SOCIETE GENERALE,"11 RUE RAOUL DE PRESLE, 77440 LIZY SUR OURCQ",77440
SG SOCIETE GENERALE,"6 8 PL DES LIBERTES PUBLIQUES, 77185 LOGNES",77185
SG SOCIETE GENERALE,"13 RUE DES LABOURS, 77700 MAGNY LE HONGRE",77700
SG SOCIETE GENERALE,"16 QU VICTOR HUGO, 77100 MEAUX",77100
SG SOCIETE GENERALE,"C.C.HTS-DE-ST-LIESNE, 77000 MELUN",77000
SG SOCIETE GENERALE,"4 QU PASTEUR, 77000 MELUN",77000
SG SOCIETE GENERALE,"10 AV FRANKLIN ROOSEVELT, 77290 MITRY MORY",77290
SG SOCIETE GENERALE,"34 RUE PHILIPPE BUR, 77550 MOISSY CRAMAYEL",77550
SG SOCIETE GENERALE,"80 RUE JEAN-JAURES, 77130 MONTEREAU FAULT YONNE",77130
SG SOCIETE GENERALE,"30 RUE GRANDE, 77250 MORET LOING ET ORVANNE",77250
SG SOCIETE GENERALE,"48 RUE CHARLES DE GAULLE, 77720 MORMANT",77720
SG SOCIETE GENERALE,"32 RUE GENERAL LECLERC, 77370 NANGIS",77370
SG SOCIETE GENERALE,"52 RUE DE PARIS, 77140 NEMOURS",77140
SG SOCIETE GENERALE,"34 AV DU GAL LECLERC, 77330 OZOIR LA FERRIERE",77330
SG SOCIETE GENERALE,"81 AV DU GAL DE GAULLE, 77340 PONTAULT COMBAULT",77340
SG SOCIETE GENERALE,"21 PL SAINT-AYOUL, 77160 PROVINS",77160
SG SOCIETE GENERALE,"5 RUE PASTEUR, 77680 ROISSY EN BRIE",77680
SG SOCIETE GENERALE,"1 RUE DU 5 SEPT 1914, 77165 ST SOUPPLETS",77165
SG SOCIETE GENERALE,"3 CRS DU DANUBE, 77700 SERRIS",77700
SG SOCIETE GENERALE,"120 RUE JACQUES MADELIN, 77310 ST FARGEAU PONTHIERRY",77310
SG SOCIETE GENERALE,"70 RUE DE PARIS, 77200 TORCY",77200
SG SOCIETE GENERALE,"41 RUE DE PARIS, 77220 TOURNAN EN BRIE",77220
SG SOCIETE GENERALE,"3 B PL GAL DE GAULLE, 77360 VAIRES SUR MARNE",77360
SG SOCIETE GENERALE,"93 RUE PASTEUR, 77240 VERT ST DENIS",77240
SG SOCIETE GENERALE,"162 AV CHARLES DE GAULLE, 77270 VILLEPARISIS",77270
