nom,adresse,code_postal
SG CREDIT DU NORD,"21 PL MAX LEJEUNE, 80100 ABBEVILLE",80100
SG CREDIT DU NORD,"6 RUE GAMBETTA, 80300 ALBERT",80300
SG CREDIT DU NORD,"47 RUE TROIS CAILLOUX, 80000 AMIENS",80000
SG CREDIT DU NORD,"481 RTE D ABBEVILLE, 80000 AMIENS",80000
SG CREDIT DU NORD,"69 RUE DES JACOBINS, 80000 AMIENS",80000
SG CREDIT DU NORD,"32 RUE DOULLENS, 80000 AMIENS",80000
SG CREDIT DU NORD,"9 BD AMBROISE PARE, 80000 AMIENS",80000
SG CREDIT DU NORD,"22 RUE MARCELLIN TRUQUIN, 80800 CORBIE",80800
SG CREDIT DU NORD,"54 RUE DU COMMANDEMENT UNIQUE, 80600 DOULLENS",80600
SG CREDIT DU NORD,"11 RUE ROGER GODARD, 80420 FLIXECOURT",80420
SG CREDIT DU NORD,"46 PL JEAN JAURES, 80130 FRIVILLE ESCARBOTIN",80130
SG CREDIT DU NORD,"8 PL DE L'HOTEL DE VILLE, 80400 HAM",80400
SG CREDIT DU NORD,"7 PL PARMENTIER, 80500 MONTDIDIER",80500
SG CREDIT DU NORD,"1 RUE VICTOR GAILLARD, 80110 MOREUIL",80110
SG CREDIT DU NORD,"PL DU MARECHAL LECLERC, 80190 NESLE",80190
SG CREDIT DU NORD,"23 PL LOUIS DAUDRE, 80200 PERONNE",80200
SG CREDIT DU NORD,"10 RUE JEAN JAURES, 80170 ROSIERES EN SANTERRE",80170
SG CREDIT DU NORD,"9 BD DU GENERAL LECLERC, 80700 ROYE",80700
SG CREDIT DU NORD,"1 AV GASTON CAUDRON, 80120 RUE",80120
