nom,adresse,code_postal
SG SOCIETE GENERALE,"4 AV DE STALINGRAD, 78260 ACHERES",78260
SG SOCIETE GENERALE,"54 B AV JEAN JAURES, 78390 BOIS D ARCY",78390
SG SOCIETE GENERALE,"1 RUE DE LA REPUBLIQUE, 78270 BONNIERES SUR SEINE",78270
SG SOCIETE GENERALE,"CHE DEPARTEMENTAL 110, 78200 BUCHELAY",78200
SG SOCIETE GENERALE,"313 RUE E . JOLLY, 78955 CARRIERES SOUS POISSY",78955
SG SOCIETE GENERALE,"53 BD CARNOT, 78420 CARRIERES SUR SEINE",78420
SG SOCIETE GENERALE,"17 AV GUIBERT C.COMM, 78170 LA CELLE ST CLOUD",78170
SG SOCIETE GENERALE,"PL DE LA MAIRIE, 78240 CHAMBOURCY",78240
SG SOCIETE GENERALE,"4 PL MAURICE BERTEAUX, 78400 CHATOU",78400
SG SOCIETE GENERALE,"20 RUE AUGUSTE RENOIR, 78400 CHATOU",78400
SG SOCIETE GENERALE,"15 RUE POTTIER, 78150 LE CHESNAY ROCQUENCOURT",78150
SG SOCIETE GENERALE,"17 PL DE LA LIBERTE, 78700 CONFLANS STE HONORINE",78700
SG SOCIETE GENERALE,"54 RUE M. BERTEAUX, 78700 CONFLANS STE HONORINE",78700
SG SOCIETE GENERALE,"1 AV CARNOT, 78290 CROISSY SUR SEINE",78290
SG SOCIETE GENERALE,"R DU CHEMIN AUX BOEUFS, 78990 ELANCOURT",78990
SG SOCIETE GENERALE,"66 RTE DES 40 SOUS, 78410 FLINS-SUR-SEINE",78410
SG SOCIETE GENERALE,"7 RUE PASTEUR, 78330 FONTENAY LE FLEURY",78330
SG SOCIETE GENERALE,"4 AV MLLE DOSNE, 78440 GARGENVILLE",78440
SG SOCIETE GENERALE,"10 B PL DE L'EGLISE, 78280 GUYANCOURT",78280
SG SOCIETE GENERALE,"64 GRANDE RUE, 78550 HOUDAN",78550
SG SOCIETE GENERALE,"9 AV DU MARECHAL FOCH, 78800 HOUILLES",78800
SG SOCIETE GENERALE,"10 RUE OBERKAMPF, 78350 JOUY EN JOSAS",78350
SG SOCIETE GENERALE,"4 RUE DE LA CELLE, 78150 LE CHESNAY ROCQUENCOURT",78150
SG SOCIETE GENERALE,"77 RUE EMILE FONTANIER, 78320 LE MESNIL ST DENIS",78320
SG SOCIETE GENERALE,"86 RUE DE PARIS, 78610 LE PERRAY EN YVELINES",78610
SG SOCIETE GENERALE,"81 RUE HENRI CLOPPET, 78110 LE VESINET",78110
SG SOCIETE GENERALE,"16 AV MAURICE JOUET, 78340 LES CLAYES SOUS BOIS",78340
SG SOCIETE GENERALE,"6 PL DE LA LIBERATION, 78130 LES MUREAUX",78130
SG SOCIETE GENERALE,"RUE DU GAL DE GAULLE, 78430 LOUVECIENNES",78430
SG SOCIETE GENERALE,"22 AV DE LONGUEIL, 78600 MAISONS LAFFITTE",78600
SG SOCIETE GENERALE,"10 AV DE LA REPUBLIQUE, 78200 MANTES LA JOLIE",78200
SG SOCIETE GENERALE,"1 RUE P. DE RONSARD, 78200 MANTES LA JOLIE",78200
SG SOCIETE GENERALE,"40 RUE DES CLOSEAUX, 78750 MAREIL MARLY",78750
SG SOCIETE GENERALE,"C.COM. GRANDES TERRES, 78160 MARLY LE ROI",78160
SG SOCIETE GENERALE,"5 PL DU GENERAL DE GAULLE, 78580 MAULE",78580
SG SOCIETE GENERALE,"3 ALL DE COTE D' OR, 78310 MAUREPAS",78310
SG SOCIETE GENERALE,"5 PL BRIGITTE GROS, 78250 MEULAN EN YVELINES",78250
SG SOCIETE GENERALE,"1 RUE DE PARIS, 78490 MONTFORT L AMAURY",78490
SG SOCIETE GENERALE,"4 RUE ANDRE LEBOURBLANC, 78590 NOISY LE ROI",78590
