nom,adresse,code_postal,latitude,longitude
SG AUVERGNE RHÔNE ALPES,"1 AVENUE DE VERDUN, 01500 AMBERIEU EN BUGEY",1500,45.9597597,5.3487316
SG LAYDERNIER,"30 BD DU MAIL, 01300 BELLEY",1300,45.7598101,5.6897906
SG AUVERGNE RHÔNE ALPES,"15 PL BERNARD, 01000 BOURG EN BRESSE",1000,46.2069326,5.2280554
SG LAYDERNIER,"252 AV DE GENEVE, 01220 DIVONNE LES BAINS",1220,46.3488477,6.1466573
SG LAYDERNIER,"4 AV VOLTAIRE, 01210 FERNEY VOLTAIRE",1210,46.2560516,6.1088325
SG LAYDERNIER,"39 PLACE DU JURA, 01170 GEX",1170,46.3323982,6.0589668
SG AUVERGNE RHÔNE ALPES,"84 R LEON M FOURNET, 01480 JASSANS RIOTTIER",1480,45.9852574,4.7567329
SG AUVERGNE RHÔNE ALPES,"53 RUE PASTEUR, 01150 LAGNIEU",1150,45.90306,5.3487092
SG AUVERGNE RHÔNE ALPES,"5 RUE DE LYON, 01800 MEXIMIEUX",1800,45.9028746,5.1915899
SG AUVERGNE RHÔNE ALPES,"161 RUE GENERAL DEGOUTTE, 01700 MIRIBEL",1700,45.8246847,4.949698
SG AUVERGNE RHÔNE ALPES,"11 RUE BICHAT, 01100 OYONNAX",1100,46.2584531,5.6555523
SG LAYDERNIER,"3 RUE DE GEX, 01630 ST GENIS POUILLY",1630,46.243562,6.0208027
SG LAYDERNIER,"24 RUE LA REPUBLIQUE, 01200 VALSERHONE",1200,46.1080056,5.8034194
