nom,adresse,code_postal,latitude,longitude
SG CREDIT DU NORD,"1 RUE DU CHATEAU, 02110 BOHAIN EN VERMANDOIS",2110,49.985938,3.4573505
SG GRAND EST,"3 PL DU GAL DE GAULLE, 02310 CHARLY SUR MARNE",2310,48.9776813,3.2878024
SG GRAND EST,"1 PL DES ETATS UNIS, 02400 CHATEAU THIERRY",2400,49.0445971,3.402099
SG CREDIT DU NORD,"24 RUE ARTHUR LACROIX, 02300 CHAUNY",2300,49.612102,3.22244
SG CREDIT DU NORD,"61 RUE ANDRE GODIN, 02120 GUISE",2120,49.9025075,3.625961
SG CREDIT DU NORD,"35 RUE DE LA REPUBLIQUE, 02800 LA FERE",2800,49.6612735,3.3668891
SG CREDIT DU NORD,"7 BD DE LYON, 02000 LAON",2000,49.5696266,3.6257889
SG CREDIT DU NORD,"12 RUE CLEMENCEAU, 02340 MONTCORNET",2340,49.6952081,4.0133921
SG CREDIT DU NORD,"89 RUE PASTEUR, 02390 ORIGNY STE BENOITE",2390,49.840159,3.489143
SG CREDIT DU NORD,"2 PL DAUPHINE, 02200 SOISSONS",2200,49.377617,3.326212
SG CREDIT DU NORD,"16 RUE D'ISLE, 02100 ST QUENTIN",2100,49.8451657,3.2902171
SG CREDIT DU NORD,"1 PL DU CENTENAIRE, 02140 VERVINS",2140,49.833235,3.904905
SG CREDIT DU NORD,"2 RUE ALEXANDRE DUMAS, 02600 VILLERS COTTERETS",2600,49.253587,3.090675
